	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	viral transcription (GO:0019083)	68/79	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPS24,RPL13A,RPS21,RPS10,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPS12,RPSA,RPS6,RPL37A	6.893408627323536e-52	2.1865892165870257e-48	2.1865892165870257e-48
1	translational termination (GO:0006415)	69/83	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,GSPT1,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPS24,RPL13A,RPS21,RPS10,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPS12,RPSA,RPS6,RPL37A	1.5977962119841442e-50	5.068209584413705e-47	2.5341047922068527e-47
2	translational elongation (GO:0006414)	73/97	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,EEF1B2,RPL29,RPL35A,RPL32,TCEA1,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,EEF1D,RPL37,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,EEF2,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPS24,RPL13A,RPS21,RPS10,RPS11,RPS4X,EEF1A1,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPS12,RPSA,RPS6,RPL37A	1.0376800895672216e-47	3.291521244107227e-44	1.0971737480357422e-44
3	gene expression (GO:0010467)	185/525	SNUPN,CNOT4,SRSF7,HNRNPK,LSM7,EIF3C,RPL27,LSM6,PSMC6,RPL32,POLR2H,SF3B5,HNRNPA0,RPL11,SF3B2,RPS23,PPP2R1A,SNRPG,HNRNPC,LSM4,PCBP2,HNRNPL,RPL8,RPS7,PAIP1,RPS3A,TAF12,PPA2,EIF3I,TAF9,HNRNPM,HDAC1,SF3A2,RPL34,SRSF2,POLR2I,CSTF2,METTL3,RPS12,RPS24,RPL37A,DDX6,RPL28,SRSF6,RPL4,MED8,RPS16,RPS29,SNRPF,PHF5A,RPL39,CCNT1,UBA52,RNPS1,AIMP1,RPL5,DGCR8,RPL23A,RBMX,EIF2B5,RPL3,RPL26L1,RPL7A,CASC3,RPL35,RPS13,RPL13A,RPS10,HNRNPA2B1,SNRPA,RPS4X,RPL36A,RPL26,EIF3B,EIF4E,PSMB1,PSME3,RPS20,MED15,RPL38,SRSF5,SMAD4,EIF3G,RPSA,RPS6,SNRPA1,RPL19,RNGTT,RPL10,AIMP2,PSMD11,RPL22,RPL17,RPS27,RPL12,HNRNPU,RPL15,RPL13,EEF1B2,PRPF4,RPL24,PPP2CA,TCEA1,RPS17,NR2C2AP,RPS3,CD2BP2,LSM2,EEF1D,RPL9,SNRPD1,GTF2F1,LSM3,HNRNPA3,EIF3J,ALYREF,SNRNP70,HNRNPD,SRSF9,RPLP0,KHSRP,SRSF3,FUS,SF3B6,RPL27A,RPL6,RPS19,RPS8,EIF3F,SF3B1,NELFE,UPF3B,SNRPB2,SNW1,RPL7,RPS15,ZNF143,RPL36,SRSF1,EIF4B,RPL23,TRIM28,SNRNP40,GTF2F2,HNRNPA1,NARS2,PSMD5,RPL29,U2AF1,TFAM,RPL35A,SRSF4,PSMB2,RPL30,POLR3E,EIF1AX,EIF3H,RPL37,SRP9,RPL18A,RPS5,SMG9,EEF2,PHAX,U2AF2,SF3A3,CCNH,SRP19,RPS21,RPS11,SNRPD2,EEF1A1,FAU,NCBP2,PSMD14,RPL21,RPS25,SP1,RPS9,YBX1,RPL31,PSMD13,RPS18,HNRNPF,PRKRA	1.9191878169405252e-47	6.087663755335346e-44	1.5219159388338366e-44
4	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	76/108	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,GSPT1,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,PPP2CA,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,PPP2R1A,RPL37,RNPS1,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,SMG9,RPL26L1,RPS7,RPS3A,RPL7A,CASC3,RPL35,RPS13,RPL13A,RPS21,RPS10,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,NCBP2,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,UPF3B,RPL7,RPL36,RPS15,RPL37A,RPS12,RPSA,RPS6,RPS24	4.422199126029454e-46	1.4027215627765427e-42	2.8054431255530852e-43
5	cellular protein complex disassembly (GO:0043624)	71/98	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,GSPT1,RPL17,RPS27,RPL12,DSTN,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPS24,RPL13A,RPS21,RPS10,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,KIF2A,RPL7,RPL36,RPS15,RPS12,RPSA,RPS6,RPL37A	1.690577262434592e-44	5.362511076442526e-41	8.937518460737543e-42
6	translational initiation (GO:0006413)	83/132	EIF3C,RPL27,RPL32,RPL11,RPS23,RBM4,RPL8,RPS7,PAIP1,RPS3A,EIF3I,RPL34,RPS12,RPL37A,RPS24,RPL28,RPL4,RPS16,RPS29,RPL39,UBA52,RPL5,RPL23A,EIF2B5,RPL3,LARP1,RPL26L1,RPL7A,RPL35,RPS13,RPL13A,RPS10,RPS4X,RPL36A,RPL26,EIF3B,EIF4E,RPS20,RPL38,EIF3G,RPSA,RPS6,RPL19,RPL10,RPL22,RPL17,RPS27,RPL12,RPL15,RPL24,RPL13,RPS17,RPS3,RPL9,EIF3J,EIF1B,RPLP0,RPL27A,RPL6,RPS19,RPS8,EIF3F,RPL7,RPL36,RPS15,EIF4B,RPL23,RPL29,RPL35A,RPL30,EIF1AX,EIF3H,RPL37,RPL18A,RPS5,RPS21,RPS11,FAU,RPL21,RPS25,RPS9,RPL31,RPS18	2.317959939545186e-44	7.352568928237331e-41	1.0503669897481901e-41
7	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	70/99	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,SRP9,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPL13A,SRP19,RPS10,RPS21,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPL37A,RPS12,RPSA,RPS6,RPS24	1.0260819773517153e-42	3.254732032159641e-39	4.0684150401995516e-40
8	cotranslational protein targeting to membrane (GO:0006613)	70/101	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,SRP9,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPL13A,SRP19,RPS10,RPS21,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPL37A,RPS12,RPSA,RPS6,RPS24	8.80437161351165e-42	2.7927466758058954e-38	3.1030518620065504e-39
9	protein targeting to ER (GO:0045047)	70/102	RPL28,RPL19,RPL10,RPL23,RPL4,RPL22,RPL17,RPS27,RPL12,RPS16,RPS29,RPL15,RPL27,RPL39,RPL24,RPL13,RPL29,RPL35A,RPL32,RPS17,RPL30,RPS3,RPL11,RPS23,UBA52,RPL37,SRP9,RPL18A,RPL9,RPL5,RPL23A,RPS5,RPL8,RPL3,RPL26L1,RPS7,RPS3A,RPL7A,RPL35,RPS13,RPS24,RPL13A,SRP19,RPS10,RPS21,RPS11,RPS4X,RPLP0,RPL36A,RPL26,FAU,RPL27A,RPL21,RPL6,RPS8,RPL34,RPS20,RPS19,RPL38,RPS25,RPS9,RPL31,RPS18,RPL7,RPL36,RPS15,RPS12,RPSA,RPS6,RPL37A	2.494480728492381e-41	7.912492870777833e-38	7.912492870777832e-39
