,0
0,A2ML1
1,ABCB8
2,ABCC5
3,ABCD1
4,ABCE1
5,ABCF2
6,ABCF3
7,ABHD6
8,ABI1
9,ABLIM1
10,ACACA
11,ACAT2
12,ACOT11
13,ACOT7
14,ACOX3
15,ACP3
16,ACSL3
17,ACTR8
18,ACYP2
19,ADAM15
20,ADAR
21,ADCK1
22,ADI1
23,ADSS1
24,AGFG1
25,AHDC1
26,AHNAK
27,AHNAK2
28,AHSA1
29,CRYBG1
30,CRYBG2
31,AJUBA
32,AK4
33,AKR1B10
34,ALDH3A2
35,ALDOA
36,ALG10
37,ALG3
38,ALOX15B
39,ALS2CL
40,AMMECR1
41,ANGPTL4
42,ANKLE2
43,ANKRD17
44,ANKRD22
45,ANKRD28
46,ANKS1A
47,ANLN
48,ANXA1
49,ANXA8
50,AP4E1
51,AP5B1
52,AP5S1
53,AP5Z1
54,APOBEC3A
55,APOBEC3B
56,APOL1
57,APOL2
58,ARAP2
59,ARHGAP21
60,ARHGEF16
61,ARHGEF37
62,ARHGEF5
63,ARID1A
64,ARPC1A
65,ARPC5L
66,ARPP19
67,ASB6
68,ASF1B
69,INTS13
70,ATAD2
71,ATG9A
72,ATL2
73,ATL3
74,ATP11B
75,ATP1A1
76,ATP1B3
77,ATP2A2
78,ATP6V1F
79,ATR
80,ATXN2L
81,AUP1
82,AURKB
83,AUTS2
84,B2M
85,BAG3
86,BAIAP2
87,BAIAP2L1
88,BAK1
89,BCAP31
90,BCAR1
91,BCL10
92,BCL11B
93,BCR
94,BICD2
95,BLVRA
96,BNC1
97,BNIP2
98,BNIPL
99,BOLA2
100,BSG
101,BTBD11
102,BTF3L4
103,BZW1
104,BZW2
105,C12orf29
106,ERG28
107,C18orf21
108,C18orf25
109,INAVA
110,C1orf122
111,MAB21L4
112,C6orf132
113,C7orf25
114,CA9
115,CAB39
116,CAGE1
117,CALML3
118,CAMSAP1
119,CAMSAP2
120,CAMSAP3
121,CAPG
122,CAPN1
123,CAPNS2
124,CARHSP1
125,CARM1
126,CASP1
127,CASP10
128,CASP14
129,CASP4
130,CASP7
131,CASP8
132,CAST
133,CASZ1
134,CBR1
135,CBR3
136,CC2D1A
137,CCDC115
138,CCDC137
139,CCDC43
140,BICDL2
141,CCDC91
142,YJU2
143,CCNA2
144,CCNB1
145,CCNE2
146,CD109
147,CD274
148,CD2AP
149,CD36
150,CD74
151,CD82
152,CD9
153,CDC123
154,CDC20
155,CDC42BPG
156,CDC42EP4
157,CDCP1
158,CDH1
159,CDH3
160,CDK1
161,CDK13
162,CDK16
163,CDK17
164,CDK2
165,CDK4
166,CDKN1A
167,CDKN2A
168,CDV3
169,CDYL
170,CELSR1
171,CELSR2
172,CENPH
173,CENPL
174,CEP128
175,CEP170B
176,CEPT1
177,CERS3
178,CES2
179,CFAP43
180,CHAF1A
181,CHAF1B
182,CHM
183,CHMP4A
184,CHMP5
185,CHRAC1
186,CHTF18
187,CIT
188,CKAP2
189,CKMT1A
190,CKS1B
191,CLCA2
192,CLCA4
193,CLDN1
194,CLEC2B
195,CLIC3
196,CLINT1
197,CLIP1
198,CLPP
199,CLUH
200,CMPK2
201,CNKSR1
202,COBLL1
203,COIL
204,COL17A1
205,COMT
206,COQ10B
207,CORO2A
208,CPNE8
209,CPOX
210,INTS11
211,CRABP2
212,CROT
213,CRTC2
214,CRYBG3
215,CSDE1
216,CSE1L
217,CSNK1A1
218,CSNK1D
219,CSNK1E
220,CSTA
221,CSTB
222,CSTF1
223,CTNNA1
224,CTNNB1
225,CTNNBIP1
226,CTNND1
227,CUL2
228,CXADR
229,CXCL10
230,CYB5R1
231,CYFIP1
232,CYP2S1
233,CYP4F12
234,DAB2IP
235,DAPL1
236,DAPP1
237,DARS1
238,DCUN1D1
239,DDR1
240,DDX11L8
241,DDX24
242,DDX3X
243,DDX58
244,DDX60
245,DDX60L
246,DENND2D
247,DERL1
248,DGKA
249,DHCR24
250,DHCR7
251,DHPS
252,DHRS3
253,DHX15
254,DHX36
255,DHX58
256,DIAPH1
257,DIP2B
258,DLG1
259,DLGAP5
260,DMKN
261,DNAJA1
262,DNAJB1
263,DNAJB2
264,DNAJB4
265,DNAJB6
266,DNAJC7
267,DNAJC9
268,DNMBP
269,DOLK
270,DOLPP1
271,DPYD
272,DRG1
273,DSC2
274,DSC3
275,DSE
276,DSG3
277,DSP
278,DTX3L
279,DUOX1
280,DUOX2
281,DUOXA1
282,DUSP11
283,DUSP14
284,DVL3
285,EBP
286,ECM1
287,ECPAS
288,EDEM2
289,EED
290,EEF1AKMT4-ECE2
291,EEF2K
292,EFHD2
293,EFNB1
294,EGFR
295,EGLN1
296,EHBP1L1
297,EHF
298,EHHADH
299,EIF2A
300,EIF2AK2
301,EIF2B1
302,EIF2B2
303,EIF2S1
304,EIF2S2
305,EIF2S3
306,EIF4A1
307,EIF4G1
308,EIF5
309,EIF5B
310,EIF6
311,ELF3
312,ELK3
313,ELL
314,EMC2
315,EML2
316,EMP2
317,ENO1
318,ENSA
319,EOGT
320,EPB41L1
321,EPHA2
322,EPHX3
323,EPN3
324,EPPK1
325,EPS8L1
326,EPS8L2
327,EPSTI1
328,ERCC2
329,ERO1A
330,ESRP1
331,ESRP2
332,ETF1
333,ETV3
334,EVPL
335,EXOC6B
336,EXOSC6
337,EXOSC9
338,EXT2
339,EYA2
340,EYA3
341,EZH2
342,F11R
343,F8A1
344,FABP5
345,FAM110C
346,FAM111A
347,FAM111B
348,FAM117B
349,NIBAN2
350,FHIP1A
351,FAM162A
352,PRXL2A
353,FAM25G
354,CYRIB
355,FAM83A
356,FAM83B
357,FAM83F
358,FAM83G
359,FAM83H
360,FAM91A1
361,CIAO2A
362,FAT1
363,FBXO27
364,FBXO45
365,FBXO6
366,FDPS
367,FDXR
368,FERMT1
