	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	blood microparticle (GO:0072562)	71/102	ITGA2B,SERPINF2,ITIH2,C3,ITIH1,APOA4,APOE,C8A,AGT,HPR,F13A1,KNG1,C1R,ALB,SLC4A1,HBB,HBE1,GC,C8G,BCHE,AMBP,HBD,HSPA8,C1S,CP,IGHD,C9,HBA1,SERPING1,TGFB1,TF,ORM2,C4BPA,C4B,FGB,PON1,HRG,FCN3,VTN,A1BG,FGA,FGG,ITIH4,ZBTB38,SDCBP,PLG,PROS1,APOA1,IGHG2,A2M,CFB,KRT1,IGHA1,IGKV4-1,IGKC,CLU,SERPINA3,C4A,IGHM,ORM1,CPN2,IGHA2,PZP,HPX,APOA2,AHSG,AFM,IGHG4,SERPINC1,IGHG1,F2	1.440986641680927e-31	7.651639067325723e-29	7.651639067325723e-29
1	extracellular region (GO:0005576)	151/474	DCD,APOA4,APOC3,AGT,F13A1,FOLR2,LRG1,HBB,GC,CNDP1,C5,EGFL7,FCN1,PLEK,CDA,HBA1,TGFB1,TF,KLKB1,HRG,CEL,A1BG,FGA,FGG,PROC,PLXNB1,F13B,IGHG2,IGHA1,IGKV4-1,CTSG,F12,LCN2,ORM1,IGHA2,APOA2,MMRN1,F2,SVEP1,APOC1,MMP8,ITIH1,C8A,HPR,KNG1,C1R,PDZD2,ALB,C2CD2,CFI,AMBP,ITIH3,HAPLN1,MASP1,ATG4C,SERPINA7,C8B,RSPRY1,MASP2,PRF1,LBP,HGFAC,C4BPA,FGB,VWF,IGFALS,APOD,C4BPB,ITIH4,ENDOU,F10,BOLA1,HSD17B11,A2M,SNCA,VWA8,MBL2,APOB,BMP1,CPN2,PZP,HPX,AHSG,AFM,CRP,SERPINC1,ITIH2,C3,IGLC7,LTF,F9,C2,CFHR5,PF4,F7,C8G,IGFBP6,PTX3,C1S,SOD1,CP,C9,CRISP3,APOC2,C4B,GZMM,WNT2B,C6,PROS1,SERPIND1,CFB,DHRS11,S100A12,HEBP1,SERPINA3,C4A,MMP9,PON1,PPT1,SAA4,IGHG1,F5,SERPINF2,ELANE,APOE,F11,C7,RBP4,PPBP,BCHE,CXCL6,KLK6,C1QA,SERPING1,SERPINA1,SRGN,CTSL,FCN3,VTN,PLG,TTR,IGLC3,HABP2,IGKC,CLU,SHBG,CSF2RA,RNASE3,IGHG4,APOA1,AZGP1	1.8082229992070475e-15	9.601664125789423e-13	4.800832062894712e-13
2	extracellular space (GO:0005615)	147/516	B4GALT1,APOA4,CSF1,RALGAPA2,AGT,APOC3,VASN,LRG1,UBN2,METRNL,CA2,GC,GPLD1,C5,EGFL7,KRT10,DDB1,TGFB1,ENPP2,TF,KLKB1,CEL,A1BG,FGA,FGG,IGHG2,SELENBP1,IGHA1,CTSG,F12,LCN2,ORM1,SSH2,IGHA2,ESF1,APOA2,F2,MMP8,C8A,KNG1,SERPINA10,ALB,AZGP1,CFI,AMBP,SERPINB10,TNFRSF6B,OLFM4,MASP1,C8B,SERPINA7,LBP,ORM2,C4BPA,HGFAC,FGB,IGFALS,APOD,C4BPB,ENDOU,MBL2,MPO,APOB,BMP1,IGHM,RNLS,HPX,AHSG,AFM,VWA2,LCP1,SERPINC1,CRP,C3,LTF,LILRB2,KIT,PRDX6,PRG4,C2,PF4,F7,FETUB,IGFBP6,PTX3,SOD1,CP,PPFIBP2,S100A4,CRISP3,APOC2,C4B,KRT9,WNT2B,PROS1,SERPIND1,CFB,CNOT1,SERPINA6,SERPINA3,SERPINA4,ARG1,DMXL2,MMP9,PON1,PPT1,CHI3L1,IGHG1,F5,SERPINF2,ATRN,CPN1,APOE,F11,RBP4,PECAM1,PPBP,CPB2,BCHE,RBBP8NL,PRTN3,HSPA8,C1RL,CXCL6,KLK6,IL16,SERPING1,SERPINA1,SRGN,CTSL,AIFM2,VTN,SDCBP,PLG,IGLC3,TTR,ALOX5,KRT1,HABP2,IGKC,IDE,CLU,RNASE3,IGHG4,APOA1,ALPL,VCAM1	7.662201419825304e-11	4.068628953927237e-08	1.3562096513090789e-08
3	vesicle lumen (GO:0031983)	29/52	SERPINF2,APOE,LTF,F13A1,KNG1,ALB,HBB,PPBP,PF4,HBA1,SERPING1,SERPINA1,SRGN,TF,TGFB1,FGB,VWF,HRG,FGA,FGG,PLG,PROS1,A2M,CLU,APOB,HPX,MMRN1,APOA1,F5	4.1160247520027575e-10	2.1856091433134642e-07	4.856909207363254e-08
4	cytoplasmic membrane-bounded vesicle lumen (GO:0060205)	29/52	SERPINF2,APOE,LTF,F13A1,KNG1,ALB,HBB,PPBP,PF4,HBA1,SERPING1,SERPINA1,SRGN,TF,TGFB1,FGB,VWF,HRG,FGA,FGG,PLG,PROS1,A2M,CLU,APOB,HPX,MMRN1,APOA1,F5	4.1160247520027575e-10	2.1856091433134642e-07	4.856909207363254e-08
5	secretory granule lumen (GO:0034774)	23/39	SERPINF2,F13A1,KNG1,ALB,PPBP,PF4,SERPING1,SERPINA1,SRGN,TF,TGFB1,FGB,VWF,HRG,FGA,FGG,PLG,PROS1,A2M,CLU,MMRN1,APOA1,F5	6.246474164320541e-09	3.3168777812542074e-06	5.528129635423678e-07
6	platelet alpha granule lumen (GO:0031093)	21/36	SERPINF2,F13A1,KNG1,ALB,PPBP,PF4,SERPING1,SERPINA1,SRGN,TGFB1,FGB,VWF,HRG,FGA,FGG,PLG,PROS1,A2M,CLU,MMRN1,F5	3.773402330750423e-08	2.0036766376284746e-05	2.8623951966121065e-06
7	spherical high-density lipoprotein particle (GO:0034366)	8/8	APOC2,CLU,APOA1,APOC3,HPR,APOA2,APOM,PON1	8.237598055552548e-07	0.0004374164567498403	5.467705709373004e-05
8	high-density lipoprotein particle (GO:0034364)	13/20	APOC2,CLU,PON1,APOA4,APOE,APOC4,APOC3,HPR,APOA2,APOM,APOA1,SAA4,APOC1	2.917606864354077e-06	0.0015492492449720148	0.00017213880499689056
9	plasma lipoprotein particle (GO:0034358)	15/28	APOC2,CLU,PON1,APOA4,APOB,APOE,APOC4,APOC3,HPR,APOA2,APOBR,APOM,APOA1,SAA4,APOC1	1.4508545364739497e-05	0.007704037588676673	0.0007704037588676673
