	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	serine-type endopeptidase activity (GO:0004252)	32/76	ELANE,MMP8,F11,LTF,HPR,F9,C1R,TPP2,C2,CFI,F7,PRTN3,C1RL,C1S,KLK6,MST1,HTRA2,MASP1,MASP2,PLA2G4C,HGFAC,KLKB1,GZMM,PROC,PLG,F10,APEH,CFB,HABP2,CTSG,F12,F2	3.5318941153622e-07	0.0003203427962633516	0.0003203427962633516
1	serine-type peptidase activity (GO:0008236)	34/87	ELANE,MMP8,F11,LTF,HPR,F9,C1R,TPP2,C2,CFI,F7,PRTN3,C1RL,C1S,KLK6,MST1,HTRA2,MASP1,MASP2,HGFAC,PLA2G4C,KLKB1,GZMM,PROC,ENDOU,F10,PLG,APEH,CFB,HABP2,CTSG,F12,F2,DPP7	1.2469212219621842e-06	0.001130957548319701	0.0005654787741598505
2	serine hydrolase activity (GO:0017171)	34/88	ELANE,MMP8,F11,LTF,HPR,F9,C1R,TPP2,C2,CFI,F7,PRTN3,C1RL,C1S,KLK6,MST1,HTRA2,MASP1,MASP2,HGFAC,PLA2G4C,KLKB1,GZMM,PROC,ENDOU,F10,PLG,APEH,CFB,HABP2,CTSG,F12,F2,DPP7	1.697260513331867e-06	0.0015394152855920033	0.0005131384285306678
3	phospholipid binding (GO:0005543)	62/203	MAPKAP1,ASAP1,APOA4,ALOX15,APOE,NCF1,APOC3,VNN1,PIK3C2A,PSD4,DYSF,NISCH,SNX1,FES,MYO1G,SNX16,WIPI1,PLA2G15,PCTP,LDLRAP1,MITD1,ARAP1,ANKFY1,DAB2,ANXA3,SNX17,PLEK,APOM,BTK,ZFYVE16,ZFYVE26,ARHGAP9,SNX30,PON1,SNX13,GRB7,ARHGAP32,PLA2G4C,MYO10,ANXA9,SNX21,F10,SNX2,CYTH3,SBF2,SNCA,BIN2,EPB41,APOB,SNX27,IGHM,CEACAM5,ARL6,PLCB1,APOA2,SNX11,NCF4,PREX1,PXK,TWF2,APOA1,APOC1	2.3786970071895673e-06	0.0021574781855209376	0.0005393695463802344
4	endopeptidase inhibitor activity (GO:0004866)	32/88	SERPINF2,ITIH2,C3,ITIH1,AGT,SERPINA10,KNG1,C5,FETUB,AMBP,SERPINB10,USP14,ITIH3,SERPINA7,UCHL5,SERPING1,SERPINA1,C4B,HRG,ITIH4,SERPIND1,PROS1,A2M,SNCA,SERPINA6,SERPINA3,C4A,SERPINA4,PZP,BIRC6,AHSG,SERPINC1	1.5034301417652146e-05	0.013636111385810498	0.0027272222771620993
5	peptidase inhibitor activity (GO:0030414)	32/89	SERPINF2,ITIH2,C3,ITIH1,AGT,SERPINA10,KNG1,C5,FETUB,AMBP,SERPINB10,USP14,ITIH3,SERPINA7,UCHL5,SERPING1,SERPINA1,C4B,HRG,ITIH4,SERPIND1,PROS1,A2M,SNCA,SERPINA6,SERPINA3,C4A,SERPINA4,PZP,BIRC6,AHSG,SERPINC1	1.961945302254632e-05	0.01779484389144951	0.002965807315241585
6	endopeptidase regulator activity (GO:0061135)	32/92	SERPINF2,ITIH2,C3,ITIH1,AGT,SERPINA10,KNG1,C5,FETUB,AMBP,SERPINB10,USP14,ITIH3,SERPINA7,UCHL5,SERPING1,SERPINA1,C4B,HRG,ITIH4,SERPIND1,PROS1,A2M,SNCA,SERPINA6,SERPINA3,C4A,SERPINA4,PZP,BIRC6,AHSG,SERPINC1	4.204649745157801e-05	0.03813617318858125	0.005448024741225893
7	phosphatidylinositol binding (GO:0035091)	40/129	MAPKAP1,ASAP1,ALOX15,NCF1,VNN1,PIK3C2A,SNX1,FES,MYO1G,SNX16,WIPI1,LDLRAP1,MITD1,ARAP1,ANKFY1,DAB2,SNX17,PLEK,BTK,ZFYVE16,ZFYVE26,ARHGAP9,SNX30,SNX13,GRB7,ARHGAP32,MYO10,SNX21,SNX2,CYTH3,SBF2,EPB41,SNX27,CEACAM5,PLCB1,SNX11,NCF4,PXK,TWF2,NISCH	9.90544248149756e-05	0.08984236330718287	0.011230295413397859
8	endopeptidase activity (GO:0004175)	54/191	F2,SPPL2B,MMP8,ELANE,F11,LTF,HPR,F9,C1R,TPP2,PSMA6,USP9X,C2,CFI,F7,MMP15,PRTN3,C1RL,C1S,KLK6,USP14,MST1,HTRA2,MASP1,ATG4C,MASP2,ATP6AP2,HGFAC,PLA2G4C,CTSL,KLKB1,NCSTN,GZMM,GCA,PROC,PLG,F10,HM13,BLMH,APEH,CFB,HABP2,CAPN7,CTSG,DDI2,IDE,F12,BMP1,ADAM17,MALT1,PSMB6,USP5,MMP9,USP15	0.00011101564229774626	0.10069118756405586	0.011187909729339541
9	enzyme activator activity (GO:0008047)	71/269	ASAP1,ARHGAP35,APOA4,TBC1D1,APOE,RAPGEF2,RASAL3,SOS1,RALGAPA2,AGT,EVI5L,TSC2,LTF,SIPA1,ARHGDIA,MGST2,GIT2,DOCK4,STARD8,ARHGAP5,RGS19,TBC1D2B,LLGL1,ARHGAP4,GMIP,TBCD,ERCC6,RALGAPB,SRGAP3,ARAP1,MAP3K5,TBC1D10C,APAF1,ARHGAP27,TBC1D24,BCAS3,PIK3CA,TAB1,GMFG,ARHGAP9,APOC2,EVI5,RIN3,ARHGAP32,ARHGAP30,USP6NL,TBC1D17,DOCK2,ARHGEF12,ATP7A,PRKCD,CHML,MYO9B,ARHGDIB,TBC1D9B,TBC1D8,ALOX5AP,ARHGAP15,PHACTR4,STK4,PLCB1,APOA2,BCL2L13,NCF4,ACAP1,PREX1,MMP15,MALT1,ARHGEF6,APOA1,APOC1	0.00011275800642056966	0.10227151182345669	0.010227151182345668
