	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	Complement and coagulation cascades_Homo sapiens_hsa04610	50/68	SERPINF2,C3,F11,C7,C8A,F9,F13A1,KNG1,C1R,C2,CPB2,F7,C8G,CFI,C5,C1S,C1QA,MASP1,C8B,C9,MASP2,SERPING1,SERPINA1,C4B,C4BPA,FGB,VWF,KLKB1,C5AR1,VTN,FGA,C4BPB,FGG,PROC,F10,PLG,ITGAM,C6,SERPIND1,PROS1,F13B,A2M,CFB,CLU,F12,MBL2,C4A,SERPINC1,F2,F5	2.5222149035298935e-24	6.9360909847072075e-22	6.9360909847072075e-22
1	Staphylococcus aureus infection_Homo sapiens_hsa05150	19/40	C3,C1R,C2,FPR3,CFI,C5,C1S,C1QA,KRT10,MASP1,MASP2,C4B,C5AR1,FGG,PLG,ITGAM,CFB,MBL2,C4A	1.0535912294075472e-05	0.0028973758808707546	0.0014486879404353773
2	Systemic lupus erythematosus_Homo sapiens_hsa05322	16/38	ELANE,C3,C4B,C8G,C5,CTSG,C4A,C7,C8A,C1S,C6,C9,C8B,C1R,C1QA,C2	0.00030537325631512077	0.08397764548665822	0.02799254849555274
3	Vitamin digestion and absorption_Homo sapiens_hsa04977	6/9	APOA4,APOB,FOLH1,APOA1,SLC5A6,LMBRD1	0.0014251736898937062	0.3919227647207692	0.0979806911801923
4	Platelet activation_Homo sapiens_hsa04611	27/88	ITGA2B,ARHGAP35,PIK3R1,PLCG2,STIM1,ITGB3,ROCK1,GP1BB,GP1BA,FYN,PRKCZ,BTK,RASGRP2,PPP1CB,PLCB2,PIK3CA,PLA2G4C,FGB,VWF,FGA,FGG,LYN,ARHGEF12,FERMT3,PTGS1,PLA2G4F,PLCB1	0.0015215867355778364	0.418436352283905	0.083687270456781
5	Prion diseases_Homo sapiens_hsa05020	11/26	C8G,C5,C7,C8A,SOD1,FYN,C6,C1QA,C8B,C9,BAX	0.0025477339234333232	0.7006268289441638	0.11677113815736065
6	NF-kappa B signaling pathway_Homo sapiens_hsa04064	18/53	LBP,LCK,TAB1,PIAS4,TNFAIP3,PRKCB,BIRC2,CSNK2A2,LYN,ZAP70,PLCG2,MALT1,MAP3K7,CSNK2A1,BTK,BCL2L1,PTGS2,VCAM1	0.0026348424089491372	0.7245816624610127	0.10351166606585896
7	Pertussis_Homo sapiens_hsa05133	16/49	C3,C4B,C4BPA,C5,C4A,IRF3,CXCL6,C1S,CALML5,C4BPB,IRF8,ITGAM,C1QA,C1R,SERPING1,C2	0.006861281520030409	1.0	0.2358565522510453
8	Chemokine signaling pathway_Homo sapiens_hsa04062	28/102	PTK2B,NCF1,SOS1,PIK3R1,HCK,PPBP,ROCK1,GNG4,PF4,CXCL6,PRKCZ,RASGRP2,PIK3CA,PLCB2,GRB2,PRKCB,FGR,DOCK2,LYN,PRKCD,ELMO1,STAT5B,GNG2,ARRB2,PLCB1,PREX1,GNG7,GRK6	0.0072879738652266305	1.0	0.22268809032636927
9	African trypanosomiasis_Homo sapiens_hsa05143	8/20	PRKCB,HPR,PLCB1,HBA1,HBB,APOA1,PLCB2,VCAM1	0.014377209139415004	1.0	0.3953732513339126
10	Osteoclast differentiation_Homo sapiens_hsa04380	23/84	NCF2,NCF1,CSF1,PIK3R1,LILRB2,PLCG2,ITGB3,LILRB5,PPP3CB,FYN,BTK,TAB1,PIK3CA,TGFB1,GRB2,LCK,SPI1,MAP3K7,JAK1,TGFBR1,PPP3CC,NCF4,CREB1	0.014595894387368033	1.0	0.36489735968420084
11	Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	6/14	FPR3,CTSG,C5AR1,PLG,P2RX4,F2	0.02317827286323064	1.0	0.5311687531157021
12	Jak-STAT signaling pathway_Homo sapiens_hsa04630	14/48	GRB2,PTPN2,AOX1,STAT5B,JAK1,PIAS4,SOS1,PTPN6,CSF2RA,PIK3R1,MCL1,MTOR,BCL2L1,PIK3CA	0.030134518620053338	1.0	0.6374609708088207
13	Linoleic acid metabolism_Homo sapiens_hsa00591	3/5	ALOX15,PLA2G4C,PLA2G4F	0.039785947790497586	1.0	0.7815096887419168
14	Arachidonic acid metabolism_Homo sapiens_hsa00590	10/32	PTGS1,PLA2G4C,ALOX12,PLA2G4F,ALOX15,CYP2U1,CYP4F3,ALOX5,GPX1,PTGS2	0.03986079618347692	1.0	0.7307812633637435
15	Nitrogen metabolism_Homo sapiens_hsa00910	5/12	CA12,CA2,CA1,CA3,CA8	0.04276567999317846	1.0	0.7350351248827547
16	Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	7/21	HMBS,BLVRB,UROD,CP,UROS,ALAD,EARS2	0.058229668909161404	1.0	0.9419505264717286
17	Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	10/34	CAT,PPP3CC,SOD1,PPP3CB,MAP3K5,CCS,APAF1,GPX1,BCL2L1,BAX	0.05850868266799654	1.0	0.8938826518721694
18	Fat digestion and absorption_Homo sapiens_hsa04975	5/13	APOA4,APOB,CEL,AGPAT2,APOA1	0.05981791295344212	1.0	0.8657855822208728
19	Hematopoietic cell lineage_Homo sapiens_hsa04640	11/39	ITGA2B,ITGB3,GP1BB,GP1BA,GYPA,CSF1,CSF2RA,CD5,ITGAM,KIT,CD3D	0.06377242638975528	1.0	0.8768708628591351
20	Phospholipase D signaling pathway_Homo sapiens_hsa04072	20/82	PTK2B,AGPAT3,SOS1,TSC2,PIK3R1,KIT,PLCG2,FYN,CYTH1,PIK3CA,PLCB2,DGKQ,GRB2,PLA2G4C,AGPAT2,CYTH3,PLA2G4F,PLCB1,ARF6,MTOR	0.06685850338664441	1.0	0.875528020539391
21	Glycerophospholipid metabolism_Homo sapiens_hsa00564	13/49	PLA2G15,PLA2G4C,AGPAT3,LPCAT3,LPIN3,DGKQ,LPIN2,LCLAT1,PLA2G4F,LPGAT1,PNPLA6,AGPAT2,GPCPD1	0.07152929392731575	1.0	0.8941161740914468
22	Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	22/93	UBE4B,NEDD4L,HERC4,CDC16,UBE2R2,PIAS4,UBE2O,UBE2D1,CBL,UBE2B,DDB1,ANAPC5,ITCH,HERC2,MID1,UBE3B,BIRC2,BIRC6,UBE3C,UBR5,UBA3,CUL1	0.07526537204312564	1.0	0.8999120570373718
23	Regulation of autophagy_Homo sapiens_hsa04140	6/18	ATG3,ATG7,PIK3R4,ATG14,ATG4C,ATG4A	0.07735188128351934	1.0	0.8863236397069926
24	Serotonergic synapse_Homo sapiens_hsa04726	13/50	GNG4,PLA2G4C,ALOX12,PTGS1,PLA2G4F,ALOX15,GNG2,PRKCB,PLCB1,ALOX5,GNG7,PLCB2,PTGS2	0.08194668459309144	1.0	0.9014135305240059
25	Malaria_Homo sapiens_hsa05144	8/27	GYPA,VCAM1,GYPC,TLR2,HBA1,HBB,PECAM1,TGFB1	0.08280864162735325	1.0	0.8758606325970056
26	Leishmaniasis_Homo sapiens_hsa05140	13/51	C3,JAK1,NCF2,NCF1,PRKCB,PTPN6,ITGAM,TLR2,NCF4,MAP3K7,TAB1,PTGS2,TGFB1	0.09327696667094156	1.0	0.9500431790558862
27	Ras signaling pathway_Homo sapiens_hsa04014	25/111	RASAL3,CSF1,SOS1,PIK3R1,ZAP70,KIT,PLCG2,BCL2L1,GNG4,RAB5B,CALML5,TBK1,RASGRP2,PIK3CA,GRB2,PLA2G4C,EXOC2,PRKCB,RGL2,PLA2G4F,GNG2,STK4,GNG7,ARF6,RASSF5	0.09783428244979908	1.0	0.9608724169176696
28	Renin secretion_Homo sapiens_hsa04924	9/33	CREB1,PPP3CC,AQP1,AGT,CALML5,PPP3CB,KCNMA1,PLCB1,PLCB2	0.10575577093608157	1.0	1.0
29	Type II diabetes mellitus_Homo sapiens_hsa04930	7/24	HK3,PKLR,PIK3R1,PRKCZ,PRKCD,MTOR,PIK3CA	0.10878032107544745	1.0	0.9971529431916016
30	Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	16/67	GRB2,LCK,PTK2B,ICAM2,PPP3CC,SOS1,PTPN6,PPP3CB,PRKCB,PIK3R1,ZAP70,FYN,PLCG2,SH3BP2,PIK3CA,PRF1	0.10922952897960864	1.0	0.9689716280449153
31	Calcium signaling pathway_Homo sapiens_hsa04020	15/63	STIM1,PTK2B,PHKA2,ATP2A3,PHKB,PPP3CC,PRKCB,PPP3CB,CALML5,PLCB1,ERBB2,PLCG2,P2RX4,PHKA1,PLCB2	0.12060901265165888	1.0	1.0
32	Dopaminergic synapse_Homo sapiens_hsa04728	16/68	GNG4,PPP2R1B,CREB1,PPP2R2A,PPP2R5E,GNG2,PPP3CC,PRKCB,ARRB2,PPP3CB,CALML5,PLCB1,GNG7,PPP2R3A,PPP1CB,PLCB2	0.1209395171478769	1.0	1.0
33	Leukocyte transendothelial migration_Homo sapiens_hsa04670	17/73	RASSF5,PTK2B,ROCK1,ARHGAP35,NCF2,NCF1,PRKCB,SIPA1,PIK3R1,ITGAM,PLCG2,NCF4,ARHGAP5,MMP9,PECAM1,PIK3CA,VCAM1	0.12095470412624225	1.0	0.97831010690343
34	Collecting duct acid secretion_Homo sapiens_hsa04966	5/16	CA2,ATP6V0A2,SLC4A1,TCIRG1,ATP6V0A1	0.13026122154299474	1.0	1.0
35	Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	15/64	RPP25L,GTPBP4,UTP14A,WDR3,RIOK2,MDN1,NOB1,NVL,NXT2,CSNK2A2,WDR75,RPP30,CSNK2A1,GNL2,HEATR1	0.13353231564841572	1.0	1.0
36	Galactose metabolism_Homo sapiens_hsa00052	6/21	GALM,HK3,B4GALT1,UGP2,PFKL,MGAM	0.14368068812119447	1.0	1.0
37	Carbohydrate digestion and absorption_Homo sapiens_hsa04973	6/21	HK3,PRKCB,PIK3R1,PIK3CA,PLCB2,MGAM	0.14368068812119447	1.0	1.0
38	Pancreatic secretion_Homo sapiens_hsa04972	10/40	CPB2,CA2,ATP2A3,CEL,SLC9A1,SLC4A2,PRKCB,KCNMA1,PLCB1,PLCB2	0.14422671622557537	1.0	1.0
39	Legionellosis_Homo sapiens_hsa05134	10/40	HSF1,C3,NLRC4,HSPA8,RAB1B,ITGAM,APAF1,TLR2,BCL2L13,HBS1L	0.14422671622557537	1.0	1.0
40	Amoebiasis_Homo sapiens_hsa05146	16/70	CTSG,RAB5B,C8G,SERPINB10,C8A,PRKCB,ITGAM,PIK3R1,PLCB2,TLR2,PLCB1,C9,C8B,ARG1,PIK3CA,TGFB1	0.14647449248857675	1.0	0.9824508642526488
41	Fatty acid biosynthesis_Homo sapiens_hsa00061	3/8	ACSL5,MCAT,ACSL1	0.14863648965577494	1.0	0.9617655213020732
42	Primary bile acid biosynthesis_Homo sapiens_hsa00120	3/8	AMACR,ACOT8,SCP2	0.14863648965577494	1.0	0.9617655213020732
43	B cell receptor signaling pathway_Homo sapiens_hsa04662	13/56	GRB2,INPP5D,PPP3CC,SOS1,PRKCB,PPP3CB,PTPN6,PIK3R1,LYN,PLCG2,MALT1,BTK,PIK3CA	0.1634815056720897	1.0	1.0
44	Maturity onset diabetes of the young_Homo sapiens_hsa04950	1/1	PKLR	0.17391304347681696	1.0	1.0
45	Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	7/27	ARHGDIB,RAB5B,DYNC2LI1,DYNC2H1,DYNC1LI1,ARHGDIA,CREB1	0.1764094454466062	1.0	1.0
46	Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770	4/13	VNN1,VNN2,PPCDC,PANK3	0.17700024700215142	1.0	1.0
47	Glycerolipid metabolism_Homo sapiens_hsa00561	8/32	LPIN3,AGPAT3,LPIN2,LCLAT1,CEL,ALDH1B1,AGPAT2,DGKQ	0.17996253024372882	1.0	1.0
48	Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	12/52	PLA2G4C,ALOX12,PLA2G4F,PRKCB,CALML5,PIK3R1,PLCB2,PLCB1,PLCG2,PRKCD,PPP1CB,PIK3CA	0.18134623704974545	1.0	1.0
49	TNF signaling pathway_Homo sapiens_hsa04668	15/68	BCL3,RIPK3,CREB1,TNFAIP3,CSF1,ITCH,MAP3K5,PIK3R1,BIRC2,MAP3K7,MMP9,TAB1,PIK3CA,PTGS2,VCAM1	0.1925032085574061	1.0	1.0
50	Phosphatidylinositol signaling system_Homo sapiens_hsa04070	15/68	MTMR14,INPP5D,PRKCB,CALML5,PIK3R1,PLCB2,PLCB1,PIK3C2A,PLCG2,PIK3CA,INPP4A,PPIP5K2,SYNJ1,PI4K2A,DGKQ	0.1925032085574061	1.0	1.0
51	Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	9/38	PF4,TGFBR1,CSF1,TNFRSF6B,CXCL6,CSF2RA,KIT,TGFB1,PPBP	0.2038267664598512	1.0	1.0
52	Wnt signaling pathway_Homo sapiens_hsa04310	14/64	FZD6,WNT2B,PPP3CC,PRKCB,DAAM2,PPP3CB,CSNK2A2,DAAM1,PLCB1,CUL1,MAP3K7,CSNK2A1,APC,PLCB2	0.21230509139822012	1.0	1.0
53	Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	16/75	ASAP1,PLA2G4F,LIMK2,INPP5D,MYO10,NCF1,ARPC2,PRKCB,PIK3R1,HCK,LYN,PLCG2,DOCK2,PRKCD,PIK3CA,ARF6	0.22180561076531496	1.0	1.0
54	Endocytosis_Homo sapiens_hsa04144	37/188	ASAP1,FOLR2,CHMP2A,KIT,GIT2,PSD4,NEDD4L,SNX1,RAB5B,SH3KBP1,LDLRAP1,ARAP1,HSPA8,ARPC2,DAB2,MVB12A,PRKCZ,CYTH1,ZFYVE16,CBL,TGFB1,ARFGEF2,ITCH,SNX2,CYTH3,AP2S1,EHD1,VPS37A,TGFBR1,ARRB2,VPS4A,EPS15,VPS26A,ACAP1,AP2M1,ARF6,GRK6	0.22678733101358425	1.0	1.0
55	Retrograde endocannabinoid signaling_Homo sapiens_hsa04723	9/39	GNG4,GNG2,PRKCB,PLCB1,GNG7,FAAH,DAGLB,PLCB2,PTGS2	0.22691991921498156	1.0	1.0
56	Starch and sucrose metabolism_Homo sapiens_hsa00500	6/24	HK3,UGP2,PYGL,UXS1,AGL,MGAM	0.22837781383198263	1.0	1.0
57	AMPK signaling pathway_Homo sapiens_hsa04152	17/81	TBC1D1,PPP2R1B,PFKL,CREB1,PPP2R5E,PPP2R2A,RPTOR,PFKFB4,AKT1S1,TSC2,PIK3R1,PFKFB2,PPP2R3A,MTOR,ADIPOR1,MAP3K7,PIK3CA	0.23380758082743144	1.0	1.0
58	Glutamatergic synapse_Homo sapiens_hsa04724	11/50	GNG4,PLA2G4C,PLA2G4F,SLC1A3,GNG2,PPP3CC,PRKCB,PPP3CB,PLCB1,GNG7,PLCB2	0.24287420331013462	1.0	1.0
