covariate	log(HR)	log(HR) lower 95%	log(HR) upper 95%	pvalue	BH-corrected pvalue	prognostic association
AGXT2	-0.1572893146050565	-0.3050468454236919	-0.009531783786421055	0.03694235631408042	0.1782991461347504	not prognostic
LGALS4	-0.025623500914106766	-0.09634963425887529	0.045102632430661746	0.4776551751188475	0.715364132291576	not prognostic
AKR1C2	-0.09822532550829237	-0.1740839693758826	-0.022366681640702116	0.011153476574997465	0.09429374483092759	not prognostic
TUBAL3	-0.014346993665604383	-0.09683203953888625	0.06813805220767749	0.7331748604913526	0.8750985903185015	not prognostic
AKR1B10	-0.03254394580714913	-0.09341436613195744	0.028326474517659177	0.29469340099855645	0.5687411121233188	not prognostic
HLA-B	-0.043780529763448275	-0.11034159160871472	0.02278053208181817	0.19734036308682404	0.45629862363541723	not prognostic
HKDC1	-0.07022779846886475	-0.16285233143832378	0.022396734500594304	0.13726798497368037	0.3744546829583669	not prognostic
TUBB8	0.1111127650296744	-0.022004353854866432	0.24422988391421524	0.1018436576381358	0.3175918728088575	not prognostic
CEL	-0.022650067381295682	-0.08495500793274496	0.03965487317015361	0.4761448174680407	0.7139381260745886	not prognostic
MX1	0.004288589014793773	-0.09434744081640489	0.10292461884599244	0.9320887672160959	0.9737445429271537	not prognostic
TXN	0.024075025226226697	-0.06665430413827214	0.11480435459072552	0.6030103312584787	0.8027883265066409	not prognostic
LIN28B	0.015051504582318641	-0.06879035989506187	0.09889336905969916	0.7249449720166479	0.8706146659242183	not prognostic
HEPACAM	-0.04601115732776489	-0.16647289924534175	0.07445058458981196	0.45408556329567673	0.6973289962583522	not prognostic
CRYAB	0.06117349027437825	-0.03192642948847517	0.15427341003723166	0.19780152637301543	0.4570108556432535	not prognostic
CRP	0.040489270648404026	-0.024682709032949356	0.1056612503297574	0.22335203999490053	0.48808172176576625	not prognostic
PEG10	0.03120003264600993	-0.07511151673686643	0.1375115820288863	0.565152626395377	0.7765210963962262	not prognostic
UBD	-0.0356772960972679	-0.1424633645109561	0.07110877231642028	0.5125802628010674	0.7386336862800509	not prognostic
UCHL1	0.04961781478371924	-0.016318202934971285	0.11555383250240976	0.14023903300685375	0.3786369307932333	not prognostic
TUBA1C	0.012084513998168334	-0.0993780793105739	0.12354710730691056	0.8317210990017756	0.923298078036317	not prognostic
HLA-DQA2	0.006442469595693294	-0.07445217501835565	0.08733711420974223	0.8759604894143573	0.9451041530159968	not prognostic
ERAP2	-0.08451220302681471	-0.16815933336787836	-0.0008650726857510754	0.04767726431505195	0.2091399056406958	not prognostic
CCL20	0.24302489212480013	0.12154331642207335	0.36450646782752694	8.821005140316178e-05	0.01112316324242968	unfavorable
CT47A1	0.005134514558627468	-0.06350914229942793	0.07377817141668287	0.8834442634326369	0.9479238363509586	not prognostic
SLPI	0.0384385666289137	-0.07757688253901587	0.15445401579684329	0.5160922653923392	0.7407140192461708	not prognostic
HMGA2	0.10720143362795057	0.05028491555961965	0.1641179516962815	0.0002228796059584438	0.014565263592306183	unfavorable
SLCO1B7	-0.09680417182035927	-0.2521392193466656	0.05853087570594709	0.2219188612895029	0.4863744345471039	not prognostic
SLCO1B3	0.021471366794149918	-0.10396435974043101	0.14690709332873086	0.7372514359709672	0.8759936438285427	not prognostic
EPPK1	0.010299323130937626	-0.08393180697608155	0.10453045323795679	0.8303745924603292	0.9226040861624879	not prognostic
PCK1	-0.09713968509774411	-0.22488615187336813	0.030606781677879932	0.13612536625804103	0.373042670372893	not prognostic
S100A1	-0.03604743887266081	-0.14877194988325354	0.07667707213793193	0.5308138487771927	0.7495861810886761	not prognostic
