Gene	N131	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	18.400851445299413	17.591013834214028	0.8098376110853849	17.591013834214028	0.12157612039339877	0.788189730657541	0.023789552203246488	2.260511037205263
43161	19.376053202929484	18.5591936240114	0.8168595789180841	18.5591936240114	0.1421516761802415	0.7840101555608863	0.03757723410441551	2.079436657871034
43164	16.854211250680702	16.601098669252607	0.2531125814280948	16.601098669252607	0.11141265398127437	0.2352884103054087	0.48086664659140765	0.7049093572512529
43165	14.15414529544079	13.906732756726841	0.24741253871394875	13.906732756726841	0.15172215175630444	0.16690690028321242	0.6682878741600309	0.4284989825347136
43344	15.413104074865464	15.021038199000118	0.39206587586534525	15.021038199000118	0.13171727310953976	0.34971502057968007	0.3352508143755797	0.9635914115642497
43345	17.723460184026138	17.59721127362087	0.1262489104052662	17.59721127362087	0.1216867233575149	0.10454413408418683	0.7644105635703575	0.2996940158681816
43346	13.215397039119393	12.651404904400824	0.5639921347185695	12.651404904400824	0.1687126695072275	0.42863657009430123	0.29669128937288514	1.043555070216733
43347	17.05039625974138	16.63540362470453	0.4149926350368496	16.63540362470453	0.11144987764535783	0.397256952278797	0.23406281907132043	1.189958206353251
43348	15.237461718344896	15.543616265076366	-0.30615454673147013	15.543616265076366	0.12176926622085915	-0.3361753930829128	0.335357470425255	-0.9633787818363266
43349	16.30785369038679	16.31324445095726	-0.005390760570470832	16.31324445095726	0.1121897469096515	-0.02473667174493588	0.9411278223712506	-0.07385241167004117
43350	17.879300357253285	18.081744227197643	-0.20244386994435715	18.081744227197643	0.13141140102611054	-0.22935286110772335	0.5269392707765675	-0.6326851476140635
43351	16.387398246527557	16.50174516690157	-0.11434692037401462	16.50174516690157	0.11146240162839882	-0.13253794546473674	0.6913772152132598	-0.396986772038765
43352	18.65758589476145	18.86333232660215	-0.2057464318407014	18.86333232660215	0.14907903463508249	-0.24244009935108923	0.5300640668559478	-0.6279082184464861
43353	15.895150435920936	15.857339806476059	0.03781062944487701	15.857339806476059	0.11682284575133853	0.01326250788102823	0.9690477051125533	0.03880268376499979
43354	17.838596741733248	18.07113379281135	-0.23253705107810063	18.07113379281135	0.1311806801999993	-0.259319613300354	0.4740041717722062	-0.7159792334964414
43358	14.932657575847404	14.534684457282028	0.39797311856537654	14.534684457282028	0.14120056455163998	0.340782380624551	0.36446021788741534	0.9068989851475173
A1BG	17.760928832684886	17.605031792265425	0.15589704041946106	17.605031792265425	0.12182689809176248	0.13412004269881495	0.7007877770669856	0.38425726719296066
A1CF	19.120893518885484	18.859297560108807	0.2615959587766774	18.859297560108807	0.14898713487506227	0.22495328979876628	0.5600293711132026	0.5827978817469482
A2M	19.23040363698374	19.301131130876648	-0.07072749389290678	19.301131130876648	0.15905076537002666	-0.1129548388973769	0.777001679313211	-0.2832285042585729
AAAS	17.20838932523576	16.678223762849736	0.5301655623860242	16.678223762849736	0.111534339167699	0.512513672698361	0.12487693404865678	1.534621069892754
AACS	15.939051250512117	16.38192537840814	-0.4428741278960242	16.38192537840814	0.11183296679761753	-0.46173014977763505	0.1673673236230181	-1.3807126714353406
AADAC	17.399493783038874	16.612750675254524	0.7867431077843499	16.612750675254524	0.11142222443199765	0.7689511485721333	0.0212433889221656	2.3036305944118696
AADAT	18.44525432684962	16.60972008262593	1.835534244223691	16.60972008262593	0.11141942965907162	1.817734121348821	5.1615929491245107e-08	5.445652118157946
AAGAB	13.611113200651964	13.467892651184757	0.1432205494672072	13.467892651184757	0.1580714976300205	0.044375648515627586	0.9111296225218947	0.11161380890021501
AAK1	15.86216462310312	15.989295075415097	-0.1271304523119774	15.989295075415097	0.11512086039379482	-0.14983058149289097	0.6587828148489375	-0.44159429252235366
AAMDC	16.48200067880129	16.71617421349821	-0.2341735346969216	16.71617421349821	0.11164373082161025	-0.25177539101947166	0.45113611688106037	-0.7535222984988857
AAMP	16.923560035459964	17.140543703557242	-0.21698366809727787	17.140543703557242	0.1148714141665563	-0.23543237840161535	0.487280518787072	-0.6946406688468395
AAR2	15.05639031258212	14.652950864925053	0.4034394476570675	14.652950864925053	0.13897559438402418	0.35014119486787	0.3476104675533912	0.9392342894913492
AARS	19.4809793707133	19.294226211101464	0.18675315961183614	19.294226211101464	0.15889349221150667	0.1446130912257244	0.7167622325074681	0.3627893709182119
AARS2	18.040208388012292	17.69975700587351	0.3404513821387809	17.69975700587351	0.12357619547848758	0.31776351556081217	0.3660305102286162	0.9039337906058559
AARSD1	17.58779557325429	17.324390098749674	0.2634054745046157	17.324390098749674	0.11726193098670964	0.24389374274213504	0.47632045899159237	0.7122330746547331
AASDHPPT	17.0016831575856	16.632171405633816	0.36951175195178365	16.632171405633816	0.1114452052320456	0.35176854931457513	0.292009917884265	1.0537226455776498
AASS	20.32078703982635	19.21053753314553	1.1102495066808196	19.21053753314553	0.15698731760803109	1.06916724418452	0.006966452162408931	2.698443694095288
AATF	15.569526613513705	15.905070950804182	-0.33554433729047695	15.905070950804182	0.11617753223616009	-0.3593924257874578	0.29169710099739676	-1.0544059463375275
ABAT	20.076517203670214	19.230404247505493	0.8461129561647205	19.230404247505493	0.15743982118787503	0.8047795829091823	0.042535610389004976	2.028241459692396
ABCA1	17.518531692861377	17.26149534361699	0.25703634924438745	17.26149534361699	0.11638524451469964	0.23792959235687927	0.4855348635228973	0.6974281920994128
ABCA10	15.813022978456024	15.34423127204384	0.4687917064121834	15.34423127204384	0.1253991973843138	0.4345279169484372	0.2197952556669871	1.2270727317202508
ABCA2	14.57002501828781	14.466409614945567	0.10361540334224273	14.466409614945567	0.1424467168611841	0.04409801142490333	0.906986582028253	0.11684033235085077
ABCA6	19.082280025764017	18.488876389805128	0.5934036359588895	18.488876389805128	0.14055006256530042	0.5614430064781806	0.13424229562682394	1.497580425417907
ABCA8	18.548196729085426	17.678822926463177	0.8693738026222491	17.678822926463177	0.12318168506458088	0.8468927924301477	0.015822291221558222	2.412989134999384
ABCB1	18.611938206935296	18.518365597503998	0.0935726094312983	18.518365597503998	0.14122173739832622	0.061239243060108306	0.8705505130800361	0.16295925815398898
ABCB10	18.27366946302536	18.541974406973157	-0.2683049439477969	18.541974406973157	0.141759474570517	-0.3009367203108506	0.4241278701811182	-0.7992803500840095
ABCB11	19.97709769710626	18.711140891628506	1.265956805477753	18.711140891628506	0.14561257471124403	1.2311868031539372	0.0012533752148632766	3.226446819627234
ABCB4	19.348609522255817	18.71125871300999	0.6373508092458273	18.71125871300999	0.14561525832545105	0.6025793176864981	0.11431216669429253	1.5791041642491108
ABCB5	13.242397354353947	12.734386902943557	0.5080104514103905	12.734386902943557	0.16766289030926326	0.37643021749674166	0.3579289990508654	0.9193185096508725
ABCB6	17.159766757454083	16.803312003771072	0.3564547536830105	16.803312003771072	0.11201390544688392	0.3388842863248499	0.31127628483773007	1.0125476308059174
ABCB7	17.538700822477338	17.29111943821705	0.24758138426028964	17.29111943821705	0.11679085309275958	0.22828901571988192	0.5041295298876831	0.6680063644602933
ABCB8	17.737211981776568	17.664107944216443	0.07310403756012462	17.664107944216443	0.12290700066887086	0.05076658923180366	0.8848632237890016	0.14480703988786595
ABCC1	15.799860555239693	15.83445970037464	-0.03459914513494766	15.83445970037464	0.11714344919061173	-0.059495424776574546	0.8619991183873316	-0.17382993425978555
ABCC11	15.345794469776402	15.140786145617982	0.2050083241584204	15.140786145617982	0.12933931908734086	0.16582462099353334	0.644735540429592	0.46108790290635465
ABCC12	13.263820642511845	13.240574660208754	0.023245982303091495	13.240574660208754	0.1611398843762359	-0.08554820296157006	0.8312390452601855	-0.2131127176309479
ABCC2	18.422387092836438	17.980876921654016	0.4415101711824221	17.980876921654016	0.12924297686826808	0.4157855929063742	0.2474545756660168	1.1565541212802697
ABCC3	18.401191182250695	18.238664449450752	0.16252673279994312	18.238664449450752	0.13488141867712167	0.13370737808826372	0.7158092335678569	0.36406531918530777
ABCC4	16.040515542185865	16.448601766712684	-0.4080862245268193	16.448601766712684	0.1115859916115439	-0.4265422595853685	0.20163720146409947	-1.2769009988611768
ABCC6	18.98280065357547	18.26482819788135	0.7179724556941203	18.26482819788135	0.13546859360214691	0.6888285404476777	0.06127462202177119	1.8715085779839884
