Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
EEF1A2	0	1875.9106280305155	0.0	0.0	0.0
IGF2BP1	0	2234.9717195373196	0.0	0.0	0.0
AFP	0	1247.5864322910336	4.91985662753143e-252	1.497768352641485e-248	4.493305057924455e-248
IL32	1	976.9156027139137	4.48226151578784e-195	1.0234123605922585e-191	4.093649442369034e-191
HMGA2	0	928.3265351732646	7.331837843994242e-184	1.3392335005839883e-180	6.6961675029199415e-180
SEC14L3	0	889.0061364098582	1.7168927083059433e-175	2.6133968508263633e-172	1.568038110495818e-171
SPINK1	1	783.3181962924339	7.537473854013457e-154	9.834249815529272e-151	6.88397487087049e-150
S100P	3	760.4536491761824	1.2059896029503096e-150	1.376787880468147e-147	1.1014303043745177e-146
AKR1B10	0	765.0469001749708	3.686789168288045e-149	3.741271719330524e-146	3.3671445473974715e-145
DVL1;DVL1P1	12	671.2920783283454	1.0818277421056704e-139	9.880332768651088e-137	9.880332768651088e-136
GSTA2	0	666.9233772682562	2.1823519983670416e-128	1.81194734555329e-125	1.993142080108619e-124
CRP	0	664.2009486663999	8.206418982011687e-128	6.245768713559395e-125	7.494922456271274e-124
ALDH1A2	0	663.5000502265135	1.154084914306449e-127	8.107890401815999e-125	1.0540257522360799e-123
VCAN	0	656.7697047777525	3.047799594914462e-126	1.9882538357395558e-123	2.7835553700353784e-122
PAGE2;PAGE2B	0	646.0032704824014	5.721172636143442e-124	3.4834313123932036e-121	5.225146968589805e-120
MAGEB2	0	615.3195836997965	1.7012737660699664e-117	9.711083315948126e-115	1.5537733305517002e-113
THBS2	0	606.6145301203513	1.1629144492860162e-115	6.247586861958344e-113	1.0620897665329186e-111
PLA2G2A	0	590.6929205001702	2.6258963905552855e-112	1.33235065194119e-109	2.3982311734941423e-108
CPA2	10	551.2307802223775	4.887483244600553e-112	2.349336024891413e-109	4.463738447293685e-108
DMBT1	10	525.4496040572625	1.6013952366065038e-106	7.3127713479636e-104	1.46255426959272e-102
MT2A	0	538.7016647938234	2.239875104646116e-101	9.741323490825227e-99	2.0456779330732978e-97
CCL20	1	523.1900862961909	7.555145210932986e-99	3.136415509611407e-96	6.900114121145096e-95
POSTN	0	522.8795674865166	4.6760555309539535e-98	1.8568006593131503e-95	4.270641516420246e-94
SQSTM1	0	518.464871301863	3.940111630780626e-97	1.4993766468299775e-94	3.598503952391946e-93
IGF2BP3	0	516.3734243057423	1.0812450779100656e-96	3.9500045186210516e-94	9.87501129655263e-93
GSTM1	0	476.9183125362478	1.9593061928780753e-88	6.882439792136716e-86	1.7894343459555463e-84
SCGN	0	471.9477369826829	2.141292975488253e-87	7.243121757457116e-85	1.9556428745134213e-83
PYCR1	0	470.4797562407566	4.33831027753566e-87	1.4150638487404707e-84	3.962178776473319e-83
MT1H	1	465.47406927629197	9.58118567967262e-87	3.017412717670691e-84	8.750496881245004e-83
HLA-DRB4	0	458.13748037188583	1.636692517801664e-84	4.982637588360865e-82	1.4947912765082597e-80
NEB	0	446.9212951366035	3.5734652349707145e-82	1.052788967451211e-79	3.2636457990987534e-78
UCHL1	0	436.2093686870632	6.092194288922094e-80	1.7387503262726712e-77	5.564001044072548e-76
EPCAM	0	429.815236307961	1.3055656580842645e-78	3.613251865237451e-76	1.1923731155283587e-74
ENO3	0	426.3800494193216	6.769040666408873e-78	1.8182837766562422e-75	6.1821648406312234e-74
TOP2A	0	414.32116277793375	2.17517925150183e-75	5.67597488684749e-73	1.9865912103966215e-71
SULT1C2	0	414.0481073817297	2.47870209422898e-75	6.288329507387021e-73	2.2637986226593277e-71
ACSL4	0	412.3501624850514	5.584021954624896e-75	1.3783479057186264e-72	5.099887251158917e-71
DNAJB9	0	396.33675466767716	1.175414850270734e-71	2.825016796716477e-69	1.0735063827522613e-67
FLNC	0	378.84840001507666	4.923719602241288e-68	1.1530341314684534e-65	4.496833112726968e-64
NQO1	0	373.05291676990436	7.77757399756598e-67	1.775814582994252e-64	7.103258331977009e-63
LZTS1	0	372.3892222942263	1.0667000865437956e-66	2.3761394854645088e-64	9.742171890404485e-63
PIGR	0	367.816550752046	9.396452402462434e-66	2.0432809474211764e-63	8.58177997916894e-62
HLA-DQA2	0	366.09146972728377	2.1344680110483417e-65	4.5335107778847685e-63	1.9494096344904506e-61
TTC25	0	365.27030885939416	3.154098254412074e-65	6.546904399442152e-63	2.880637935754547e-61
CLEC4M	0	364.31203995446845	4.974524203546674e-65	1.0096073233553726e-62	4.543232955099177e-61
DHRS2	0	363.17400888117874	8.545015843977682e-65	1.6965571674575688e-62	7.804162970304818e-61
MFAP4	0	362.46042210176927	1.1995623166314227e-64	2.3309792846371876e-62	1.0955602637794783e-60
DEFA3	0	357.6695651616234	1.1685226894573539e-63	2.223357858919586e-61	1.0672117722814012e-59
BUB1B	10	320.267603084265	8.005900354249443e-63	1.492201794599187e-60	7.311788793536017e-59
ADAMTS4	10	314.27278714082524	1.487827282394289e-61	2.7176653140214084e-59	1.358832657010704e-57
ADIRF	0	347.1911391257108	1.6883590676074032e-61	3.023486934207532e-59	1.5419783364458415e-57
AGR2	0	346.4463408637596	2.4035448384602648e-61	4.221456732626461e-59	2.1951575009657598e-57
PAGE4	10	308.2586340291188	2.787158100835505e-60	4.802851874515219e-58	2.5455114934930663e-56
CT47A1	10	306.0257987579686	8.269325446967991e-60	1.3985879501325676e-57	7.5523749307158665e-56
GLUL	0	335.5663871712857	4.1634071846402535e-59	6.913526875876261e-57	3.8024397817319435e-55
L1RE1	0	334.3545022511602	7.38844306028205e-59	1.2049759012420709e-56	6.747865046955597e-55
SRD5A2	0	333.30606383298124	1.2134433621973786e-58	1.9442768819208172e-56	1.1082378226948659e-54
MT1M	10	298.9306395477553	2.616296155594887e-58	4.119764273973811e-56	2.3894632789048105e-54
SLCO1B3	0	326.6874368450061	2.7754600345811166e-57	4.296318050140565e-55	2.534827649582934e-53
ANKRD12	0	326.5899833513598	2.9062838915388594e-57	4.423848463570734e-55	2.6543090781424405e-53
TKTL1	10	293.51843568423396	3.642579462780745e-57	5.453717743209269e-55	3.326767823357654e-53
SLC7A9	0	323.6356622425942	1.1737361944554e-56	1.7289891393485755e-54	1.0719732663961168e-52
CCDC177	0	322.65983453774066	1.8609809031005545e-56	2.697831521907518e-54	1.6996338588017366e-52
RLF	12	281.3900371747449	3.7403090372165882e-56	5.337537880765485e-54	3.41602424368991e-52
FTH1	0	311.786758729274	3.145563744923209e-54	4.4197590280590264e-52	2.872843368238367e-50
RAB19	0	308.1160050737321	1.7734316219625937e-53	2.454053182330965e-51	1.6196751003384368e-49
NTS	2	299.4937407338971	6.12034549568448e-53	8.342853046580053e-51	5.589711541208636e-49
MDK	0	304.0116811082212	1.2246158253139867e-52	1.6447671077342117e-50	1.118441633259264e-48
HLA-B	0	301.79714101684567	3.471382500041465e-52	4.594802372880971e-50	3.1704136372878705e-48
CYP3A5	0	299.232390163588	1.1595915620094239e-51	1.5129356765474383e-49	1.0590549735832069e-47
SLC2A5	1	295.637781258653	1.565653194993183e-51	2.0139592436440483e-49	1.429911062987274e-47
CYP3A4	0	297.8761797313684	2.1936718493103672e-51	2.7826118055210536e-49	2.0034804999751584e-47
SLCO1B7	10	263.76673918998733	6.880193516243452e-51	8.607781833404308e-49	6.283680738385145e-47
PPBP	0	293.88328202545625	1.4316745686577292e-50	1.766957275074465e-48	1.3075483835551041e-46
UBD	0	291.147343089785	5.171895794809225e-50	6.297989905865686e-48	4.7234924293992656e-46
STXBP4	0	290.8090920304918	6.061626528549746e-50	7.284320405953267e-48	5.536083508524483e-46
ALDH3A1	0	290.25905104267423	7.846620493855598e-50	9.306907139010802e-48	7.166318497038317e-46
SPP1	0	288.69758662194994	1.6323742016962688e-49	1.911342767191285e-47	1.4908473584092023e-45
CLEC1B	1	281.7322615297373	1.090641636886659e-48	1.2608645657830198e-46	9.960830069685856e-45
S100A12	0	282.5814392216791	2.869751692081622e-48	3.2761802754726818e-46	2.6209442203781453e-44
S100A1	10	250.8595117627976	3.5801385319365705e-48	4.0367166928613216e-46	3.2697405212176697e-44
SAA1	0	280.87661040561215	6.376277580147469e-48	7.101773553595956e-46	5.823454313948683e-44
SCD	0	278.82310526825944	1.6673026044830146e-47	1.8346355044269123e-45	1.5227474686743372e-43
CYP2A6	0	278.7470577424599	1.727705739765412e-47	1.8784686334854176e-45	1.5779136521277508e-43
REG1A	10	244.52218004528	7.690407822700475e-47	8.263117017026286e-45	7.023649464472344e-43
TLR5	0	270.51581830817145	8.102152607217666e-46	8.604297646711506e-44	7.399695976171895e-42
RTN3	0	267.64178057160143	3.099331431884611e-45	3.2535855134945007e-43	2.8306193967402155e-41
STMN2	0	264.1706828343135	1.5645462397508745e-44	1.623750091777811e-42	1.4289000807644737e-40
UGT2B7	0	261.0832785010181	6.595214871647881e-44	6.767876114916865e-42	6.0234097422760096e-40
VNN1	0	260.7716876266399	7.625357935016167e-44	7.738043780055851e-42	6.964239402050266e-40
CYP1A2	0	259.3438254743573	1.4826208146329331e-43	1.4879973516530304e-41	1.3540775900042577e-39
DNAH12	10	228.0326797195422	2.2200303923241113e-43	2.2038627796843596e-41	2.0275537573096107e-39
ANGPTL6	0	250.9198028781739	7.452194165824349e-42	7.318375195319761e-40	6.806088931647378e-38
CRYAB	0	249.85232479082177	1.2233790182156029e-41	1.1886298482301171e-39	1.11731205733631e-37
NAV3	0	248.4598805647127	2.334898036339949e-41	2.244697238515027e-39	2.1324623765892757e-37
FABP5	0	247.97959779460388	2.917840958328055e-41	2.775900153376055e-39	2.6648641472410124e-37
NR1D2	0	247.82659816563148	3.13251633737399e-41	2.949409454560479e-39	2.860927170923665e-37
HSD17B14	0	246.8308118720293	4.971911983935319e-41	4.633517566253191e-39	4.5408472149281275e-37
FBXO2	0	246.68398689940443	5.322311818802476e-41	4.90996705465889e-39	4.860867384112301e-37
NAT2	0	240.2082471294487	1.0695899317166546e-39	9.768564846368207e-38	9.768564846368207e-36
FTL	0	237.66548219409432	3.468525273717388e-39	3.1364397351347433e-37	3.1678041324860906e-35
CTGF	0	237.40385638881182	3.914619749509462e-39	3.5051198208107757e-37	3.575222217226991e-35
FCN2	0	236.7063911996343	5.4043708507415914e-39	4.792050386390579e-37	4.935811897982296e-35
ARID3A	0	236.60214926232715	5.671197182102038e-39	4.98029267924403e-37	5.179504386413792e-35
RPL22L1	0	236.38552571396846	6.268532054612708e-39	5.4524288814074155e-37	5.725050325477786e-35
LYVE1	0	235.59664408715784	9.026530674054987e-39	7.777292891145679e-37	8.24393046461442e-35
TXNDC15	11	199.83751829793977	3.5832742215398586e-38	3.058508735076965e-36	3.2726043465323527e-34
ASNS	0	230.00123129354128	1.1952441079456274e-37	1.0107559664692051e-35	1.0916164437867415e-33
AADAT	0	227.86548668086687	3.1996466573643323e-37	2.6809516441934353e-35	2.9222372921708446e-33
