Sample_id	MS_run	Sample_condition
Set1_MIX	Liver01	Internal_reference
T112	Liver01	Tumor_tissue
N112	Liver01	Tumor_adjacent_tissue
T113	Liver01	Tumor_tissue
N113	Liver01	Tumor_adjacent_tissue
T123	Liver01	Tumor_tissue
N123	Liver01	Tumor_adjacent_tissue
T125	Liver01	Tumor_tissue
N125	Liver01	Tumor_adjacent_tissue
T127	Liver01	Tumor_tissue
N127	Liver01	Tumor_adjacent_tissue
Set2_MIX	Liver02	Internal_reference
T131	Liver02	Tumor_tissue
N131	Liver02	Tumor_adjacent_tissue
T135	Liver02	Tumor_tissue
N135	Liver02	Tumor_adjacent_tissue
T137	Liver02	Tumor_tissue
N137	Liver02	Tumor_adjacent_tissue
T141	Liver02	Tumor_tissue
N141	Liver02	Tumor_adjacent_tissue
T145	Liver02	Tumor_tissue
N145	Liver02	Tumor_adjacent_tissue
