	PC1	PC2	PC3	PC4	PC5
T137	34.937252349469645	45.13800975857544	-55.275671098420396	-30.239739175037574	-41.50306196528949
T135	93.5478823415198	38.84278246520193	4.635569146294676	10.497541843682068	52.31396236681008
N141	-68.15706127680424	5.969320343050241	5.743663605809397	-12.290349354782158	16.155366489600038
T141	50.621028460381275	60.88336995205494	2.497409907874342	-19.437766791656873	-49.25997139183534
N113	-57.0582720246412	-32.117969484388816	4.097076356799071	7.38643386619863	-11.733008757405473
T123	70.60653836115985	-38.99344553774464	-3.0592218455773836	-14.507868665008987	-6.674001821709292
T125	69.16587473407301	11.237374044762463	71.13076725491639	2.883694329280622	-1.4904038769120385
N127	-56.394788392555135	-44.85004425312631	-13.600509448813545	-4.422105655861714	-0.0959753177534674
N112	-65.96636005350412	-25.36554533812836	9.823518571845327	3.676269492032533	-9.376601294594243
N125	-53.830516975095364	16.94871086365526	30.686708962323237	12.72635415098904	-20.189321573875194
T145	36.83000809243806	45.68672021159105	-31.432267882586057	71.97875929680758	20.893546973558934
N137	-63.30900044875654	26.93661386020814	-7.724902102991556	-4.521227475922747	8.623843858917223
N135	-62.19738687703105	10.428857009556825	-15.991599176839062	-3.9294214621243824	14.486860159923737
T131	70.41180144456466	-4.3668696845019355	14.405690049888479	-49.04161840585445	24.45535820470244
N123	-46.53165094421182	-0.1599212382692761	40.89192806870783	5.884223461468779	-6.928600213782915
T112	56.68296656420414	-53.15420390390798	-5.859981239241226	-12.874922689348587	12.386544826762783
N145	-57.80544664193322	40.58631090949183	7.045162335334099	-9.804359264628228	9.059777876578842
T127	58.18764646098411	-53.11312588176141	-28.05265146374661	-3.722115615065903	1.7369640460736302
N131	-59.43847063568319	-8.245423452386637	-29.765947171453	-5.473378380986737	24.393377301262717
T113	49.69795546142132	-42.29152064393279	-0.19474283012402926	55.23159649581904	-37.25465589103294
