,x
TN31,1
TB145,2
TB32,3
TB28,3
TB36,2
TB2,1
TB49,4
TB53,1
TB85_1,1
TB159,3
TB64,3
TB153,3
TB156,1
TB87_1,1
TN21,5
TN24,3
TB27,4
TB138_1,5
TB86_1,2
TN35_1,1
TB55,3
TB52,3
TB150,4
TN17,3
TB58,4
TB1,4
TB65,2
TB12,1
TB158,2
TB4,4
TB137_1,3
TB113_1,1
TB31,1
TB103_1,5
TN28,3
TN9,3
TB62,1
TB149,3
TB125,3
TB133,2
TB135,3
TB37,4
TB110_1,5
TB60,4
TB48,3
TB59,1
TB63,1
TB123,2
TB141_1,2
TB155,3
TB144,3
TN34_1,5
TB109_1,3
TB17,3
TB39,2
TB107_1,5
TB115_1,3
TB151,4
TB117,2
TB154,2
TB93_1,1
TB74,5
TN12,3
TB41,2
TB99_1,3
TN26,1
TB69,3
TB130,3
TB101_1,1
TB45,3
TN10,5
TB124,4
TB26,4
TB126,2
TB100_1,3
TB105_1,3
TB106_1,3
TB94_1,3
TB50,1
TB3,3
TB120,2
TB24,4
TB161,2
TB82,3
TB121,2
TB152,3
TB114_1,2
TB134,3
TB47,3
TB78,2
TB8,1
TB91_1,2
TN33_1,1
TN27,3
TB6,3
TB98_1,1
TN7,5
TB108_1,3
TB84,3
TB61,2
TB96_1,5
TB88_1,3
TB97_1,1
TB111_1,2
TB162,2
TB75,1
TB23,3
TB77,4
TB90_1,5
TB116,3
TB80,4
TB76,4
TB119,3
TB40,2
TB104_1,5
TN15,3
TB102_1,3
TB160,4
TB71,2
TB89_1,2
TB143,2
TB146,3
TB33,2
TB42,5
TB72,4
TB140_1,5
TB81,4
TB51,5
TB95_1,3
TB92_1,5
TB46,3
TB38,1
TB147,3
TB43,3
TN32,5
TB118,3
