Sample_id	MS_run	Sample_condition	internal_ref
Set1_MIX	Liver01	Internal_reference	Yes
T112	Liver01	Tumor_tissue	No
N112	Liver01	Tumor_adjacent_tissue	No
T113	Liver01	Tumor_tissue	No
N113	Liver01	Tumor_adjacent_tissue	No
T123	Liver01	Tumor_tissue	No
N123	Liver01	Tumor_adjacent_tissue	No
T125	Liver01	Tumor_tissue	No
N125	Liver01	Tumor_adjacent_tissue	No
T127	Liver01	Tumor_tissue	No
N127	Liver01	Tumor_adjacent_tissue	No
Set2_MIX	Liver02	Internal_reference	Yes
T131	Liver02	Tumor_tissue	No
N131	Liver02	Tumor_adjacent_tissue	No
T135	Liver02	Tumor_tissue	No
N135	Liver02	Tumor_adjacent_tissue	No
T137	Liver02	Tumor_tissue	No
N137	Liver02	Tumor_adjacent_tissue	No
T141	Liver02	Tumor_tissue	No
N141	Liver02	Tumor_adjacent_tissue	No
T145	Liver02	Tumor_tissue	No
N145	Liver02	Tumor_adjacent_tissue	No
