"","coefficients.ConditionC...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionD","coefficients.ConditionA...ConditionB","coefficients.ConditionA...ConditionD","coefficients.ConditionB...ConditionD","df.residual","sigma","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionD","stdev.unscaled.ConditionA...ConditionB","stdev.unscaled.ConditionA...ConditionD","stdev.unscaled.ConditionB...ConditionD","Amean","s2.post","t.ConditionC...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionD","t.ConditionA...ConditionB","t.ConditionA...ConditionD","t.ConditionB...ConditionD","df.total","p.value.ConditionC...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionD","p.value.ConditionA...ConditionB","p.value.ConditionA...ConditionD","p.value.ConditionB...ConditionD","lods.ConditionC...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionD","lods.ConditionA...ConditionB","lods.ConditionA...ConditionD","lods.ConditionB...ConditionD","F","F.p.value"
"positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)",0.113281754100655,0.766558450248227,0.724282785342037,0.653276696147572,0.611001031241383,-0.0422756649061894,8,0.161797906092686,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00661045960571958,0.0247951095610132,0.881094679794262,5.9622185198944,5.63340243005426,5.08112384010013,4.75230775026,-0.32881608984013,10.5879122222204,0.397826482082138,0.000110166212141388,0.000175855108568791,0.000399183378927317,0.00066389073378395,0.748706397620261,-6.46561023750988,1.27571604984548,0.760227543875369,-0.0544982016616258,-0.536659282382605,-6.77560013614437,19.4283281508713,0.000128220221209617
"retinoid metabolic process (GO:0001523)",0.295131623638046,-0.282030157361989,0.318688928011627,-0.577161781000036,0.0235573043735803,0.600719085373616,8,0.148376318915522,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.02546222871129,0.021649612837064,2.45661053234464,-2.34755681710336,2.65269633746582,-4.80416734944801,0.196085805121175,5.00025315456918,10.5879122222204,0.0326455730374021,0.0394900173271179,0.0231436700422039,0.000612083620457977,0.848255589374676,0.000451739670007909,-4.29237719840962,-4.72269223866746,-4.23752532884547,-0.498012205708803,-7.04487722232815,0.0371652932559794,11.1172935583685,0.00132468073901354
"type B pancreatic cell proliferation (GO:0044342)",0.917333246089801,0.556038368412154,0.892180492623758,-0.361294877677648,-0.025152753466043,0.336142124211605,8,0.504726723704686,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0290529830558202,0.197498092667351,2.52808289473415,1.53238868643494,2.45876430624516,-0.995694208299209,-0.0693185884889901,0.926375619810219,10.5879122222204,0.0288044564104166,0.154744151245789,0.0325228029740326,0.341609722317493,0.946027826911819,0.374884296162782,-4.17155418549689,-5.97918633821829,-4.56977074823594,-6.60516075055363,-7.06311925357856,-6.3875775576224,2.77322065579265,0.0935034075539506
"CDP-diacylglycerol metabolic process (GO:0046341)",0.289951914771018,-0.182138605071305,0.465301622902109,-0.472090519842323,0.175349708131092,0.647440227973414,8,0.238117848150978,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00593216201044722,0.0478565377644093,1.6233081633458,-1.01971074999164,2.60501098422318,-2.64301891333745,0.98170282087738,3.62472173421483,10.5879122222204,0.133890833489128,0.330600313780378,0.0251665853391029,0.0235407333815842,0.348146351083092,0.0042438149717794,-5.59859732860926,-6.59252757637652,-4.31974100279235,-4.20906649631079,-6.56475319965416,-2.23989417310499,5.25815311500409,0.018034754433714
"cellular response to heat (GO:0034605)",-0.215266669693042,-0.18152746417029,-0.393615335481196,0.0337392055227516,-0.178348665788154,-0.212087871310906,8,0.128618195644396,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,5.35678558161723e-05,0.0175144128850926,-1.9921618992419,-1.67992610422096,-3.64267016078757,0.312235795020944,-1.65050826154567,-1.96274405656661,10.5879122222204,0.0727688900863291,0.122197847086199,0.00411543203630342,0.760924108921727,0.128154564744956,0.0764794754833684,-5.04955582498141,-5.77233269471689,-2.50303142448568,-7.06752580074767,-5.74979008939095,-5.05978714115234,4.45565659890611,0.0291568523189803
"definitive hemopoiesis (GO:0060216)",-0.371766876454932,-0.186973860313648,-0.0565585363036619,0.184793016141284,0.31520834015127,0.130415324009986,8,0.261947230893128,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0347633752912827,0.0568601954558796,-1.90946695955333,-0.960334099620439,-0.290495639047692,0.949132859932889,1.61897132050564,0.669838460572747,10.5879122222204,0.0836522484164037,0.358304664297137,0.777047742084544,0.363714217392189,0.134826186120763,0.517302481464944,-5.17756742894084,-6.65100606285104,-7.1219358551885,-6.65033202250826,-5.79443966471891,-6.59611273664821,1.437216375752,0.286620487653752
"dendrite development (GO:0016358)",-0.159096627571279,0.0241741769195161,-0.0794851530515744,0.183270804490795,0.0796114745197042,-0.10365932997109,8,0.241449746438855,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0251446560801589,0.0490638544960172,-0.879682133590224,0.133664627937006,-0.439491836455352,1.01334676152723,0.440190297134871,-0.573156464392359,10.5879122222204,0.398557503569821,0.896174418926367,0.669140160618433,0.333491723173271,0.668650065250555,0.57850805665402,-6.46686409898031,-7.122030707442,-7.06353321600566,-6.58756662846278,-6.96141139050477,-6.65880095027079,0.422334575449074,0.740893088318465
"amino sugar catabolic process (GO:0046348)",0.769329562486094,0.743016826578628,0.341704866562982,-0.026312735907466,-0.427624695923112,-0.401311960015647,8,0.145073122705338,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0280204736245757,0.0209172145601624,6.51487556423331,6.29205272139634,2.89364245689052,-0.222822842836971,-3.62123310734279,-3.39841026450582,10.5879122222204,5.18890918903517e-05,6.99484704029126e-05,0.0151480983984305,0.827913482198907,0.00426924561839075,0.00626753876338709,2.22404768895744,1.74874731026707,-3.81830931549393,-7.09335727870135,-2.44792857572112,-2.63188266754476,19.1864782162498,0.00013550682332454
"negative regulation of lymphocyte mediated immunity (GO:0002707)",-0.194384035498079,0.518442865612602,0.510236587690188,0.712826901110681,0.704620623188268,-0.00820627792241369,8,0.15513222656763,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00364754808480545,0.023198908420083,-1.5630484795428,4.16881628549992,4.1028293324229,5.73186476504272,5.66587781196569,-0.065986953077024,10.5879122222204,0.147414458723009,0.00169914995711056,0.00189507288182853,0.000152633724567255,0.000167804675897151,0.94861765190595,-5.68224155370932,-1.56325978638324,-1.70756818123764,0.945080896278178,0.888323588429951,-6.83143843028529,16.9360262742467,0.000233451460177779
"regulation of lymphocyte mediated immunity (GO:0002706)",-0.302812634345642,-0.0634887062524813,0.29293382692881,0.239323928093161,0.595746461274452,0.356422533181291,8,0.072618327419583,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0051061126465592,0.00899963222799397,-3.90937417575462,-0.819652420421188,3.78183671455829,3.08972175533344,7.69121089031291,4.60148913497948,10.5879122222204,0.00261771873980668,0.430478920006086,0.00324686121118604,0.0107356550745356,1.18836751859942e-05,0.000842651616781875,-1.7822395196356,-6.77759134073983,-2.26064806996129,-3.42982202213772,3.62963059655371,-0.599061814688339,20.0220222026539,0.000112219627875744
