"","coefficients.ConditionC...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionD","coefficients.ConditionA...ConditionB","coefficients.ConditionA...ConditionD","coefficients.ConditionB...ConditionD","df.residual","sigma","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionD","stdev.unscaled.ConditionA...ConditionB","stdev.unscaled.ConditionA...ConditionD","stdev.unscaled.ConditionB...ConditionD","Amean","s2.post","t.ConditionC...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionD","t.ConditionA...ConditionB","t.ConditionA...ConditionD","t.ConditionB...ConditionD","df.total","p.value.ConditionC...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionD","p.value.ConditionA...ConditionB","p.value.ConditionA...ConditionD","p.value.ConditionB...ConditionD","lods.ConditionC...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionD","lods.ConditionA...ConditionB","lods.ConditionA...ConditionD","lods.ConditionB...ConditionD","F","F.p.value"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532",-0.328148737860271,0.0284456873328398,0.361609332532024,0.356594425193111,0.689758070392295,0.333163645199184,8,0.31164062699969,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0234189085508117,0.0698738318308801,-1.52040429428238,0.131796774403805,1.67543652801853,1.65220106868619,3.19584082230091,1.54363975361473,11.6319450597957,0.155115988371574,0.897397232683225,0.120496349109073,0.125208118887089,0.00797470553715364,0.149432569968079,-6.3718897754749,-7.54533463278056,-6.08752075357057,-6.27533143837374,-3.53715928391512,-6.11493568468742,3.41034629817114,0.0543476290655845
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534",0.363932248725287,0.15249528454571,0.161300281411417,-0.211436964179577,-0.20263196731387,0.00880499686570677,8,0.278307476730557,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0221734538317618,0.05634912641555,1.8776843074042,0.786789309679341,0.832218107207973,-1.09089499772486,-1.04546620019623,0.045428797528632,11.6319450597957,0.0857159812387267,0.447139372276107,0.4220432217082,0.297400972473607,0.317047460175543,0.964536105964604,-5.84651758236986,-7.22814821401849,-7.08379432663059,-6.98954757149978,-6.93566703638673,-7.28489441912734,1.18707300025355,0.357107895016372
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563",0.44608823823392,0.0526683658447791,0.97308951776756,-0.393419872389141,0.52700127953364,0.920421151922781,8,0.145443103262366,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0117378982399283,0.0176272411053171,4.11504159749501,0.485851223474091,8.9764837996022,-3.62919037402092,4.86144220210719,8.49063257612811,11.6319450597957,0.00152792795735767,0.63609598541982,1.42989372488715e-06,0.00362788715804894,0.000427107690053679,2.52263689274584e-06,-1.8653253035704,-7.42818933977571,5.48420384306064,-2.83810530715223,-0.534022698553891,5.00264838657236,34.4403941271849,4.52392010045596e-06
"Steroid biosynthesis_Homo sapiens_hsa00100",0.483953178011791,0.372005657712236,1.00090365400893,-0.111947520299554,0.516950475997144,0.628897996296699,8,0.158985122428001,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0142839382241651,0.0204625865927083,4.14351304548261,3.18504013561088,8.56954254272133,-0.958472909871731,4.42602949723873,5.38450240711046,11.6319450597957,0.00145355712421002,0.0081338116185166,2.29667560003894e-06,0.35732328786059,0.000890607806930778,0.000182851287663417,-1.81392037558505,-3.60894453417434,4.98777788510703,-7.12430274391533,-1.29673940174542,0.540897179463803,25.0419190027685,2.28832727780164e-05
"SNARE interactions in vesicular transport_Homo sapiens_hsa04130",0.226750588380324,0.163652326232027,0.427000926606966,-0.063098262148297,0.200250338226642,0.263348600374939,8,0.116098747704791,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0105699358526429,0.0123488275443772,2.49908592983965,1.80366114501988,4.70610469121306,-0.69542478481977,2.2070187613734,2.90244354619317,11.6319450597957,0.0285136145685378,0.0972236901456444,0.000553518692934555,0.500446751343029,0.0482085024068804,0.0136504051645858,-4.80849393681675,-6.0019091932575,-0.754303897817382,-7.34654825743189,-5.29983221864015,-3.86620317506721,7.57079522644478,0.00449076837232222
"Protein export_Homo sapiens_hsa03060",0.470488811877797,0.861932666805766,0.765254470474965,0.391443854927969,0.294765658597167,-0.0966781963308011,8,0.172782462375067,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00140685835926196,0.0236108202732585,3.75007015396178,6.87010591306585,6.09952431910191,3.12003575910408,2.34945416514013,-0.770581593963942,11.6319450597957,0.00291932559208104,2.02261050504217e-05,6.10215429368958e-05,0.00916142806725993,0.0373648713214137,0.45632170595493,-2.52968251879562,2.61434069902454,1.54691501107031,-3.77550307092471,-5.05725857882467,-6.97303010742344,19.0523220568053,8.67441002877599e-05
"Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141",0.0110097624524272,0.468160633821901,0.63221132664531,0.457150871369474,0.621201564192883,0.164050692823409,8,0.0698227044701733,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.000267335440772019,0.00643153057307081,0.168138205894358,7.14962646844628,9.65496564231496,6.98148826255192,9.4868274364206,2.50533917386868,11.6319450597957,0.869362539855562,1.38124982456731e-05,6.72436545383092e-07,1.73537727518471e-05,8.07461895895727e-07,0.0281919217718081,-7.49779360587566,3.01598655678656,6.27335229893365,2.73365752758183,6.04486898664155,-4.57613676323757,48.2302646989276,7.66379152046824e-07
"N-Glycan biosynthesis_Homo sapiens_hsa00510",0.00649324606140719,-0.272806709445156,0.640169733670863,-0.279299955506563,0.633676487609456,0.912976443116019,8,0.138950499440963,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0260072852085503,0.0163573210826881,0.0621800978249626,-2.61242954913212,6.13034163310422,-2.67460964695708,6.06816153527926,8.74277118223634,11.6319450597957,0.951475064158278,0.0232021714967034,5.82957474310008e-05,0.0207136847995569,6.39350608173885e-05,1.87330755809918e-06,-7.51098768580204,-4.64876403626208,1.59479741377396,-4.58522892217197,1.45142307685931,5.31168116541525,27.470318696516,1.43886500953068e-05
"Other types of O-glycan biosynthesis_Homo sapiens_hsa00514",-0.0804118254612835,0.16743844836845,0.694425493955611,0.247850273829734,0.774837319416894,0.526987045587161,8,0.129055619385523,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00934973202777649,0.0145334552468166,-0.816922978348881,1.70104726694867,7.05483477721506,2.51797024529755,7.87175775556393,5.35378751026639,11.6319450597957,0.430386676025349,0.115485531041214,1.57023460044184e-05,0.0275528720738312,5.38949207474372e-06,0.000191986931379319,-7.16178453422975,-6.15585522373483,2.97073185657987,-4.86371526864933,4.05099589003763,0.49022411656947,25.0499006190533,2.28469831163673e-05
"Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533",0.104040664611497,-0.287654621183971,0.612771222891043,-0.391695285795468,0.508730558279546,0.900425844075014,8,0.474391492117316,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0254719787171497,0.157857333636574,0.320712853502331,-0.886716119389807,1.88891149601309,-1.20742897289214,1.56819864251076,2.7756276154029,11.6319450597957,0.754116397408792,0.393195894833913,0.0840834232008422,0.251245856235001,0.143621883887749,0.0172202091083418,-7.45763951417969,-7.14276117130641,-5.76453261852587,-6.85932975759461,-6.29374625470417,-4.09534204322025,2.67972486948281,0.0956162435538476
"Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601",-0.150741273514217,0.698835047066117,1.17065904033644,0.849576320580333,1.32140031385065,0.471823993270318,8,0.257259025422862,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0758723879812574,0.0485961011839766,-0.837485112793646,3.88257266621223,6.50392222105379,4.72005777900588,7.34140733384744,2.62134955484156,11.6319450597957,0.419195097505601,0.00230414150474548,3.38469410656853e-05,0.000540704888271154,1.06924157257192e-05,0.0228279276765169,-7.14439349465581,-2.32720343465143,2.16480137956661,-0.874657876635162,3.33051712325669,-4.37127183070479,23.5205727745629,3.12213355787476e-05
"Glycosphingolipid biosynthesis - globo series_Homo sapiens_hsa00603",0.889192499007019,1.06154349674828,0.896914975460404,0.172350997741266,0.0077224764533847,-0.164628521287881,8,0.232000375712096,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0784303030769604,0.0400967269056843,5.4385980002618,6.49275420682621,5.48583124283115,1.05415620656442,0.047233242569352,-1.00692296399506,11.6319450597957,0.000167860066078898,3.43921733191381e-05,0.000155831900510367,0.313216296899647,0.963128585173251,0.334459333310652,0.429465284958769,2.05564699219141,0.56588918703765,-7.02838225940966,-7.49991554676128,-6.76069656336076,17.3259866609993,0.000135811905783703
"Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604",0.720539180888847,0.827174948205453,1.30062050833162,0.106635767316607,0.580081327442775,0.473445560126168,8,0.150545291540884,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0786274018109496,0.0186658901090936,6.45920218058195,7.4151279637292,11.6592838340337,0.955925783147257,5.20008165345174,4.24415587030449,11.6319450597957,3.60872268507803e-05,9.7017761742131e-06,9.07582262467664e-08,0.358555524240218,0.000245527017835371,0.00121943872824864,2.04145693525289,3.38811710532832,8.35724663906227,-7.12675067136312,0.0429968842359418,-1.42204560704709,46.4353029012606,9.38554899393216e-07
"Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512",0.164149521552104,-0.321939183409369,0.218114629505624,-0.486088704961472,0.05396510795352,0.540053812914992,8,0.185278177758269,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0321402306181522,0.026688017647237,1.2306288514765,-2.41357783914465,1.63520522911502,-3.64420669062115,0.404576377638516,4.04878306825966,11.6319450597957,0.242767262016113,0.0332869137607851,0.128756830519729,0.00353102536180685,0.693129317900957,0.00171668496483323,-6.74245624029431,-4.99892545089099,-6.14581170529232,-2.81049828598678,-7.41313167324394,-1.77301281944139,6.64171171335979,0.00721298715250595
"Sphingolipid metabolism_Homo sapiens_hsa00600",0.401556318147394,0.341084098337469,0.768633489597685,-0.0604722198099245,0.367077171450291,0.427549391260216,8,0.111685421985032,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0210232750597656,0.0116574310637521,4.55502395322201,3.86906186698332,8.71893629396453,-0.685962086238689,4.16391234074252,4.84987442698121,11.6319450597957,0.00071449170943303,0.00236023007723999,1.9262196119782e-06,0.506179724125485,0.00140258927273329,0.000435384353378636,-1.07966067596231,-2.35186838869321,5.17211518717792,-7.35334901710577,-1.76583832499006,-0.359262638159029,25.5112874943023,2.08593245453102e-05
"Other glycan degradation_Homo sapiens_hsa00511",0.425635773638338,1.22851385191709,1.10739866377761,0.802878078278748,0.681762890139274,-0.121115188139474,8,0.115204248070566,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0254788116175191,0.0122065294547268,4.71832280615383,13.618509731049,12.2759051151699,8.90018692489517,7.5575823090161,-1.34260461587907,11.6319450597957,0.000542281131598991,1.67126791594108e-08,5.19632061299241e-08,1.56077321141679e-06,8.05493572081285e-06,0.205014536399634,-0.793368723847064,10.054072055196,8.93367709883709,5.27462823588383,3.62840867585503,-6.38054764119901,82.7595314341018,4.0370122046245e-08
"Glycosaminoglycan degradation_Homo sapiens_hsa00531",0.0989846223081868,0.811734735602286,0.618130848659348,0.712750113294099,0.519146226351162,-0.193603886942938,8,0.2267137198016,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00563320454280041,0.0384288623675978,0.618421522803433,5.07143654840302,3.86186674056821,4.45301502559959,3.24344521776478,-1.20956980783481,11.6319450597957,0.548216130792974,0.000302426400784597,0.00239067283091266,0.000850337160658561,0.00731008618743296,0.250453783231526,-7.30936587068144,-0.22383973758635,-2.26327860323145,-1.34498935646751,-3.44964491375602,-6.54137410899142,12.138044564189,0.000673382901654608
"Lysosome_Homo sapiens_hsa04142",0.646792481305723,0.881659896018827,0.800255384331615,0.234867414713104,0.153462903025892,-0.0814045116872122,8,0.0428352590599235,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.043254244538491,0.00434049549670548,12.0237776737994,16.3899285783823,14.8766306065269,4.36615090458291,2.85285293272755,-1.51329797185536,11.6319450597957,6.50770783022212e-08,2.14026150268176e-09,6.29746341683224e-09,0.000987233817200561,0.0149490983635019,0.156890924403922,8.66682745571867,12.1622035052163,11.0937036638924,-1.49967352168214,-4.16404300157263,-6.15664372876789,110.667873480911,7.99509975966333e-09
"Synaptic vesicle cycle_Homo sapiens_hsa04721",1.10382521436653,0.918582999539868,0.510471040515615,-0.185242214826662,-0.593354173850915,-0.408111959024253,8,0.0640852861622961,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0156903069358624,0.00590313319631135,17.5956230092298,14.6427531752541,8.13720856267695,-2.95286983397572,-9.45841444655287,-6.50554461257715,11.6319450597957,9.65559474120229e-10,7.50676288450545e-09,3.87173998649366e-06,0.0124451798760184,8.33031333628494e-07,3.37685035073306e-05,12.9731543014984,10.8791892748361,4.44016487425132,-4.0816131469239,6.01218228583245,2.30025144874416,121.788914605375,4.67035675044161e-09
