	ConditionB_rep3	ConditionA_rep2	ConditionD_rep1	ConditionA_rep3	ConditionC_rep1	ConditionD_rep3	ConditionC_rep2	ConditionB_rep1	ConditionA_rep1	ConditionD_rep2	ConditionC_rep3	ConditionB_rep2
ConditionB_rep3	1.0	-0.24658347212075576	0.024771868246163942	-0.34471313817148336	-0.6132881577199021	-0.03377383687176136	-0.5943397738575239	0.7407814274608833	-0.23211870538832638	0.036372819806055376	-0.7466813134191833	0.7165254979959442
ConditionA_rep2	-0.24658347212075576	1.0	-0.4798427191519304	0.6531406763992027	0.12168440148329188	-0.4779147515911357	0.07683863928409351	-0.2518564368712488	0.6582737503660636	-0.6129988967611603	0.1211612233028203	-0.36146788033173827
ConditionD_rep1	0.024771868246163942	-0.4798427191519304	1.0	-0.4789912800295443	-0.2914619578568115	0.6769078334183114	-0.2400914006483641	-0.028122947910428818	-0.6328137805844909	0.6533323520100748	-0.1923641399075077	0.05966405028644546
ConditionA_rep3	-0.34471313817148336	0.6531406763992027	-0.4789912800295443	1.0	0.07521337680381997	-0.6271502181453635	0.13103303066777572	-0.22501794007156412	0.6723445649763445	-0.44724208278894356	0.04176179521960265	-0.2686344990378317
ConditionC_rep1	-0.6132881577199021	0.12168440148329188	-0.2914619578568115	0.07521337680381997	1.0	-0.18183219910430853	0.7275145838414997	-0.7365289931170383	0.05215106003928607	-0.2238842604356637	0.74897070445863	-0.586137469857334
ConditionD_rep3	-0.03377383687176136	-0.4779147515911357	0.6769078334183114	-0.6271502181453635	-0.18183219910430853	1.0	-0.23362828063979085	0.00503133952515216	-0.4745980492961797	0.661578163846553	-0.27540324711816344	0.047558058673433955
ConditionC_rep2	-0.5943397738575239	0.07683863928409351	-0.2400914006483641	0.13103303066777572	0.7275145838414997	-0.23362828063979085	1.0	-0.5896250309253811	0.12150670407028881	-0.319574081115216	0.7213145509193315	-0.7237034133494686
ConditionB_rep1	0.7407814274608833	-0.2518564368712488	-0.028122947910428818	-0.22501794007156412	-0.7365289931170383	0.00503133952515216	-0.5896250309253811	1.0	-0.3522045153998218	0.044300916431935414	-0.6078557816628976	0.7113655218852301
ConditionA_rep1	-0.23211870538832638	0.6582737503660636	-0.6328137805844909	0.6723445649763445	0.05215106003928607	-0.4745980492961797	0.12150670407028881	-0.3522045153998218	1.0	-0.4490734706505589	0.07817582903026085	-0.26180881421667357
ConditionD_rep2	0.036372819806055376	-0.6129988967611603	0.6533323520100748	-0.44724208278894356	-0.2238842604356637	0.661578163846553	-0.319574081115216	0.044300916431935414	-0.4490734706505589	1.0	-0.22029192088738414	-0.04594109336122329
ConditionC_rep3	-0.7466813134191833	0.1211612233028203	-0.1923641399075077	0.04176179521960265	0.74897070445863	-0.27540324711816344	0.7213145509193315	-0.6078557816628976	0.07817582903026085	-0.22029192088738414	1.0	-0.5826957083021296
ConditionB_rep2	0.7165254979959442	-0.36146788033173827	0.05966405028644546	-0.2686344990378317	-0.586137469857334	0.047558058673433955	-0.7237034133494686	0.7113655218852301	-0.26180881421667357	-0.04594109336122329	-0.5826957083021296	1.0
