Gene	ConditionA_rep3	ConditionB_rep3	ConditionC_rep3	ConditionD_rep3	A-value	Observed Variance	M-value of ConditionA_rep3	z-score of ConditionA_rep3	M-value of ConditionB_rep3	z-score of ConditionB_rep3	M-value of ConditionC_rep3	z-score of ConditionC_rep3	M-value of ConditionD_rep3	z-score of ConditionD_rep3	Estimated Variance	z-transformed of ConditionA_rep3	z-transformed of ConditionB_rep3	z-transformed of ConditionC_rep3	z-transformed of ConditionD_rep3	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3
HBG2	14.623513039992739	16.253024806710116	15.322389918741319	19.865471270786415	16.516099759057646	5.431441875393939	-1.8925867190649068	-0.8120788879021482	-0.2630749523475302	-0.11288128178498869	-1.1937098403163269	-0.5122019244015884	3.3493715117287692	1.4371620940887277	0.025864403199700205	-11.768051416857077	-1.6357927140282267	-7.422454483138016	20.826298614023354	629.9903964677865	3.174083445296062e-136	3.043311207349864e-132
HBG1	13.549510789908991	15.211329981028147	13.817606499139545	18.137035997758655	15.178870816958835	4.419883158314798	-1.6293600270498434	-0.7750177751580374	0.03245916406931215	0.015439453959133155	-1.3612643178192894	-0.6474959649700893	2.9581651807998206	1.4070742861689935	0.026666528617572217	-9.97777751061627	0.19877148812260573	-8.336029036464272	18.115035058957936	497.23942943990073	1.892010043861994e-107	9.070296150274399e-104
HBB	16.662904914640354	20.548202926669344	16.202451037643822	16.522689743254514	17.48406215555201	4.210007284065918	-0.8211572409116563	-0.40020720513400954	3.0641407711173336	1.4933695436754564	-1.281611117908188	-0.6246184993720229	-0.9613724122974965	-0.4685438391694273	0.025556788445818556	-5.136569726483828	19.167063186500474	-8.016838361022906	-6.013655098993785	494.1944047067542	8.645968293840784e-107	2.763251466711515e-103
HBA1	18.037156375358663	21.004030404284368	18.244453112066484	22.136294578962048	19.85548361766789	4.140997204102939	-1.818327242309227	-0.893551476478326	1.1485467866164782	0.5644119788263391	-1.6110305056014056	-0.791682956420751	2.280810961294158	1.1208224540727396	0.025234272780079083	-11.446603742026857	7.230249671055258	-10.141644135803142	14.357998206774765	492.3063058157955	2.218100607190829e-106	5.316787155436417e-103
PRRC2B	18.097645988656932	14.879982924254502	15.623687211983952	13.602855291184056	15.551042854019862	3.5787403124707247	2.5466031346370706	1.3461584343458122	-0.6710599297653594	-0.35472860773568804	0.07264435796409074	0.038400492739098825	-1.9481875628358054	-1.0298303193492249	0.026382303382273466	15.678514581015193	-4.131473314573082	0.44724504186664416	-11.994286308308777	406.94782338929315	6.921108531569781e-88	1.327191772013821e-84
CLC	19.411368316370794	16.046995599598773	17.140626487074243	15.24276854016831	16.960439735803032	3.27476423288558	2.450928580567762	1.3543803276464719	-0.9134441362042587	-0.5047681838988894	0.18018675127121142	0.09957099246348664	-1.717671195634722	-0.9491831362110729	0.025703120633638006	15.287544314283243	-5.697562067520517	1.1239058399112005	-10.713888086673972	382.2217869451836	1.569723373685844e-82	2.5084179511499785e-79
INS	12.251681508161575	16.607893171107005	13.34718313708721	13.366974859388645	13.89343316893611	3.546396356009352	-1.6417516607745348	-0.8717939047350685	2.7144600021708953	1.4414175670291687	-0.5462500318488992	-0.2900666767119581	-0.5264583095474649	-0.2795569855821441	0.028233775325913035	-9.770639439908145	16.15470268064277	-3.250925357807148	-3.1331378829274983	376.8248824401241	2.3156571588282164e-81	3.1717886912635625e-78
S100A9	16.117545203824637	16.385079888652562	18.883130091744007	19.623000453031924	17.752188909313283	3.106670302831432	-1.6346437054886458	-0.9274180058871726	-1.3671090206607204	-0.7756317278893027	1.1309411824307247	0.6416414859481862	1.8708115437186414	1.0614082478282891	0.02549648055562653	-10.237242439769423	-8.561759629396347	7.082717188331808	11.716284880833964	365.5410749009266	6.432140672371763e-79	7.708920595837558e-76
S100A8	15.555955035461752	15.958620749181334	18.30702876586972	19.075928229549337	17.224383195015534	2.9953825132910556	-1.6684281595537822	-0.9640096163300862	-1.2657624458342003	-0.7313513397544195	1.0826455708541864	0.6255473065497419	1.8515450345338031	1.0698136495347679	0.025624176910868938	-10.42275547840694	-7.907282307083901	6.763341885701212	11.566695899789673	350.6901927476756	1.057370606165816e-75	1.126452152435316e-72
GSTM1	13.210294412142675	14.526125599644349	11.098594714560003	11.073387034873077	12.477100440305026	2.8689222881485925	0.7331939718376486	0.43287199869139487	2.0490251593393225	1.2097284622636906	-1.3785057257450237	-0.8138590218018206	-1.4037134054319491	-0.828741439153266	0.03184118358985941	4.108887818255831	11.482929265508643	-7.725275440704047	-7.866541643060438	270.3029816764352	2.6540962012704407e-58	2.5447474377780987e-55
