Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
ELANE	45.79571100371988	6.268025202633095e-10	2.76948505266572e-08	44.8524309678436	9.945562202096945e-10	4.607472950932989e-08	24.171280808659603	2.300533299173923e-05	0.0004724259456559	38.273140926741036	3	1.5307306206233564e-20	8.265246387612415e-19
BCAT1	21.844418487371673	7.027845833626826e-05	0.0012251451973238	18.433146872534188	0.0003580309345383	0.0059075104198828	23.97001171871254	2.534268597263952e-05	0.000513138705574	21.41585902620613	3	2.0204257545714413e-10	5.193811858218977e-09
MLF2	41.435934067167594	5.285127630552765e-09	1.9950316425881862e-07				13.451514518604816	0.0037552875591749	0.0395203027537288	27.4437242928862	2	4.88451411438618e-10	1.2237156653096733e-08
HMGB2	14.371592990598128	0.0024406041035759	0.0262927102753778	10.557527442613774	0.0143756904520777	0.1220835662716403	14.912027951241429	0.0018933914245062	0.022604592902950003	13.280382794817774	3	8.118922743024921e-06	0.0001137514945927366
HMGN2	13.073006228946259	0.0044813559681238	0.0437103164011918	13.198300868922374	0.0042268152484068	0.0460048099401153	12.736723225220294	0.005241971306861	0.0517753341567428	13.002676774362975	3	1.1482218681302346e-05	0.00015588660838851924
FAU	11.353588690810948	0.0099597696194153	0.0819693314257115	15.630096016817413	0.0013501955924228	0.0182389972830649	10.729984392247212	0.0132792525002288	0.1101057758495637	12.571223033291858	3	1.961826086394744e-05	0.0002546497636840598
CCDC173							22.54273807798799	5.028883729949619e-05	0.0009516339977945	22.54273807798799	1	5.028883729949619e-05	0.0006111670103458813
NME1	11.8256213810394	0.0080050166610864	0.0692083857046861	13.904599274607012	0.0030379277797649	0.0355836370573122	7.552803874041229	0.05621710485541299	0.3158390508081031	11.094341509895882	3	0.00011921431902598808	0.0013299144551719901
PLXNA3	19.03546589079454	0.0002688210839739	0.0040718113003828							19.03546589079454	1	0.00026882108397395873	0.002781110514428751
CSRNP3				18.36027044272416	0.0003706519423396	0.0060879581529293				18.36027044272416	1	0.0003706519423396879	0.0036893596112515226
CKB	8.55740897986461	0.0357926164258316	0.2173398393229092	9.087989251237504	0.0281436097492938	0.1968962900853306	12.601289894264662	0.0055831928522954	0.0544549561046618	10.082229375122257	3	0.0003982653875508125	0.003921305751697217
RXRA				20.360325760240816	0.0001429181235671	0.0026620342242784	3.0541758870734768	0.3833475106870486	0.8599623749602661	11.707250823657146	2	0.000668898224852995	0.006233035073984764
DUT	8.82994001820553	0.0316394961045158	0.1976283313681419	8.23466270444659	0.0414028978427562	0.25314614442436495	11.072650194476337	0.0113394455218782	0.0968780982814304	9.379084305709485	3	0.0009047721197539207	0.008229946396992392
TMA7	4.247617743669356	0.2359374772725052	0.690527634947735	9.464922677997027	0.0237074671124728	0.174830474308001	12.784526045409637	0.0051265266669944	0.0508334534541149	8.83235548902534	3	0.0016932181208020609	0.014120101747873325
RPL39P5	10.760774308596414	0.0130923550289703	0.1015610841567699	15.394495876864154	0.0015087539186082	0.0200805977344046	0.3211510534232484	0.956002672232375	1.0	8.825473746294604	3	0.0017065109710016095	0.014210910022601431
SERBP1	7.581439621178995	0.0555024324720241	0.2959718145393589	11.629673336142412	0.0087656458464232	0.0812170801693603	7.181750427733376	0.0663249430857581	0.3489988169439787	8.797621128351595	3	0.0017613540556109825	0.014585442372268812
ZNF777	16.314542379960905	0.0009774329568863	0.012014906654648997				4.362091575037845	0.22492622383819602	0.6923542384122521	10.338316977499376	2	0.0020968063326835726	0.016867166587743704
ING4	4.095420639437738	0.2513430630579309	0.7121386786641377	5.477893695217017	0.1399668140921562	0.5369109158407714	16.172522978924757	0.0010452656941294	0.0136369457311423	8.581945771193169	3	0.002247968014618792	0.017985265069598928
NKIRAS1							14.542200523311616	0.0022527661325676	0.0260949706248449	14.542200523311616	1	0.0022527661325676147	0.017999296971359484
INTS7	6.409697103829286	0.0932926725719112	0.4099404879099382	12.972104980608721	0.0046973199905595	0.0502182419700793	5.83443045691788	0.1199493559435832	0.500563594217987	8.405410847118631	3	0.002741068934325639	0.0213806993063329
LDHB	7.1248008632672954	0.068024552649039	0.3353313166061626	10.376247900538043	0.0156243118053459	0.1293435296875545	7.493751773870287	0.0577192131494951	0.3216011634152385	8.331600179225207	3	0.002976937465894842	0.022755194269041053
RPL29	11.394872553544182	0.0097715023154448	0.0807665208624876	6.478929155921893	0.0904972002062748	0.4184409890535817	6.59622636568542	0.0859438510784331	0.4092641337337994	8.1566760250505	3	0.0036169091120569967	0.026747936366525324
PTPRB	7.1596516075663175	0.0669795243484561	0.3325736299601227	4.860073198727077	0.1823347317767379	0.6143277886016246	12.256956210902526	0.0065528239441063	0.0622918212301711	8.092227005731973	3	0.0038846638408584345	0.028408255979066783
RLF	6.908239959307264	0.0748807029903851	0.3571921294884642	8.32703734674396	0.0397149256991723	0.2461576055127943	9.009992356951257	0.0291583272834941	0.19785449424805301	8.081756554334161	3	0.003929931143772989	0.028686071466120736
NRXN1	12.250567722583476	0.0065723032035356	0.059560721281191							12.250567722583476	1	0.0065723032035356855	0.04440999164674828
ANKRD53	12.155139748271269	0.0068701785914605	0.061792938400491							12.155139748271269	1	0.006870178591460515	0.046185254032985
