	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	actin binding (GO:0003779)	64/312	CFL1,TMSB4X,ACTR3,CAP1,PSTPIP1,WASL,ARPC1B,SNTA1,SPTBN1,CAPZB,LASP1,RP2,CORO1A,MARCKS,MIB2,ARPC5,PPP1R18,PFN1,AIF1,GSN,FMNL1,MLPH,CNN2,SYNE1,TPM2,MICAL1,ARPC4,BAIAP2L1,FSCN1,CAPZA1,ARPC2,LSP1,ARPC3,WAS,LCP1,MYO1F,MYO9B,COTL1,ACTR2,TMSB10,MYO18A,SPTAN1,PARVG,DIXDC1,TPM3,MSN,PXK,MYH9,EPB41L3,WIPF1,GMFB,EVL,HIP1,FKBP15,ALDOA,CAPG,WDR1,HCLS1,ARPC5L,CORO1B,SYNE2,EPB41L2,TWF2,ACTR3B	2.831957024789152e-22	1.9993616595011414e-19	1.9993616595011414e-19
1	actin filament binding (GO:0051015)	20/83	ACTR3,ARPC1B,CAPZB,LASP1,MARCKS,CORO1A,ARPC5,AIF1,FMNL1,SYNE1,ARPC4,FSCN1,ARPC2,ARPC3,LCP1,MYO9B,MYO18A,ACTR2,MYH9,CORO1B	4.4900444612994296e-09	3.1699713896773972e-06	1.5849856948386986e-06
2	antigen binding (GO:0003823)	13/49	HLA-B,CD48,HLA-DPB1,HLA-DQB1,IGHG1,HLA-DPA1,HLA-DQA1,IGKC,HLA-DRB1,HLA-DRA,PKM,ANXA11,HLA-DMA	7.043107770475486e-07	0.0004972434085955693	0.00016574780286518977
3	structural constituent of cytoskeleton (GO:0005200)	16/80	ARPC5,ARPC2,EPB41L3,ARPC3,ACTR3,CYLC1,TUBB3,HIP1,VIM,ARPC4,ACTR2,ARPC1B,SPTBN1,MSN,ACTB,SPTAN1	2.3400660740843884e-06	0.0016520866483035782	0.00041302166207589456
4	MHC class II receptor activity (GO:0032395)	5/7	HLA-DQB1,HLA-DPA1,HLA-DQA1,HLA-DRB1,HLA-DRA	6.701568639221083e-06	0.004731307459290085	0.0009462614918580169
5	peptidase regulator activity (GO:0061134)	18/118	SERPING1,MMP14,C5,SERPINB10,CSTB,SERPINB2,PRDX5,CASP1,EBAG9,SERPINB8,CTSC,SERPINB9,PEBP1,SERPINB6,SERPINB1,NAIP,PINK1,PYCARD	2.973140645067289e-05	0.02099037295417506	0.00349839549236251
6	S100 protein binding (GO:0044548)	5/9	S100B,AHNAK,S100A11,ANXA2,ANXA11	3.6883923542648816e-05	0.026040050021110064	0.0037200071458728663
7	peptide antigen binding (GO:0042605)	7/21	HLA-B,HLA-DPB1,HLA-DQB1,HLA-DPA1,HLA-DQA1,HLA-DRA,HLA-DRB1	5.550324784021623e-05	0.03918529297519266	0.004898161621899082
8	calcium ion binding (GO:0005509)	39/393	ANXA6,TESC,PKD1L2,PROCA1,ANXA1,IQGAP1,CLSTN1,PLCH1,PCDHA5,LPCAT1,HPGDS,AIF1,GSN,CALB2,ANXA11,LPCAT2,S100B,CBL,LCP1,CRELD2,EFHD2,SPTAN1,S100A11,DYSF,CALR,MMP14,S100A10,HSP90B1,RASGRP1,PLCL2,MAN1C1,CEP152,SLC25A24,CBLB,PCDHGA3,ANXA5,MYL6,ANXA2,HSPA5	5.605584308074612e-05	0.03957542521500676	0.004397269468334085
9	enzyme activator activity (GO:0008047)	33/314	ABR,GMIP,CASP1,GDI2,PAK2,GDI1,ALDH1A1,RP2,IQGAP1,ARHGDIA,ARHGAP25,SH3BGRL3,ARHGEF6,ARHGAP26,PINK1,EBAG9,RGS19,MYO9B,CTSC,NCF4,DOCK2,NCKAP1L,ARHGAP30,MMP14,PRKCD,ARHGDIB,GMFB,SH3BP1,ARHGAP15,ARHGAP18,SIPA1L2,PYCARD,STK4	6.933260082554816e-05	0.048948816182837	0.0048948816182837
10	lipase activity (GO:0016298)	12/63	PNPLA3,SMPDL3A,AOAH,PLCH1,PLA2G7,PDIA3,PLCG2,PLCL2,PROCA1,SMPD1,PLD3,PLD4	7.096388237591186e-05	0.050100500957393775	0.004554590996126706
