	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	eosinophil chemotaxis (GO:0048245)	2/2	SCG2,LGALS3	2.6176737319890525e-05	0.022145519772627385	0.022145519772627385
1	eosinophil migration (GO:0072677)	2/3	SCG2,LGALS3	7.8268953818152e-05	0.0662155349301566	0.0331077674650783
2	myeloid leukocyte migration (GO:0097529)	4/47	PDE4B,KIT,SCG2,LGALS3	9.68391148070809e-05	0.08192589112679044	0.027308630375596814
3	leukocyte chemotaxis (GO:0030595)	4/58	PDE4B,KIT,SCG2,LGALS3	0.00022080254163359865	0.18679895022202447	0.04669973755550612
4	glycosphingolipid biosynthetic process (GO:0006688)	2/6	UGCG,A4GALT	0.00038745466249264827	0.3277866444687804	0.06555732889375608
5	granulocyte chemotaxis (GO:0071621)	3/35	PDE4B,SCG2,LGALS3	0.0007600860944740188	0.6430328359250199	0.10717213932083663
6	taxis (GO:0042330)	5/145	KIT,PLA2G6,SCG2,LGALS3,PDE4B	0.0008864331901506705	0.7499224788674673	0.09998966384899563
7	chemotaxis (GO:0006935)	5/145	KIT,PLA2G6,SCG2,LGALS3,PDE4B	0.0008864331901506705	0.7499224788674673	0.09998966384899563
8	granulocyte migration (GO:0097530)	3/37	PDE4B,SCG2,LGALS3	0.0008957592353962028	0.7578123131451876	0.08420136812724306
9	cell chemotaxis (GO:0060326)	4/84	PDE4B,KIT,SCG2,LGALS3	0.0009087549453725131	0.7688066837851462	0.07321968417001391
10	regulation of ion transmembrane transporter activity (GO:0032412)	4/84	PDE4B,UTRN,PLA2G6,KCNAB1	0.0009087549453725131	0.7688066837851462	0.07321968417001391
11	regulation of metal ion transport (GO:0010959)	5/147	KCNAB1,PLA2G6,LGALS3,PDE4B,UTRN	0.0009427504142424908	0.7975668504491472	0.0664639042040956
12	regulation of transmembrane transporter activity (GO:0022898)	4/87	PDE4B,UTRN,PLA2G6,KCNAB1	0.0010363608848095623	0.8767613085488897	0.06744317758068383
13	glycosphingolipid metabolic process (GO:0006687)	3/43	UGCG,KIT,A4GALT	0.0013918078730563298	1.0	0.0841049614718325
14	regulation of transporter activity (GO:0032409)	4/95	PDE4B,UTRN,PLA2G6,KCNAB1	0.0014374874337632214	1.0	0.08107429126424569
15	regulation of ion transmembrane transport (GO:0034765)	5/178	KCNAB1,PLA2G6,LGALS3,PDE4B,UTRN	0.0021994827577029633	1.0	0.11629765081354418
16	regulation of transmembrane transport (GO:0034762)	5/187	KCNAB1,PLA2G6,LGALS3,PDE4B,UTRN	0.002724604335140955	1.0	0.1355891333840734
17	glycolipid metabolic process (GO:0006664)	3/60	UGCG,KIT,A4GALT	0.0036268941598389787	1.0	0.170464025512432
18	positive chemotaxis (GO:0050918)	2/18	SCG2,LGALS3	0.003797632883305271	1.0	0.16909460101453996
