	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	extracellular vesicular exosome (GO:0070062)	76/1992	APOC1,EML5,APLP2,TMBIM1,SELENBP1,PHB,FKBP5,LGALS7,SMIM1,SEMA3C,S100A6,ECE1,MGST3,FCGBP,MUC16,RYR2,MINPP1,HEBP1,HBS1L,TRAP1,KRT10,CFB,CA2,ALDH6A1,TF,APOE,LXN,GOT2,TFRC,GSTO1,PHB2,SARS,IGSF8,HIST1H3A,SLC2A1,TGM2,APRT,GSTM3,UBAC1,KRT1,BLVRB,HSPA6,SEC14L2,ALAD,GSTM2,PROS1,MFI2,HIST1H1B,CTNNB1,HIST1H2BD,HIST3H3,CEACAM1,BLVRA,JUP,H2AFX,ATRN,HSPB1,AKR1C1,HBA1,IRF6,PRSS1,RNH1,PKLR,ACY1,TPST2,CDH1,GDF15,PNPO,HIST1H1E,PPT2,PROM2,TMEM27,AK1,METTL7A,GPT,CMBL	4.3989912946572604e-08	1.2141215973254039e-05	1.2141215973254039e-05
1	protein-DNA complex (GO:0032993)	11/61	H2AFX,H3F3C,HIST3H2BB,HIST1H1E,HIST1H1B,HIST1H2BD,HIST3H3,CTNNB1,HIST1H3A,JUP,H2BFS	4.584599663493573e-08	1.2653495071242262e-05	6.326747535621131e-06
2	DNA bending complex (GO:1990104)	9/42	H3F3C,HIST3H2BB,HIST1H1E,HIST1H1B,HIST1H2BD,HIST3H3,HIST1H3A,H2AFX,H2BFS	1.655110156932597e-07	4.568104033133968e-05	1.3051725808954194e-05
3	nucleosome (GO:0000786)	9/42	H3F3C,HIST3H2BB,HIST1H1E,HIST1H1B,HIST1H2BD,HIST3H3,HIST1H3A,H2AFX,H2BFS	1.655110156932597e-07	4.568104033133968e-05	1.3051725808954194e-05
4	DNA packaging complex (GO:0044815)	9/48	H3F3C,HIST3H2BB,HIST1H1E,HIST1H1B,HIST1H2BD,HIST3H3,HIST1H3A,H2AFX,H2BFS	5.578183195625376e-07	0.00015395785619926037	3.0791571239852076e-05
5	blood microparticle (GO:0072562)	10/77	CFB,KRT1,TF,HSPA6,PRSS1,APOE,TFRC,PROS1,SLC2A1,HBA1	4.388564717729748e-06	0.0012112438620934104	0.00020187397701556842
6	spectrin-associated cytoskeleton (GO:0014731)	3/6	SPTB,ANK1,SPTA1	0.00017395261103976352	0.04801092064697473	0.006858702949567819
7	zonula adherens (GO:0005915)	3/9	CTNNB1,CTNNA1,JUP	0.0006971913831834807	0.19242482175864067	0.024053102719830084
8	intrinsic component of membrane (GO:0031224)	5/37	SPTB,BNIP3L,ECE1,PPOX,SPTA1	0.0009815296472436862	0.2709021826392574	0.030100242515473045
9	hemoglobin complex (GO:0005833)	3/11	HBQ1,AHSP,HBA1	0.0013275134572185538	0.36639371419232086	0.036639371419232084
10	basolateral plasma membrane (GO:0016323)	7/82	CA2,CDH1,CTNNB1,SLC40A1,JUP,SLC2A1,ANK1	0.001636818437220671	0.45176188867290523	0.04106926260662775
11	apical part of cell (GO:0045177)	6/61	CA2,PDZD3,MGST1,CDH1,CTNNB1,BYSL	0.001695405119310559	0.46793181292971425	0.03899431774414285
12	mitochondrial membrane (GO:0031966)	17/367	NDUFB7,SLC25A21,MGST1,ABCB10,PHB,FECH,BNIP3L,HSD17B10,GOT2,AGPAT5,PHB2,NDUFC1,SLC25A13,MAOA,TRAP1,PPOX,AFG3L2	0.001895008435405307	0.5230223281718647	0.04023248678245113
13	vesicle lumen (GO:0031983)	5/53	TF,APOE,PROS1,SCG3,HBA1	0.0049260543966361545	1.0	0.09376489748079853
14	cytoplasmic membrane-bounded vesicle lumen (GO:0060205)	5/53	TF,APOE,PROS1,SCG3,HBA1	0.0049260543966361545	1.0	0.09376489748079853
15	mitochondrial inner membrane (GO:0005743)	13/287	NDUFB7,SLC25A21,MGST1,ABCB10,PHB,FECH,HSD17B10,GOT2,PHB2,NDUFC1,SLC25A13,TRAP1,AFG3L2	0.007562499096556992	1.0	0.13045310941560812
16	Z disc (GO:0030018)	5/59	CTNNB1,RYR2,JUP,HSPB1,ANK1	0.007766958521436134	1.0	0.12609885599508078
17	apicolateral plasma membrane (GO:0016327)	2/7	MPDZ,JUP	0.008581719436109553	1.0	0.13158636468701315
18	cell-cell adherens junction (GO:0005913)	4/39	CDH1,CTNNB1,CTNNA1,JUP	0.008733188661911147	1.0	0.12686105635197245
19	mitochondrial intermembrane space (GO:0005758)	4/41	PPOX,TXNIP,NDUFB7,TRAP1	0.010408800828355326	1.0	0.1436414514313035
20	chylomicron (GO:0042627)	2/8	APOC1,APOE	0.011284927374335138	1.0	0.1448669746658836
21	F-actin capping protein complex (GO:0008290)	2/8	ADD1,ADD2	0.011284927374335138	1.0	0.1448669746658836
22	organelle inner membrane (GO:0019866)	13/303	NDUFB7,SLC25A21,MGST1,ABCB10,PHB,FECH,HSD17B10,GOT2,PHB2,NDUFC1,SLC25A13,TRAP1,AFG3L2	0.011592039718912373	1.0	0.13910447662694847
23	recycling endosome (GO:0055037)	4/43	MICALL2,TF,ARFGEF2,TFRC	0.012279475716844344	1.0	0.14121397074370998
24	basal part of cell (GO:0045178)	2/9	TF,H2AFX	0.014309994800286347	1.0	0.15190609864919352
