Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
HBZ	-5.110214943570837	-4.285816039312869	-5.245473029184631	-5.230471040848028	-2.163254438236041	-3.7937340443511256	-4.704790736594456	-4.23100484750759	-4.858613260535779	15.04547672101333	10.680075325056515	13.897820334071548
AHSP	-8.57007138589323	-5.300846406644703	-8.198021327259921	6.316179920952692	4.244207575466387	6.0157586455831975	-7.673888739807262	-6.976531650270723	-7.318797633020602	9.927780204747783	8.033170481449059	9.501060314697293
PRDX2	-3.7138581562966113	-4.012546525491151	-3.5868905573315515	2.216538793655087	2.4756156844258776	2.0294883738513687	-6.524310428292982	-7.1197401976407555	-6.193467085173974	8.021629790934488	8.65667103870598	7.750869268654134
PNMT	-3.411382571411817	-4.913378971972918	-5.129350454517527	0.9156389126596179	0.3782282598800379	-0.4459172127628362	-4.782659052574101	-4.625863562370432	-4.086250718874156	7.278402711326327	9.161014274463303	9.661518386154519
HBE1	-2.921303669980799	-3.0073009301351004	-6.130776167702818	-3.0432738417316414	-1.2437111722187617	-0.97505341715626	-1.428336471966962	-2.927315391790068	-4.296518148057242	7.39291398367941	7.178327494143912	11.402347732916304
OAT	-3.476237996603098	-4.448237602892536	-3.610059857295941	2.8536780419381005	3.5526534981194215	2.9777677789253705	-5.237764298434769	-5.509582063629184	-5.418377964129698	5.860324253099788	6.405166168402274	6.050670042500245
CA2	-5.225572910863897	-4.609676626484432	-3.909294493730573	3.2272159100231983	2.8950947862429293	2.9804176954938675	-4.528818274547696	-4.657164940531902	-4.371572557062433	6.527175275388425	6.371746780773402	5.300449355299138
GSTM2	-4.686839819294668	-5.079352144463127	-5.42572014951159	2.1129642820821344	1.702869918683863	2.0194710349514704	-2.9149244955487044	-2.27332221833713	-2.7749598878124653	5.488800032761197	5.649804444116433	6.181209002372607
HEMGN	-1.4447340125811037	-1.6339601211110557	-1.6028842943850012	1.0594612604125044	1.0125805257395664	1.6325269807412504	-5.282999240629431	-4.84172400075926	-6.1222276161258735	5.668271992798022	5.4631035961307255	6.092584929769624
CHI3L1	-6.219043796114977	-4.800375030777213	-4.555602653770708	-4.52550543965139	-3.341382551560636	-5.120474001635535	0.2481787308841308	-0.7570295377609333	-0.7263480851340265	10.496370504882226	8.898787120098762	10.40242474054028
TNF		4.489684627284662	4.597042009732767		-11.68313137551768	-10.205374709096988		9.701523459909334	7.3961440760182		-2.5080767116763045	-1.7878113766539967
LGALS1	3.45686126628021	3.130965430309168	3.325617415138877	-7.492530611182348	-7.318206274131494	-8.042317661944313	7.539690055781299	7.8343915876699235	8.449443754224731	-3.504020710879129	-3.6471507438475466	-3.732743507419314
VIM	1.0736980466686958	1.5071440132068787	1.0883703936412483	-6.9880535382138085	-7.38807719698143	-7.2424540745444075	7.84272947080593	7.865828364885927	7.901362738370213	-1.9283739792608168	-1.9848951811113296	-1.7472790574670332
ANXA1	1.9363052982571547	2.072807708102509	1.8915641856246102	-7.419782329937585	-7.08768207613062	-7.222743693845365	7.371666701220108	7.4399240807362546	7.304625157679171	-1.8881896695396776	-2.4250497127081565	-1.9734456494584824
COL6A1	3.242660831021072	-0.5620510014631765	1.9838796085088999	-7.122908433620847	-2.5165516715701677	-7.884144176217332	7.1410092670640335	5.363626987360574	7.156714541170246	-3.2607616644642787	-2.2850243143272206	-1.2564499734618244
CORO1A	1.7659998869861142	2.187812275602027	1.8719772730559887	-7.429722193174863	-7.053052591953398	-6.995366444022437	5.751607445499143	4.8295311658537665	5.268128081829718	-0.0878851393103954	0.0357091504976183	-0.1447389108632694
COTL1	3.1072923699009256	3.0317301469264613	3.4016914001503182	-6.999370316014774	-6.296767170620048	-7.6431943287587325	4.265493148395946	4.182038873579508	4.985140175627677	-0.37341520228211894	-0.917001849885932	-0.74363724701923
HLA-DRA	1.4073387675394515	1.794159791410988	-0.1176098933894355	-3.6827979591746836	-4.556197425521646	-3.4753182698028278	6.512364166980539	7.795891220943536	4.737935353196733	-4.236904975345328	-5.033853586832901	-1.145007190004449
ARHGDIB	1.1981204210713383	1.5138640674190524	1.0990880976811852	-6.904073096894096	-7.024784259314746	-6.046038746696444	5.4018552892669485	5.408085635119679	4.908829162778642	0.304097386555789	0.1028345567759774	0.0381214862365956
LCP1	1.4720115184132745	2.092455697792188	1.7888981808856486	-5.520737881727509	-6.674768281814157	-6.4930148106407675	4.670583352676381	5.675748557361883	5.2812860784786535	-0.6218569893621458	-1.0934359733399617	-0.5771694487235111
HLA-DRB1	-1.5360110327329033	0.0855492887590897	-0.9554072282632936	-4.096057057363992	-1.9230371131206003	-3.3425027340677342	8.174095154639224	4.343284971916043	7.848958890067457	-2.5420270645422987	-2.5057971475545235	-3.5510489277364403
