,0
0,AARS1
1,ABHD12
2,ACAA2
3,ACIN1
4,ACO2
5,ACSF3
6,ACTL6A
7,ACTR1A
8,COQ8A
9,ADH5
10,ADK
11,ADO
12,ADRM1
13,TLE5
14,AGFG2
15,AHCYL1
16,AHCYL2
17,AHR
18,AIMP1
19,AIMP2
20,AIP
21,AKAP8
22,AKAP8L
23,ALDH5A1
24,ALDH9A1
25,ALG1
26,ALG12
27,ALYREF
28,AMBRA1
29,ANO1
30,ANO2
31,ANP32B
32,AP1B1
33,APEX1
34,APH1A
35,API5
36,ARAF
37,ARFGAP1
38,ARFIP2
39,ARFRP1
40,ARGLU1
41,ARHGAP23
42,ARID5B
43,ARIH1
44,ARMC1
45,ATF1
46,ATF2
47,ATP13A2
48,ATP5F1C
49,ATP5F1D
50,ATP5PD
51,ATP5PF
52,ATP5PO
53,ATP6V1G1
54,ATP8B3
55,ATP5IF1
56,ATRX
57,ATXN10
58,ATXN2
59,ATXN3
60,BAD
61,BAG4
62,BANF1
63,BCAS2
64,BCLAF1
65,BDH2
66,BLOC1S3
67,BLOC1S5
68,BMI1
69,BABAM2
70,BUB1
71,BUB3
72,BUD13
73,BUD31
74,HIKESHI
75,C11orf98
76,C12orf57
77,RTRAF
78,C18orf32
79,TRIR
80,C19orf53
81,C1orf21
82,C2orf76
83,HPF1
84,FAM241A
85,C5orf24
86,C5orf51
87,C6orf47
88,SPOUT1
89,C9orf78
90,CABIN1
91,CACYBP
92,CAPNS1
93,CAPRIN1
94,CAPZA1
95,CAPZA2
96,CASC3
97,CASP3
98,CBLC
99,CBR4
100,CBS
101,CBX3
102,CBX4
103,MCUB
104,CCDC50
105,WASHC3
106,CCDC86
107,CCDC9
108,CCNH
109,CCNL1
110,CCNT1
111,CCPG1
112,CD151
113,CD2BP2
114,CD40
115,CD44
116,CD46
117,CDC37
118,CDC42
119,CDC73
120,CDK2AP1
121,CDKN2C
122,CELF2
123,CEP131
124,CERS6
125,CFAP20
126,CGGBP1
127,CHCHD2
128,CHCHD3
129,CHCHD4
130,CHCHD6
131,CHEK2
132,CHERP
133,CHMP1A
134,CHMP1B
135,CHMP2B
136,CHMP3
137,CHSY1
138,CIAO1
139,CIAPIN1
140,CIR1
141,CIRBP
142,CISD1
143,CISD2
144,CLASRP
145,CLEC3B
146,CLIC1
147,CLTA
148,CLTB
149,CLTCL1
150,CMC1
151,CMC4
152,CMTM3
153,CNBP
154,CNOT4
155,CNPY3
156,COA3
157,COA4
158,COA5
159,COA7
160,COL11A2
161,COLGALT1
162,COMMD6
163,COMMD8
164,COMTD1
165,CORO1B
166,COX17
167,COX4I1
168,COX6A1
169,COX6B1
170,CPSF4
171,CPSF6
172,CPTP
173,CRELD1
174,CRELD2
175,CSTF2
176,CTCF
177,CTNNBL1
178,CTSB
179,CTSH
180,CTTN
181,CUEDC2
182,CWC15
183,CYC1
184,CYCS
185,CCN1
186,DAZAP1
187,DBT
188,DCTN1
189,DCTN2
190,DCTN5
191,DCTN6
192,DCUN1D4
193,DDA1
194,DDX1
195,DDX17
196,DDX39A
197,DDX39B
198,DDX5
199,DDX6
200,DEK
201,DFFA
202,DGCR8
203,DKC1
204,DNAH5
205,DNAJA3
206,DNAJC17
207,DNAJC19
208,DNASE2
209,DNTTIP1
210,DPAGT1
211,DPF2
212,DPYSL5
213,DRAP1
214,DSTN
215,DUSP23
216,DUT
217,DYNC1I2
218,DYNC1LI2
219,DYNLL1
220,DYNLL2
221,DYNLT3
222,EDF1
223,EEF1A1
224,EEF1B2
225,EEF1D
226,EEF2
227,EI24
228,EIF1AX
229,EIF1B
230,EIF2B5
231,EIF3B
232,EIF3C
233,EIF3F
234,EIF3G
235,EIF3H
236,EIF3I
237,EIF3J
238,EIF4B
239,EIF4E
240,EMC4
241,EMC8
242,EMSY
243,ENOPH1
244,ENY2
245,EPHB4
246,EPRS1
247,ERGIC3
248,ERP44
249,ETFA
250,EWSR1
251,FADD
252,FAHD1
253,FAM136A
254,PSME3IP1
255,PRXL2B
256,FAU
257,FBL
258,FBLL1
259,FCF1
260,FDX2
261,FH
262,FHL2
263,FKBP3
264,FLYWCH2
265,FOXO1
266,FUBP1
267,FUBP3
268,FUS
269,FXR2
270,GABARAP
271,GABPA
272,GABPB1
273,GAR1
274,GATAD2A
275,GATD3
276,NIPSNAP2
277,GCSH
278,GFER
279,GGCT
280,GIGYF1
281,GK2
282,GLE1
283,GLG1
284,GLOD4
285,NOP53
286,GNAI1
287,GNAI3
288,GNB1
289,GNB1L
290,GNB2
