	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	double-stranded RNA binding (GO:0003725)	18/46	TARBP2,DHX15,OASL,TFRC,OAS1,EIF4A1,EIF2AK2,DHX36,SLC3A2,OAS2,DDX60,IFIH1,HSPA1A,STAU1,DHX58,LRRFIP1,DDX58,OAS3	1.3900064097840077e-05	0.011537053201207265	0.011537053201207265
1	MHC protein binding (GO:0042287)	8/12	BCAP31,HLA-E,TAP2,DERL1,KRT17,TAP1,CD74,TAPBP	3.338137042035973e-05	0.027706537448898574	0.013853268724449287
2	ATP binding (GO:0005524)	159/893	UBE2Q1,RIOK3,PAK6,PRPS2,CDK4,UBE2E1,MKNK1,ATAD2,RFC2,ATP11B,IGF1R,MCM4,KIF4A,HK2,MCM2,CKMT1A,PFKFB3,UBA7,HSPA4L,MVD,ATR,EEF2K,RNASEL,UCK2,CDK13,MAP4K2,ABCC5,RIOK1,UBE2C,OAS1,TAF1,DDX24,MAP2K1,MINK1,CDK2,ACSL3,ABCF2,EIF4A1,KIF20B,MAST4,PKM,DDX60L,PAICS,MMAB,SLK,TWF1,CSNK1E,MLKL,SMC4,EIF2AK2,IFIH1,DNAJA1,ABCB8,RIPK1,ABCE1,IKBKB,KIF2C,MCM3,HSPA2,ABCF3,TAP2,RPS6KA4,KIF11,HSPH1,PIP4K2A,MAPK13,CSNK1D,MCM7,EGFR,SMARCAD1,STK24,MAP3K4,DHX15,OPLAH,TPX2,ABCD1,MVK,DDX3X,TAOK3,DDX58,EIF2B2,MYO1E,PMVK,UBE2K,TRIP13,STRADA,DDX11L8,CIT,POMK,RECQL,FKBP4,RPS6KA5,RFC4,PAK2,DHX36,PRKD2,TAP1,EPHA2,AURKB,DGKA,MOV10,OASL,PRKCH,LRRK2,ATP1A1,NMRK1,DHX58,MCM6,BCR,ACACA,MASTL,ITM2B,RPS6KA1,MYO19,SRC,OAS2,HSPA1A,GLUL,MARK3,CDK1,RRM1,PC,UBE2A,CDK16,PKMYT1,TNK1,ITPKC,ACTR8,ATP2A2,HELZ2,HSPA14,PIP4K2C,MARK2,SMC2,OAS3,DDR1,G3BP1,PRPS1,MARK1,CSNK1A1,TOR1B,MCM5,PRKCI,ERCC2,WNK1,CDC42BPG,GART,GMPS,DDX60,CDK17,TK1,PTK6,RFC5,CMPK2,UBE2G1,ADCK1,CHTF18,VPS4B,AK4	9.151247354231703e-05	0.07595535304012313	0.025318451013374377
3	protein serine/threonine kinase activity (GO:0004674)	53/248	RIOK3,SLK,RPS6KA5,PAK6,CSNK1E,MARK2,PAK2,EIF2AK2,CDK4,PRKD2,MKNK1,RIPK1,IKBKB,AURKB,PRKCH,RPS6KA4,LRRK2,MAPK13,EGFR,CSNK1D,MARK1,BCR,CSNK1A1,STK24,MAP3K4,MASTL,RPS6KA1,ATR,EEF2K,CDK13,MAP4K2,PRKCI,RIOK1,ERCC2,TAOK3,CDK1,MARK3,CDC42BPG,WNK1,ADCK1,TAF1,MAP2K1,CDK2,MINK1,CDK16,PKMYT1,CAB39,PPP4C,CDK17,PTK6,STRADA,MAST4,CIT	0.00040357638805771725	0.3349684020879053	0.08374210052197632
4	tumor necrosis factor receptor superfamily binding (GO:0032813)	8/17	TMBIM1,CASP8,TRAF2,STAT1,RIPK1,DAB2IP,TNFSF10,TRADD	0.0008719449401671684	0.7237143003387498	0.14474286006774997
5	binding, bridging (GO:0060090)	24/94	CSTA,NCK2,MPP7,VAV3,EVPL,SPRR1B,ITSN2,IVL,SPRR1A,FSCN1,DAB2IP,DSP,NCK1,MTSS1,SRC,BAIAP2,CNKSR1,ANXA1,TRADD,SHC1,BAIAP2L1,CCDC43,NMD3,FKBP4	0.0013291865183720894	1.0	0.18387080170813902
6	GDP binding (GO:0019003)	13/40	RAB14,RAB27B,RAB18,RAB4A,RAB21,RAB7A,PRPS2,RRAGC,RAB10,RAP2B,RAP2C,EIF2B1,RAB22A	0.001698384558972187	1.0	0.2013798834209879
7	transferase activity, transferring pentosyl groups (GO:0016763)	11/31	ZC3HAV1,PARP10,PARP9,PPAT,TYMP,UPP1,NAMPT,PARP14,PARP12,NAPRT,UMPS	0.0017165374713110435	1.0	0.17809076264852078
8	MHC class I protein binding (GO:0042288)	5/8	BCAP31,HLA-E,DERL1,TAP1,TAPBP	0.001786036228905822	1.0	0.16471222999909246
9	kinase regulator activity (GO:0019207)	20/75	BCL10,MARK2,PAK2,GSTP1,SFN,CDKN1A,NCK1,CKS1B,ABI1,CXCL10,IQGAP1,TAOK3,WNK1,CCNE2,MAP2K1,CAB39,HSPB1,STRADA,YWHAG,CDKN2A	0.0018580219711162613	1.0	0.15421582360264968
