	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	extracellular matrix organization (GO:0030198)	108/238	DMD,ITGA7,EFEMP1,PRKCA,VWA1,NF1,TGFBI,EMILIN1,ECM2,LTBP1,MIA3,LOXL1,ACTN1,SH3PXD2B,ITGA1,LUM,SDC2,COL4A2,TIMP2,LAMB2,CTSK,NCAM1,DAG1,TNC,ITGB5,COL16A1,COL15A1,ABI3BP,LAMC3,COL5A3,SULF1,FBLN2,COL5A2,LAMC1,CYP1B1,COL11A1,COL14A1,COL18A1,MMP10,POSTN,PXDN,PDGFRA,TNXB,FBN2,ACAN,COL21A1,LAMA5,MFAP5,CST3,ITGA8,THSD4,ITGA5,JAM3,FBLN1,LAMA4,COL28A1,CTSS,ELN,ITGB1,NID2,LAMA2,COL5A1,ITGA9,FMOD,COL6A1,MFAP4,COL6A2,COL1A2,MUC5AC,VCAN,ITGA11,HSPG2,TIMP1,SERPINH1,MMP11,RECK,TGFB3,TPSAB1,COL3A1,LTBP3,ILK,COL22A1,P4HB,CRTAP,FBLN5,NID1,BGN,LTBP4,DPT,MYH11,EFEMP2,COL4A1,COL1A1,SDC3,COL6A3,FGF2,LAMB1,DCN,COL12A1,FBN1,LGALS3,MFAP2,TGFB2,PPIB,ENG,CMA1,MMP2,AGRN	1.3559486687118228e-27	5.562101439055897e-24	3.708067626037265e-24
1	extracellular structure organization (GO:0043062)	108/238	DMD,ITGA7,EFEMP1,PRKCA,VWA1,NF1,TGFBI,EMILIN1,ECM2,LTBP1,MIA3,LOXL1,ACTN1,SH3PXD2B,ITGA1,LUM,SDC2,COL4A2,TIMP2,LAMB2,CTSK,NCAM1,DAG1,TNC,ITGB5,COL16A1,COL15A1,ABI3BP,LAMC3,COL5A3,SULF1,FBLN2,COL5A2,LAMC1,CYP1B1,COL11A1,COL14A1,COL18A1,MMP10,POSTN,PXDN,PDGFRA,TNXB,FBN2,ACAN,COL21A1,LAMA5,MFAP5,CST3,ITGA8,THSD4,ITGA5,JAM3,FBLN1,LAMA4,COL28A1,CTSS,ELN,ITGB1,NID2,LAMA2,COL5A1,ITGA9,FMOD,COL6A1,MFAP4,COL6A2,COL1A2,MUC5AC,VCAN,ITGA11,HSPG2,TIMP1,SERPINH1,MMP11,RECK,TGFB3,TPSAB1,COL3A1,LTBP3,ILK,COL22A1,P4HB,CRTAP,FBLN5,NID1,BGN,LTBP4,DPT,MYH11,EFEMP2,COL4A1,COL1A1,SDC3,COL6A3,FGF2,LAMB1,DCN,COL12A1,FBN1,LGALS3,MFAP2,TGFB2,PPIB,ENG,CMA1,MMP2,AGRN	1.3559486687118228e-27	5.562101439055897e-24	3.708067626037265e-24
2	glycosaminoglycan catabolic process (GO:0006027)	26/41	BGN,HEXB,PRELP,LYVE1,IDUA,GPC4,SDC3,FMOD,HPSE2,FGF2,DCN,VCAN,GNS,GLB1,LUM,SDC2,OGN,HSPG2,GUSB,SGSH,FUCA1,ACAN,OMD,GALNS,AGRN,HEXA	8.257084736131252e-12	3.3870561587610395e-08	1.1290187195870133e-08
3	aminoglycan catabolic process (GO:0006026)	27/44	BGN,HEXB,PRELP,LYVE1,IDUA,GPC4,SDC3,FMOD,HPSE2,FGF2,DCN,VCAN,GNS,GLB1,LUM,SDC2,OGN,HSPG2,GUSB,CHID1,SGSH,FUCA1,ACAN,OMD,GALNS,AGRN,HEXA	1.0082192430034351e-11	4.135715334800091e-08	1.0339288337000227e-08
4	glycosylation (GO:0070085)	55/146	STT3A,MAGT1,ST6GAL1,SEC24A,C1GALT1C1,PRKCSH,COG6,LMAN1,SEC31A,ALG5,SIRT1,GALNT10,SEC24C,RPN2,CALR,C1GALT1,COG2,GMPPA,SYVN1,GFPT1,ALG6,SIRT3,B3GAT3,MOGS,MUC16,STT3B,FUT8,PDIA3,MUC5AC,POFUT2,DAD1,SEC23A,ST6GALNAC1,MUC13,MUC6,DDOST,MUC5B,MAN1C1,SEC24D,SEC13,SLC35C1,PMM2,GALNT7,MLEC,CANX,OSTC,GMPPB,PARP16,GANAB,MGAT5,PGM3,GALNT4,ARF4,CLN5,GALNT6	1.198595213223211e-10	4.916637564641612e-07	9.833275129283223e-08
5	extracellular matrix disassembly (GO:0022617)	38/83	NID1,COL16A1,CTSS,COL15A1,ELN,COL5A3,COL4A1,COL1A1,COL5A1,COL5A2,COL6A1,LAMC1,COL6A3,COL11A1,COL14A1,LAMB1,COL6A2,DCN,COL12A1,FBN1,COL1A2,COL18A1,MMP10,SH3PXD2B,COL4A2,HSPG2,TIMP2,TIMP1,FBN2,MMP11,ACAN,ENG,LAMA5,CMA1,TPSAB1,CTSK,COL3A1,MMP2	1.2438197847444904e-10	5.1021487570219e-07	8.503581261703166e-08
6	protein glycosylation (GO:0006486)	52/139	STT3A,MAGT1,ST6GAL1,SEC24A,C1GALT1C1,PRKCSH,LMAN1,SEC31A,ALG5,SIRT1,GALNT10,SEC24C,RPN2,CALR,C1GALT1,COG2,GMPPA,SYVN1,GFPT1,ALG6,SIRT3,B3GAT3,MOGS,MUC16,STT3B,FUT8,PDIA3,MUC5AC,POFUT2,DAD1,SEC23A,ST6GALNAC1,MUC13,MUC6,DDOST,MUC5B,MAN1C1,SEC24D,SEC13,PMM2,GALNT7,MLEC,CANX,OSTC,GMPPB,PARP16,GANAB,MGAT5,PGM3,GALNT4,ARF4,GALNT6	5.178758220590179e-10	2.1243266220860915e-06	2.8324354961147885e-07
7	macromolecule glycosylation (GO:0043413)	52/139	STT3A,MAGT1,ST6GAL1,SEC24A,C1GALT1C1,PRKCSH,LMAN1,SEC31A,ALG5,SIRT1,GALNT10,SEC24C,RPN2,CALR,C1GALT1,COG2,GMPPA,SYVN1,GFPT1,ALG6,SIRT3,B3GAT3,MOGS,MUC16,STT3B,FUT8,PDIA3,MUC5AC,POFUT2,DAD1,SEC23A,ST6GALNAC1,MUC13,MUC6,DDOST,MUC5B,MAN1C1,SEC24D,SEC13,PMM2,GALNT7,MLEC,CANX,OSTC,GMPPB,PARP16,GANAB,MGAT5,PGM3,GALNT4,ARF4,GALNT6	5.178758220590179e-10	2.1243266220860915e-06	2.8324354961147885e-07
8	collagen fibril organization (GO:0030199)	19/28	DPT,NF1,COL5A3,COL1A1,COL5A1,COL5A2,MIA3,CYP1B1,COL11A1,COL14A1,COL12A1,COL1A2,LUM,TGFB2,TNXB,SERPINH1,MMP11,ACAN,COL3A1	1.0237631908057928e-09	4.1994766086853615e-06	4.666085120761513e-07
9	muscle organ development (GO:0007517)	25/45	TAGLN,DMD,ITGA7,CHKB,SRI,LAMA2,SGCD,SIRT1,CTF1,FHL3,EMD,MRAS,SMTN,AEBP1,COL6A3,CENPF,ITGA11,SGCE,SGCB,STRA6,UTRN,TCF12,LAMA5,LMNA,FHL1	1.1662908060220779e-09	4.784124886302564e-06	4.784124886302563e-07
