	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	extracellular matrix (GO:0031012)	105/185	EFEMP1,VWA1,PRELP,MATN2,TGFBI,EMILIN1,ECM2,LTBP1,AEBP1,SLPI,PODN,LOXL1,SOD3,LUM,COL4A2,TFF3,LAMB2,IGFBP7,TNC,COL16A1,COL15A1,ABI3BP,LAMC3,GPC4,MAMDC2,FBLN2,COL5A2,SPARCL1,SSC5D,LTBP2,LAMC1,COL14A1,COL18A1,MMP10,POSTN,PXDN,TNXB,FBN2,ACAN,COL21A1,LAMA5,RARRES2,FBLN1,LAMA4,ELN,NID2,MGP,MFGE8,LAMA2,COL5A1,FMOD,COL6A1,MFAP4,ASPN,COL6A2,TIMP3,COL1A2,FBLN7,VCAN,LGALS1,SPON1,OGN,APCS,HSPG2,MMP11,EMILIN3,TGFB3,TPSAB1,COL3A1,LTBP3,COL22A1,FBLN5,CRTAP,NID1,BGN,THBS4,LTBP4,DPT,CRTAC1,TGFB1I1,CILP,CD248,COL4A1,COL1A1,CALR,HPSE2,LMCD1,COL6A3,LAMB1,CRIP2,DCN,COL12A1,SFRP1,FBN1,LGALS3,TGFB2,EMILIN2,PCOLCE,SERPINF1,CMA1,OMD,LGALS3BP,MMP2,AGRN,HSP90B1	8.134614081146392e-38	3.7825955477330723e-35	3.7825955477330723e-35
1	proteinaceous extracellular matrix (GO:0005578)	62/106	TNC,BGN,LTBP4,EFEMP1,DPT,VWA1,FBLN1,COL16A1,PRELP,MATN2,ELN,CRTAC1,ABI3BP,MGP,CILP,LAMC3,CD248,EMILIN1,ECM2,GPC4,MAMDC2,CALR,LTBP1,FBLN2,SPARCL1,LTBP2,FMOD,COL6A1,HPSE2,CRTAP,COL6A3,PODN,LOXL1,COL14A1,ASPN,COL6A2,DCN,SFRP1,FBN1,FBLN7,VCAN,MMP10,LGALS1,LGALS3,SPON1,LUM,OGN,EMILIN2,TFF3,POSTN,PXDN,TNXB,FBN2,MMP11,ACAN,COL21A1,EMILIN3,OMD,COL22A1,LGALS3BP,MMP2,FBLN5	1.1227986364044774e-23	5.22101365928082e-21	2.61050682964041e-21
2	extracellular matrix part (GO:0044420)	55/92	DAG1,TNC,NID1,THBS4,ENTPD2,VWA1,FBLN1,LAMA4,COL28A1,ITGB1,MATN2,COL15A1,TGFBI,ELN,NID2,LAMC3,COL5A3,EFEMP2,LAMA2,COL4A1,COL1A1,COL5A1,COL5A2,LAMC1,MFAP4,COL11A1,ANG,COL14A1,LAMB1,ENTPD1,MMRN2,COL12A1,FBN1,TIMP3,COL1A2,MUC5AC,COL18A1,MFAP2,LUM,COL4A2,HSPG2,TIMP2,TIMP1,LAMB2,TNXB,FBN2,ACAN,THBS2,LAMA5,COL3A1,MFAP5,CST3,AGRN,FBLN5,THSD4	8.952963900029044e-22	4.1631282135135053e-19	1.3877094045045018e-19
3	extracellular vesicular exosome (GO:0070062)	432/1911	SRP14,ADIPOQ,EFEMP1,PRKCA,VWA1,FUCA2,RRAS,HPCAL1,RAP1B,CHST14,GFPT1,QDPR,GSTT2B,B3GAT3,STX7,CFD,IGFBP2,ANTXR1,SIAE,UTRN,PI16,MGAT5,CRYM,GALNS,NCALD,NCAM1,TPM3,ACE,ENTPD2,HDHD2,STX2,COL15A1,SUCLA2,SPARCL1,VPS25,HSPA12A,SLC12A2,HAAO,FKBP2,MRGPRF,CLMP,DAD1,CPD,CA4,PXDN,ARL2,PDXP,PTPRG,CLN5,ACADSB,ITGB1,NID2,CSRP1,MFGE8,LYVE1,BPIFB1,PBLD,UACA,GMDS,MYOF,TMED10,CRYL1,COL1A2,GALC,OGN,CANT1,CRK,GGH,HID1,TIMP1,DUSP3,SERPINH1,PODXL,RAB3B,SDF4,ECHDC1,LTBP3,MYH10,PRKAG1,CLIC6,ABCB11,NAA16,BGN,NT5E,PRKAR2B,TXNDC5,GNAZ,ALDH1A1,ECHS1,RNASET2,CDH13,PTPN23,PTER,RAB23,APPL1,AIF1L,CMBL,PLLP,CPQ,COL12A1,SLC25A1,SLC9A3R2,RAB1A,GNA11,SDK1,IGF2,S100A13,MYL12B,PTGDS,EPS8,PROM1,VAT1,AEBP1,CTSZ,CDH2,PCYOX1,SOD3,CPVL,ITGA1,APPL2,KCTD12,ASPA,DES,GPX3,PDIA6,DDAH1,PRDX3,MYO5C,SNX3,HEXA,AOC1,CACNA2D1,IAH1,AQP5,PCBD1,ATP2B1,GPC4,SLC25A25,LTBP2,FSTL1,SERPINA5,VPS36,COL14A1,RBL2,VCL,ACLY,CAPS,ANGPTL2,MUC13,ANPEP,PPP1R7,PMM2,SUSD2,SSR4,ANXA5,FOLR1,EPDR1,THSD4,TSPAN8,PGK2,PRKACA,RARRES2,MYADM,GSTA1,LAMA4,DPYSL2,DNM1,GSR,ARL6IP5,NUCB2,SH3BP4,SLC2A4,IQGAP2,SND1,ABHD14B,TIMP3,MAPK3,GLB1,GNA13,APCS,CD81,MYL6B,RAB8B,KRT8,GMPPB,DDAH2,GJA1,PEBP1,PDGFRB,DPP4,THBS4,NEGR1,GRHPR,SRI,ALDH6A1,GMPPA,MDP1,QSOX1,MRAS,THSD7A,FBN1,CPNE2,SEC13,TST,UBA1,SERPINF1,SORL1,RAB8A,MGST3,LXN,CDH11,CXCL12,VIL1,ST6GAL1,SH3BGRL2,PRELP,TGFBI,CNDP2,EMILIN1,COPA,TUBB3,CAPN5,RRAS2,ALCAM,ACTN1,CHMP6,COL4A2,GOLM1,TFF3,MEST,TP53I3,FUCA1,GANAB,DAG1,UGDH,TMED7,GSTM3,LMAN1,FLNA,FBLN2,LANCL1,MYLK,LAMC1,ENTPD1,COL18A1,MAOB,NCL,CHID1,LAMA5,TMEM63A,SMS,THY1,MYO1C,HINT3,GNG12,MGP,SERPINB6,LAMA2,MYL6,TTC38,CKAP4,GALK1,COL6A1,GSTM2,HGD,VPS13C,ANG,MUC16,TMED9,FBLN7,MUC5AC,LGALS1,CRYZ,CYB5R3,ASAH1,RHOB,PSMB4,SLC26A2,UFM1,SH3BGRL,MPST,SAR1A,PLS1,GALNT4,GLIPR2,ARF4,FBLN5,PRKAR2A,P4HB,SSBP1,CLDN3,LTBP4,CKB,RARRES1,CD248,CILP,RAB19,SNTB2,ANXA4,AKR1A1,IMPDH2,TMED4,PGRMC1,ERLIN2,CD55,LAMB1,DCXR,FUT8,SFRP1,LGALS3,SLC44A4,ACSL4,AGA,MAN1C1,STXBP1,UCHL1,SNX9,FABP3,KRT18,OMD,LGALS3BP,STK25,HSP90B1,DECR1,TPPP3,NME3,CRKL,CLIC5,SPTAN1,SNED1,ENO2,MAN2B2,SPTBN1,COLEC12,MARCKSL1,TGM2,ANXA6,SLPI,CFL2,TPM4,PDIA3,LUM,PYGB,TIMP2,LAMB2,SGSH,IGFBP7,ESD,PFAS,TLN1,GNAQ,CLDN5,EXTL2,ENPP4,ITGB5,PRKACB,OSBPL1A,GSN,ACO1,COL5A3,BST1,ISOC1,MOGS,PIGR,AHCY,INSR,C1QTNF5,TNXB,CTSA,RFTN1,ALDH2,CST3,ARL3,FCGBP,NHLRC3,SEC11A,FBLN1,INPP5A,C1GALT1C1,ISLR,IDUA,CADM1,COL5A1,PEPD,GDA,MFAP4,MMRN2,COL6A2,ACTB,CLIC4,HSPG2,GUSB,REEP5,OGFOD3,GALNT7,CANX,DPEP1,PAM,RSU1,EHD2,EPB41L2,NID1,PYGM,PRPH,EFHD1,HEXB,DPT,MYH11,GNAI2,CRTAC1,QPRT,EFEMP2,CALR,PGM1,COL6A3,SNX18,EPCAM,GNS,ARL15,PPIB,HYOU1,MUC5B,HNMT,PCOLCE,VIM,WFDC2,PKD2,PLXDC2,ACAT1,ADIRF,AKR1B1,AGRN	1.4169544357001014e-18	6.588838126005472e-16	1.647209531501368e-16
4	extracellular region (GO:0005576)	142/474	ADIPOQ,CXCL12,IGF2,EFEMP1,QSOX2,PRELP,TGFBI,EMILIN1,CNPY4,AGR3,PTGDS,LTBP1,PDZD11,CFD,IGFBP2,LOXL1,GPX7,TMSB4X,ACTN1,SOD3,CALU,LUM,COL4A2,TFF3,GPX3,TIMP2,LAMB2,IGFBP7,TLN1,IGFBP5,PCCA,CTSK,EMC10,DAG1,TNC,ACE,COL16A1,ANTXR2,COL15A1,NRP2,GSN,LAMC3,COL5A3,FLNA,PTEN,SFRP4,FBLN2,COL5A2,FSTL1,LAMC1,SERPINA5,FGFR1,COL11A1,COL14A1,VCL,CLEC11A,COL18A1,MMP10,PDGFRL,FBN2,ACAN,COL21A1,LAMA5,GLB1L2,MFAP5,CST3,OLFML1,EPDR1,OLFML3,RARRES2,FBLN1,LAMA4,COL28A1,CTSS,ELN,NID2,MFGE8,BPIFB1,CNTN4,LAMA2,UACA,COL5A1,CTF1,FMOD,COL6A1,MFAP4,SPATA20,COL6A2,COL1A2,VCAN,OGN,APCS,HSPG2,TIMP1,MMP11,THBS2,TGFB3,COL3A1,TPSAB1,CPA3,LTBP3,GLIPR2,COL22A1,P4HB,FBLN5,NID1,BGN,PLTP,THBS4,LTBP4,FAM172A,RNASET2,HABP4,EFEMP2,COL4A1,COL1A1,CALR,ITIH5,CCL21,COL6A3,CD55,FGF2,LAMB1,AGR2,DCN,COL12A1,FBN1,SFRP1,THBS3,MFAP2,TGFB2,MUC6,EMILIN2,HYOU1,WFDC2,SERPINF1,CMA1,OMD,MMP2,AGRN,LRPAP1,HSP90B1	2.2343658937581815e-15	1.0389801405975545e-12	2.0779602811951088e-13
5	collagen trimer (GO:0005581)	30/49	MSR1,ADIPOQ,COL16A1,COL28A1,COL15A1,COL5A3,EMILIN1,COL4A1,COL1A1,COL5A1,COL5A2,COLEC12,COL6A1,COL6A3,COL11A1,COL14A1,DCN,COL12A1,COL6A2,COL1A2,COL18A1,LUM,EMILIN2,COL4A2,C1QTNF7,C1QTNF5,TNXB,COL21A1,COL3A1,COL22A1	7.624725573481301e-13	3.545497391668805e-10	5.909162319448007e-11
6	basement membrane (GO:0005604)	30/54	DAG1,NID1,TNC,THBS4,VWA1,FBLN1,LAMA4,COL28A1,ITGB1,MATN2,TGFBI,NID2,LAMC3,EFEMP2,LAMA2,COL4A1,COL5A1,LAMC1,LAMB1,MMRN2,FBN1,TIMP3,COL18A1,TIMP2,TIMP1,LAMB2,ACAN,THBS2,LAMA5,CST3	2.5007437581304222e-11	1.1628458475306464e-08	1.661208353615209e-09
7	vacuolar lumen (GO:0005775)	29/54	BGN,HEXB,TXNDC5,CTSS,PRELP,IDUA,GPC4,SDC3,FMOD,DCN,VCAN,GNS,GALC,GLB1,LUM,SDC2,OGN,ASAH1,HSPG2,GUSB,SGSH,CTSA,ACAN,CTSK,OMD,GALNS,AGRN,HEXA,CLN5	1.6318713369438256e-10	7.588201716788789e-08	9.485252145985986e-09
8	cell-substrate junction (GO:0030055)	96/325	DMD,ITGA7,RRAS,DOCK7,FAP,PEAK1,TGM2,LIMS2,CDH2,L1CAM,PDLIM7,CAPN5,RRAS2,ANXA6,TSPAN4,MCAM,MPRIP,ALCAM,TPM4,PDIA3,ACTN1,ITGA1,TLN1,TNS1,LPP,REXO2,DAG1,ITGB5,TNC,FLNC,GSN,FLNA,EHD3,ARHGEF2,FHL3,PGM5,CNN1,VCL,NRP1,CAV1,TSPAN9,GNA12,ANXA5,ITGA8,ITGA5,PPP1R12A,FHL1,THY1,ITGB1,SORBS1,LRP1,CSRP1,SNTB1,SORBS3,LIMS1,ARHGEF7,FERMT2,MRC2,PTK7,FBLN7,MAPK3,ACTB,CD99L2,ITGA11,GNA13,CD81,RHOB,HSPG2,TLN2,PARVA,SYNPO2,ADD1,ILK,RSU1,P4HB,PRKAR2A,EPB41L2,GJA1,AKAP12,PDGFRB,TRIOBP,DPP4,TGFB1I1,CDH13,CALR,SNTB2,TNS3,AIF1L,NEXN,SLC9A3R2,PPIB,HYOU1,VIM,ENG,PALLD,HSP90B1	2.439431823109493e-10	1.1343357977459144e-07	1.2603731086065714e-08
9	lysosomal lumen (GO:0043202)	28/52	BGN,HEXB,TXNDC5,CTSS,PRELP,IDUA,GPC4,SDC3,FMOD,DCN,VCAN,GNS,GALC,GLB1,LUM,SDC2,OGN,ASAH1,HSPG2,GUSB,SGSH,CTSA,ACAN,CTSK,OMD,GALNS,AGRN,HEXA	3.1174896363181176e-10	1.4496326808879247e-07	1.4496326808879246e-08
