	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	27/44	PRKAA1,TPM3,CACNA2D1,ACE,ITGA7,DAG1,ITGB5,DMD,SLC8A1,ITGB1,LAMA2,SGCD,ITGA9,EMD,TPM1,TPM4,ITGA1,ACTB,ITGA11,SGCB,TGFB2,DES,TGFB3,LMNA,PRKAG1,ITGA8,ITGA5	1.0082192430034351e-11	2.702027571249206e-09	2.702027571249206e-09
1	Focal adhesion_Homo sapiens_hsa04510	55/139	ITGB5,TNC,ITGA7,THBS4,CRKL,PRKCA,LAMA4,ITGB1,FLNC,RAP1B,LAMC3,FLNA,LAMA2,MYL12B,PTEN,COL4A1,COL1A1,CAV2,ITGA9,MYLK,COL6A1,LAMC1,COL6A3,ROCK2,LAMB1,VCL,COL6A2,PPP1R12C,THBS3,COL1A2,MAPK3,ACTN1,ITGA1,ACTB,ITGA11,COL4A2,CAV1,CRK,TLN2,PPP1R12B,PDGFRA,LAMB2,DOCK1,TNXB,TLN1,PARVA,BCL2,THBS2,LAMA5,AKT3,ILK,ITGA8,ITGA5,PPP1R12A,PDGFRB	1.2659027371150464e-11	3.3926193354683243e-09	1.6963096677341621e-09
2	Dilated cardiomyopathy_Homo sapiens_hsa05414	26/44	TPM3,CACNA2D1,ITGB5,DAG1,ITGA7,DMD,PRKACB,PRKACA,SLC8A1,ITGB1,LAMA2,SGCD,ITGA9,EMD,TPM1,TPM4,ITGA1,ACTB,ITGA11,SGCB,TGFB2,DES,TGFB3,LMNA,ITGA8,ITGA5	8.210563102344127e-11	2.200430911428226e-08	7.334769704760753e-09
3	ECM-receptor interaction_Homo sapiens_hsa04512	30/58	DAG1,TNC,ITGB5,ITGA7,THBS4,LAMA4,ITGB1,LAMC3,LAMA2,COL4A1,COL1A1,ITGA9,COL6A1,LAMC1,COL6A3,LAMB1,COL6A2,THBS3,COL1A2,ITGA1,ITGA11,COL4A2,HSPG2,LAMB2,TNXB,THBS2,LAMA5,AGRN,ITGA8,ITGA5	2.6918950314733954e-10	7.2142786843487e-08	1.803569671087175e-08
4	Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	23/41	CACNA2D1,DAG1,DMD,ITGB5,ITGA7,SLC8A1,ITGB1,LAMA2,SGCD,ITGA9,EMD,CDH2,PKP2,ACTN1,ITGA1,ACTB,ITGA11,SGCB,DES,LMNA,ITGA8,ITGA5,GJA1	4.207022189775722e-09	1.1274819468598936e-06	2.254963893719787e-07
5	Protein digestion and absorption_Homo sapiens_hsa04974	22/39	DPP4,SLC8A1,COL15A1,ELN,COL5A3,COL4A1,COL1A1,COL5A1,COL5A2,COL6A1,COL6A3,COL11A1,COL14A1,COL6A2,COL12A1,COL1A2,COL18A1,COL4A2,COL21A1,COL3A1,CPA3,COL22A1	7.98083688561682e-09	2.1388642853453077e-06	3.564773808908846e-07
6	Vascular smooth muscle contraction_Homo sapiens_hsa04270	25/60	PRKACA,PRKACB,PRKCA,MYH11,GUCY1A2,ITPR1,MYL6,CALM3,PPP1R14A,MYLK,NPR2,ROCK2,PPP1R12C,MAPK3,CALD1,PRKG1,GNA13,MYL6B,PPP1R12B,GNAQ,EDNRA,GNA12,PLCB4,GNA11,PPP1R12A	1.6655789672515775e-06	0.0004463751632234228	6.376788046048897e-05
7	Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	42/129	STT3A,SSR3,TXNDC5,SEC24A,PRKCSH,LMAN1,SEC31A,SEC24C,CALR,SEC62,RPN2,CKAP4,SYVN1,ERLEC1,SEC61A1,MOGS,RRBP1,STT3B,WFS1,PDIA3,DNAJC10,TRAM1,DNAJC1,SEC23B,BAG2,DAD1,SEC23A,PDIA4,HYOU1,DDOST,MAN1C1,PDIA6,SEC24D,HERPUD1,BCL2,SEC13,CANX,SAR1A,GANAB,SSR4,P4HB,HSP90B1	1.9479060390463094e-06	0.0005220388184644109	6.525485230805136e-05
8	Glycosaminoglycan degradation_Homo sapiens_hsa00531	9/13	IDUA,GUSB,SGSH,HEXB,GNS,GLB1,GALNS,HPSE2,HEXA	2.5211165666391998e-05	0.006756592398593056	0.0007507324887325617
9	cGMP-PKG signaling pathway_Homo sapiens_hsa04022	27/85	ADRA2A,SLC8A1,PDE2A,GNAI2,ATP2B3,ATP2B1,GUCY1A2,ITPR1,CALM3,MYLK,NFATC4,NPR2,PDE5A,ROCK2,MAPK3,PRKG1,GNA13,INSR,PDE3A,GNAQ,IRS1,EDNRA,GNA12,PLCB4,AKT3,GNA11,PPP1R12A	0.0002050717068252425	0.054959217429164986	0.005495921742916498
