snps	gene	statistic	pvalue	FDR	beta
CFAP46	ARID1A	-4.77107805478097	4.19944777371464e-06	0.03759765591806718	-1.0627049955272
RB1	DHX8	6.25560337751138	3.6862668865995303e-09	3.30031474357256e-05	1.1870267978546
RB1	CCDC43	5.4358001065537	2.07796135280787e-07	0.000930199399584443	1.36696581146728
RB1	KPNB1	5.38312262093348	2.66103008399827e-07	0.000930199399584443	1.04039125120333
RB1	POLD3	5.28329002837934	4.23456152033549e-07	0.0009478007322890911	1.70610402700767
RB1	RBBP4	5.16687012461925	7.22855813076873e-07	0.001294345618895449	1.01027930375221
RB1	CDKN2A	5.15898376994591	7.49314244515767e-07	0.001294345618895449	2.75995675575529
RB1	PCNA	5.13811608435806	8.23949939912812e-07	0.001294345618895449	2.44212647270177
RB1	FEN1	5.10559312232823	9.54892504168134e-07	0.001294345618895449	2.21399874432923
RB1	HAT1	5.07634831949694	1.08974963853448e-06	0.001294345618895449	1.98785153051802
RB1	UHRF1	5.06481939173817	1.14785032067389e-06	0.001294345618895449	2.20542701815459
RB1	PLP2	4.9984001517038	1.54594746120683e-06	0.001294345618895449	2.24865576747592
RB1	PDE7A	4.86945652040559	2.73537690459725e-06	0.0020408191189049316	1.83891300917219
RB1	POLA2	4.86123909972926	2.83573120795203e-06	0.0020408191189049316	1.46106441260828
RB1	TOE1	4.85855947889239	2.86922023470693e-06	0.0020408191189049316	1.1915980322694
RB1	POLD2	4.8524482160452	2.94703630288903e-06	0.0020408191189049316	1.25595412668218
RB1	NASP	4.78413803381707	3.96847309520859e-06	0.0022206087263376565	2.21168264843104
RB1	HPS1	4.78084518699421	4.02552261211853e-06	0.0022206087263376565	0.801637350033231
RB1	MSH2	4.77174584567576	4.18732831648088e-06	0.0022206087263376565	1.47031065099913
RB1	MCM5	4.73725706419426	4.85967344870803e-06	0.0022899292834885785	2.52299792625817
RB1	UBR7	4.71799320989588	5.27948072375835e-06	0.0023633595459904254	1.61140388734283
RB1	RBBP7	4.71638401633771	5.31609386678808e-06	0.0023633595459904254	1.17652640876131
RB1	IPO9	4.59462748401284	8.92630569307868e-06	0.0036326006759151556	1.34565440390695
RB1	CTPS1	4.59299975219777	8.98780426742455e-06	0.0036326006759151556	1.48118861482585
RB1	UCK2	4.52421269192678	1.19950683268256e-05	0.004474660280419567	1.18836121727561
RB1	RFC2	4.51572532888808	1.24273636230288e-05	0.004474660280419567	1.36119926453515
RB1	TIMELESS	4.50794044607371	1.28370476374782e-05	0.004474660280419567	1.41062542220554
RB1	MCM2	4.50448911814753	1.30228101999007e-05	0.004474660280419567	2.50638484188623
RB1	NPEPPS	4.50265827531817	1.31224009644156e-05	0.004474660280419567	1.13121864746127
RB1	MCM3	4.49176967577817	1.37300271613857e-05	0.004474660280419567	2.34567044886377
RB1	MCM4	4.48673742022393	1.40199174230284e-05	0.004474660280419567	2.61301532187878
RB1	BRI3BP	4.46828941332619	1.51338859426407e-05	0.004474660280419567	1.39815608585597
RB1	CEP131	4.44044158049293	1.69783379481561e-05	0.004750220614057548	1.75300709940893
RB1	ZC3H11A	4.43639367717707	1.7263825447707e-05	0.004750220614057548	0.73685200360772
RB1	POLD1	4.40946331926987	1.92841225369843e-05	0.00507796320804766	1.37059388339895
