Sample_id	MS_run	Sample_condition	internal_ref
MIX1	Cervical1	Internal_reference	Yes
TB92-1	Cervical1	Tumor_tissue	No
NB92-2	Cervical1	Tumor_adjacent_tissue	No
TN35-1	Cervical1	Tumor_tissue	No
TN28	Cervical1	Tumor_tissue	No
TB124	Cervical1	Tumor_tissue	No
TB69	Cervical1	Tumor_tissue	No
TB115-1	Cervical1	Tumor_tissue	No
NB115-2	Cervical1	Tumor_adjacent_tissue	No
TB42	Cervical1	Tumor_tissue	No
TB59	Cervical1	Tumor_tissue	No
TB40	Cervical1	Tumor_tissue	No
TB47	Cervical1	Tumor_tissue	No
TB12	Cervical1	Tumor_tissue	No
TB74	Cervical1	Tumor_tissue	No
MIX2	Cervical2	Internal_reference	Yes
TB49	Cervical2	Tumor_tissue	No
TB145	Cervical2	Tumor_tissue	No
TB133	Cervical2	Tumor_tissue	No
TB76	Cervical2	Tumor_tissue	No
TN17	Cervical2	Tumor_tissue	No
TB39	Cervical2	Tumor_tissue	No
TB85-1	Cervical2	Tumor_tissue	No
NB85-2	Cervical2	Tumor_adjacent_tissue	No
TB24	Cervical2	Tumor_tissue	No
TB28	Cervical2	Tumor_tissue	No
TB52	Cervical2	Tumor_tissue	No
TB159	Cervical2	Tumor_tissue	No
TB100-1	Cervical2	Tumor_tissue	No
MIX3	Cervical3	Internal_reference	Yes
TB62	Cervical3	Tumor_tissue	No
TB106-1	Cervical3	Tumor_tissue	No
NB106-2	Cervical3	Tumor_adjacent_tissue	No
TB4	Cervical3	Tumor_tissue	No
TB63	Cervical3	Tumor_tissue	No
TB1	Cervical3	Tumor_tissue	No
TN10	Cervical3	Tumor_tissue	No
TB105-1	Cervical3	Tumor_tissue	No
NB105-2	Cervical3	Tumor_adjacent_tissue	No
TB32	Cervical3	Tumor_tissue	No
TB137-1	Cervical3	Tumor_tissue	No
NB137-2	Cervical3	Tumor_adjacent_tissue	No
TB80	Cervical3	Tumor_tissue	No
TN33-1	Cervical3	Tumor_tissue	No
NN33-2	Cervical3	Tumor_adjacent_tissue	No
MIX4	Cervical4	Internal_reference	Yes
TB88-1	Cervical4	Tumor_tissue	No
NB88-2	Cervical4	Tumor_adjacent_tissue	No
TN31	Cervical4	Tumor_tissue	No
TB46	Cervical4	Tumor_tissue	No
TB38	Cervical4	Tumor_tissue	No
TB156	Cervical4	Tumor_tissue	No
TB84	Cervical4	Tumor_tissue	No
TB160	Cervical4	Tumor_tissue	No
TB102-1	Cervical4	Tumor_tissue	No
NB102-2	Cervical4	Tumor_adjacent_tissue	No
TB82	Cervical4	Tumor_tissue	No
TB53	Cervical4	Tumor_tissue	No
TB104-1	Cervical4	Tumor_tissue	No
NB104-2	Cervical4	Tumor_adjacent_tissue	No
TB41	Cervical4	Tumor_tissue	No
MIX5	Cervical5	Internal_reference	Yes
TN15	Cervical5	Tumor_tissue	No
TB71	Cervical5	Tumor_tissue	No
TB33	Cervical5	Tumor_tissue	No
TB78	Cervical5	Tumor_tissue	No
TB31	Cervical5	Tumor_tissue	No
TB147	Cervical5	Tumor_tissue	No
TN26	Cervical5	Tumor_tissue	No
TB126	Cervical5	Tumor_tissue	No
TB141-1	Cervical5	Tumor_tissue	No
