Gene	Set1_MIX	T112	N112	T113	N113	T123	N123	T125	N125	T127	N127	Set2_MIX	T131	N131	T135	N135	T137	N137	T141	N141	T145	N145
43160	255370.0	203810.0	324460.0	127500.0	303630.0	135720.0	174170.0	185090.0	264050.0	115380.0	380690.0	225320.0	228140.0	297220.0	96284.0	268860.0	169470.0	229860.0	264190.0	221120.0	116090.0	172990.0
43161	346250.0	324580.0	451400.0	334050.0	533610.0	176060.0	507190.0	240190.0	344310.0	155300.0	531510.0	440810.0	374170.0	584310.0	511340.0	625460.0	422260.0	426800.0	413430.0	651660.0	462410.0	492470.0
43164	31847.0	33268.0	32816.0	44617.0	37770.0	48268.0	34398.0	38312.0	34663.0	39947.0	35669.0	113450.0	91598.0	101740.0	105120.0	101600.0	124220.0	99291.0	98080.0	131810.0	87666.0	86452.0
43165	25389.0	21890.0	23730.0	25426.0	25633.0	28163.0	24584.0	20060.0	25694.0	28227.0	28372.0	17527.0	13811.0	15656.0	23109.0	18836.0	16728.0	17196.0	16041.0	18314.0	18443.0	11529.0
43344	51333.0	27085.0	43449.0	36671.0	61209.0	20928.0	48266.0	22943.0	145380.0	25992.0	35345.0	37945.0	28132.0	37469.0	46170.0	46720.0	42529.0	59949.0	68845.0	45210.0	41958.0	58029.0
43345	273440.0	180480.0	228380.0	209860.0	208760.0	156570.0	215510.0	330530.0	323760.0	171560.0	193230.0	226290.0	348320.0	185850.0	224690.0	203030.0	254830.0	214360.0	259530.0	215980.0	196860.0	211230.0
43346	10591.0	12210.0	13018.0	17358.0	15012.0	12080.0	13318.0	21888.0	24930.0	12286.0	15923.0	7341.7	11949.0	8167.3	12582.0	9477.9	13822.0	11864.0	11126.0	7425.4	7197.0	11808.0
43347	181070.0	113140.0	154730.0	111220.0	169410.0	385570.0	267950.0	137560.0	257190.0	174930.0	166800.0	116180.0	55075.0	116560.0	93119.0	116040.0	149980.0	163120.0	107430.0	134610.0	122390.0	140310.0
43348	83715.0	48858.0	44235.0	97914.0	53059.0	91626.0	52649.0	92233.0	68650.0	43883.0	47828.0	54509.0	64653.0	33174.0	113590.0	39501.0	47250.0	41788.0	65593.0	38664.0	48106.0	38398.0
43349	99070.0	73992.0	67515.0	83019.0	69459.0	66191.0	61296.0	87401.0	98121.0	54280.0	66799.0	92929.0	184410.0	69666.0	98807.0	79264.0	108290.0	87872.0	115870.0	81087.0	91306.0	75012.0
43350	339160.0	206660.0	241520.0	229350.0	251790.0	238990.0	273970.0	365740.0	394700.0	220240.0	243170.0	316610.0	473890.0	207050.0	300360.0	245970.0	353960.0	287840.0	341380.0	302780.0	249920.0	288190.0
43351	62967.0	37320.0	39223.0	33173.0	41588.0	39057.0	51036.0	34175.0	80860.0	40192.0	37573.0	105900.0	127870.0	73615.0	103510.0	88517.0	118300.0	107200.0	129200.0	87689.0	103190.0	117530.0
43352	566640.0	645230.0	393270.0	551610.0	427350.0	468300.0	419300.0	1039800.0	496890.0	357040.0	383840.0	544260.0	768920.0	355110.0	761410.0	363130.0	535040.0	396400.0	610170.0	394690.0	467370.0	365320.0
43353	98523.0	56227.0	108290.0	64708.0	96297.0	59661.0	93292.0	114860.0	110360.0	82982.0	90337.0	67750.0	85100.0	52334.0	56796.0	54711.0	70983.0	58711.0	60155.0	67219.0	32577.0	42742.0
43354	292720.0	193580.0	224890.0	214630.0	220000.0	209240.0	254470.0	349470.0	366330.0	175320.0	211120.0	314290.0	401380.0	201290.0	296990.0	257720.0	329300.0	288450.0	339220.0	270730.0	261270.0	289140.0
43358	30762.0	22420.0	35027.0	34098.0	36067.0	28123.0	40513.0	25502.0	32737.0	18163.0	37753.0	27086.0	55724.0	26856.0	32780.0	30664.0	24122.0	29852.0	19384.0	27669.0	24664.0	24038.0
A1BG	197220.0	413850.0	193120.0	243030.0	219820.0	178630.0	230230.0	225850.0	241140.0	131720.0	153370.0	227520.0	222190.0	190740.0	235810.0	207500.0	235400.0	248760.0	259630.0	278960.0	183080.0	174170.0
A1CF	432210.0	443780.0	391200.0	421840.0	439570.0	694390.0	368180.0	242350.0	361910.0	340810.0	463240.0	542740.0	892760.0	489590.0	590000.0	521320.0	643590.0	450330.0	597820.0	567280.0	417640.0	337440.0
A2M	939990.0	961500.0	892870.0	848020.0	876700.0	533040.0	780230.0	795670.0	1152000.0	397230.0	530340.0	737220.0	1029600.0	528200.0	1432900.0	412520.0	487420.0	592780.0	418450.0	679730.0	556300.0	981420.0
AAAS	115830.0	110230.0	110950.0	93278.0	127620.0	176080.0	90739.0	113330.0	124770.0	110040.0	137770.0	119680.0	107080.0	130050.0	88204.0	118710.0	115220.0	112910.0	129130.0	180170.0	98439.0	131920.0
AACS	125820.0	91060.0	75747.0	209360.0	86377.0	113370.0	71116.0	474520.0	100900.0	161040.0	70403.0	97460.0	417210.0	53951.0	143650.0	56389.0	82066.0	62350.0	101390.0	55268.0	108190.0	70013.0
AADAC	123310.0	146580.0	144790.0	148590.0	170250.0	179530.0	165450.0	65825.0	155500.0	141840.0	249940.0	114370.0	78890.0	148470.0	75278.0	183950.0	144710.0	148170.0	80102.0	126090.0	161860.0	135860.0
AADAT	98523.0	44307.0	197380.0	64977.0	245600.0	35091.0	219500.0	27649.0	139650.0	35328.0	250640.0	114130.0	31230.0	306510.0	47263.0	178140.0	77963.0	185890.0	84658.0	155420.0	98913.0	161900.0
AAGAB	19812.0	15661.0	15856.0	28008.0	19337.0	37434.0	14250.0	28989.0	21213.0	30465.0	14344.0	12930.0	10117.0	10745.0	14115.0	12249.0	18021.0	10366.0	15230.0	11368.0	8611.5	9387.2
AAK1	84801.0	77807.0	62284.0	70697.0	72285.0	141680.0	65900.0	159610.0	85511.0	69293.0	64702.0	74239.0	72407.0	51151.0	103500.0	64386.0	72330.0	60188.0	75587.0	60949.0	74407.0	53060.0
AAMDC	160850.0	99323.0	84830.0	206240.0	130600.0	138790.0	91643.0	114290.0	122120.0	147440.0	136940.0	122870.0	236660.0	78604.0	170140.0	91519.0	131210.0	84720.0	31254.0	38417.0	64214.0	90536.0
AAMP	66714.0	52849.0	50717.0	77449.0	56293.0	89802.0	51107.0	67764.0	51829.0	66366.0	58456.0	164890.0	356440.0	106750.0	153170.0	120660.0	150340.0	111750.0	146560.0	133330.0	116280.0	107170.0
AAR2	44651.0	56422.0	36988.0	54869.0	41060.0	137660.0	36613.0	47834.0	47154.0	60288.0	40873.0	29400.0	45830.0	29261.0	34249.0	29437.0	36384.0	28709.0	31816.0	27292.0	26816.0	27048.0
AARS	561000.0	556490.0	469060.0	902690.0	530080.0	1040200.0	507360.0	487290.0	578410.0	467860.0	502280.0	733700.0	752710.0	628390.0	1209900.0	702820.0	590120.0	439850.0	874730.0	703270.0	728480.0	595260.0
AARS2	155550.0	285650.0	106210.0	178550.0	131880.0	331100.0	129850.0	129740.0	139040.0	250300.0	125650.0	242960.0	306070.0	231480.0	214430.0	198900.0	280550.0	201770.0	207090.0	206100.0	191700.0	180540.0
AARSD1	169690.0	202290.0	142210.0	165500.0	159020.0	323870.0	156030.0	129130.0	163620.0	191640.0	159880.0	187300.0	304370.0	169170.0	207730.0	179420.0	246550.0	159960.0	193400.0	170250.0	161430.0	163930.0
AASDH																						
AASDHPPT	89113.0	70779.0	82519.0	152000.0	99573.0	77123.0	88845.0	102760.0	98979.0	94976.0	97819.0	115920.0	206070.0	112690.0	89391.0	119060.0	183990.0	116470.0	152810.0	113560.0	122360.0	91348.0
AASS	903640.0	566970.0	1160600.0	521610.0	1385300.0	448400.0	723090.0	244300.0	922360.0	857800.0	2507400.0	692350.0	155760.0	1124700.0	243820.0	786090.0	1271000.0	845010.0	549410.0	1093700.0	455150.0	649200.0
AATF	93416.0	140140.0	63884.0	139700.0	72175.0	158150.0	72110.0	125510.0	89606.0	132600.0	76841.0	70029.0	107860.0	41760.0	91631.0	42002.0	62337.0	41730.0	53091.0	45734.0	50124.0	37343.0
ABAT	827080.0	1230600.0	1091900.0	601180.0	1359400.0	474020.0	1432800.0	236680.0	1070300.0	1070200.0	1596600.0	701950.0	219440.0	949520.0	346800.0	897010.0	571330.0	888530.0	987570.0	1255400.0	636720.0	645130.0
ABCA1	122310.0	143320.0	122410.0	156810.0	125870.0	120440.0	136930.0	226920.0	146040.0	124050.0	107650.0	179310.0	232950.0	161240.0	300750.0	178860.0	175660.0	183570.0	183520.0	195430.0	229360.0	171860.0
ABCA10	15496.0	13800.0	16748.0	12500.0	16827.0	17638.0	11545.0	9214.6	12793.0	21451.0	22350.0	47473.0	11007.0	49438.0	23483.0	49425.0	125140.0	42333.0	33141.0	59040.0	43957.0	31127.0
ABCA2	35919.0	33009.0	32265.0	31128.0	39637.0	42390.0	27809.0	43700.0	38435.0	34253.0	37621.0	25834.0	16462.0	20887.0	23037.0	23373.0	54071.0	22564.0	27150.0	27410.0	20325.0	17445.0
ABCA4																						
ABCA5	18153.0	21106.0	19987.0	24624.0	20964.0	88453.0	19248.0	39368.0	24007.0	19310.0	17652.0											
ABCA6	428430.0	444390.0	457630.0	379240.0	492640.0	620010.0	389530.0	318120.0	395750.0	555140.0	613270.0	419840.0	177170.0	476660.0	281570.0	455360.0	1062400.0	437750.0	387890.0	569540.0	358560.0	370690.0
ABCA8	198960.0	251510.0	264620.0	257740.0	337720.0	156960.0	198480.0	83897.0	287290.0	161720.0	170480.0	239460.0	69485.0	329180.0	85080.0	197380.0	398190.0	282580.0	110860.0	334530.0	150330.0	276130.0
ABCB1	603480.0	563450.0	415940.0	727580.0	537120.0	667250.0	349290.0	249690.0	657680.0	506640.0	499640.0	428510.0	178330.0	344050.0	1634500.0	476500.0	1031600.0	357480.0	312010.0	289280.0	446000.0	277070.0
ABCB10	174880.0	180890.0	138850.0	177050.0	146030.0	313180.0	130640.0	193950.0	140500.0	176460.0	136400.0	435580.0	505380.0	272140.0	427200.0	295530.0	471060.0	353970.0	543480.0	347040.0	505770.0	350400.0
ABCB11	466010.0	245840.0	505710.0	572310.0	583810.0	199620.0	568950.0	178930.0	464710.0	483550.0	814590.0	489770.0	196090.0	886290.0	294910.0	588510.0	555890.0	476110.0	286310.0	515650.0	304890.0	379990.0
ABCB4	460490.0	268300.0	455630.0	413720.0	694120.0	325820.0	369940.0	206460.0	741100.0	311480.0	461630.0	489810.0	243190.0	573300.0	750750.0	732750.0	1373200.0	470380.0	515340.0	338260.0	417860.0	341520.0
ABCB5	10854.0	4608.7	11282.0	8238.1	18550.0	4485.5	9571.1	4973.4	19835.0	5865.3	9761.1	7776.4	7193.3	8321.6	7098.5	9603.3	17859.0	6739.5	8017.5	5924.0	6067.4	6152.3
ABCB6	201950.0	141910.0	164310.0	185220.0	165960.0	420820.0	174010.0	167130.0	156060.0	216820.0	179710.0	130520.0	123700.0	125740.0	117340.0	128360.0	145300.0	97417.0	102330.0	98428.0	156820.0	81535.0
