	sample	r^2_of_nonlinear_model
0	T112	0.5295858047264839
1	N112	0.8383985426474431
2	T113	0.554247630307784
3	N113	0.8581039215463464
4	T123	0.3226513150049332
5	N123	0.9131420725762843
6	T125	0.761105421225573
7	N125	0.8596425905036829
8	T127	0.5638318026088894
9	N127	0.6890208084779658
10	T131	0.5570758152947666
11	N131	0.6149813053738951
12	T135	0.8036271040339792
13	N135	0.8282129846257338
14	T137	0.5514739101751569
15	N137	0.7353719909223115
16	T141	0.6302578648822554
17	N141	0.6647459734580509
18	T145	0.7838514828901902
19	N145	0.8037808652107891
