	PC1	PC2	PC3	PC4	PC5
T137	34.93725194812747	45.13783478021762	-55.272627522431	-30.24159985561271	-41.502901159749186
T145	36.83000798064586	45.68654965826255	-31.428398925040057	71.977698251175	20.88916081055217
N123	-46.53165181290664	-0.15981173603157395	40.89259324021679	5.886227696070062	-6.930505657584032
T131	70.41180064340575	-4.367157561287207	14.415111513518713	-49.046726491430626	24.441610382359794
N145	-57.80544575089448	40.58711935038906	7.044011081661793	-9.778161781372752	9.027543814861305
N127	-56.39478944541162	-44.84900010247614	-13.630238701908784	-4.411804705176374	-0.051877626231700544
T127	58.187647389045146	-53.11367709585913	-28.041472059949296	-3.7267956934254114	1.7242213515027343
N131	-59.43847699060806	-8.24589392023279	-29.747715482150532	-5.496479301892942	24.386171362794762
N135	-62.19738295181274	10.428362008308865	-15.999832670545802	-3.913206368194651	14.506603409200121
N137	-63.30899825759592	26.937627192441884	-7.74087622404035	-4.524028726150138	8.626610811021349
T113	49.697955319237025	-42.2912883640239	-0.19666049232027122	55.234941946471274	-37.25548438503191
T112	56.682965758063226	-53.15433716713429	-5.863017465030899	-12.878107705195706	12.401243486620446
T125	69.16587412844633	11.237276363056063	71.13284957817586	2.8811944713987163	-1.4902897823261707
N112	-65.96635378177548	-25.36588217145225	9.84161844058683	3.68913196907478	-9.416154853153456
N125	-53.83051997806247	16.948035337528424	30.683122035556085	12.704925950412683	-20.144798589888463
T141	50.62102807178303	60.88333812765001	2.498288565856617	-19.43928982488403	-49.2593897742384
N113	-57.058274203674436	-32.11815912301926	4.113014010056484	7.379662898171575	-11.77627505068108
T123	70.60654026912479	-38.99268192460614	-3.075012883670944	-14.495337411853441	-6.665978227717619
T135	93.54788311848172	38.84301507353374	4.630112477884878	10.500186279604746	52.31854086036132
N141	-68.15706145361854	5.968731274734386	5.745131483573873	-12.302431597190083	16.17194881732802
