	PC1	PC2	PC3	PC4	PC5
N131	-59.438467727281804	-8.245919821906257	-29.746888219773176	-5.487547052458662	24.35483009033583
T112	56.682957596838015	-53.15306852758483	-5.88840041958029	-12.884651621274566	12.500957120761205
N137	-63.3089982934753	26.936653924052525	-7.728985155900793	-4.526767414562111	8.651520040839248
N123	-46.53164181862585	-0.16125538688263164	40.91932727146654	5.893136508339038	-7.0378056737506185
N112	-65.96635638176296	-25.364727867700203	9.829292341540143	3.6899726816185545	-9.41764001391823
T125	69.16587667538522	11.23697859974774	71.13940338453476	2.8855122360097294	-1.5248614392962545
T127	58.1876568219246	-53.11446565438047	-28.018431685436692	-3.7095653767054215	1.6025958731459091
T131	70.41180223026414	-4.3670048542854625	14.41470862066644	-49.03878017016317	24.434145552713336
N135	-62.19738805758738	10.428875589471787	-16.001834788912795	-3.9138011637978267	14.481572235296184
T123	70.60653152226449	-38.99221985506561	-3.0897820856563176	-14.515932582767526	-6.569363340865754
N125	-53.83053297168708	16.950683182674325	30.634880557225667	12.6987865258498	-19.984956950396214
N127	-56.3947924914869	-44.850099127935614	-13.622441816355074	-4.428225789649952	-0.02528186354903994
T141	50.621029294267146	60.88323983370014	2.4991864261019745	-19.438269438285133	-49.26491514729377
N113	-57.05827120469318	-32.11851680804007	4.119554916411675	7.38952170096934	-11.779146566147212
N145	-57.80543940302316	40.58528699428442	7.0713392149957235	-9.786128349797353	8.950285408102278
T113	49.69796003157086	-42.292187214660295	-0.18209136648924265	55.23644173376539	-37.31128717176308
T137	34.93725190233394	45.138028039067954	-55.275174219266226	-30.24053814706017	-41.506600146351886
T135	93.54788304890698	38.84273259507006	4.635022803305377	10.496989126452753	52.3151064552767
N141	-68.15706541091306	5.969782038006966	5.73164063513282	-12.297425280818175	16.200560738656872
T145	36.83000463678092	45.68720432236601	-31.440326414010556	71.97727187433594	20.930284798204713
