	N131	T112	N137	N123	N112	T125	T127	T131	N135	T123	N125	N127	T141	N113	N145	T113	T137	T135	N141	T145
N131	1.0	0.08077837603524701	0.7488569293666912	0.4388379254944061	0.6539526803294937	-0.22983208660122448	0.059927863697884075	-0.21842740062938992	0.8158568374098614	-0.1172918131847235	0.4493580717568957	0.6747576514313782	-0.052794952636649004	0.6710817531841967	0.5966008973480126	0.0799487586991002	0.108515802949204	-0.1470379973541669	0.6252678161258267	0.15453762078836764
T112	0.08077837603524701	1.0	-0.08585466248458708	0.09274955075389352	0.10078003721984541	0.23701995772509643	0.5637859463422309	0.3200945729839643	-0.03136456684549406	0.518438612417117	-0.04520275367848295	0.15658107160162255	0.12461245896060019	0.2007300474980527	-0.1020912561303923	0.4411607623126658	0.10301396369826395	0.3121993023561947	-0.05561285983841164	0.0945824218169767
N137	0.7488569293666912	-0.08585466248458708	1.0	0.5396171916985932	0.619412156799424	-0.1717964055097974	-0.1130075826196564	-0.29136239410379866	0.7891066570666965	-0.275684717626064	0.6471780155785103	0.52746848366338	0.07829806441687319	0.6238167828756578	0.7735364560234668	-0.030798439898747112	0.17661533377470642	-0.15735456411185703	0.6496404174673861	0.1933985352451552
N123	0.4388379254944061	0.09274955075389352	0.5396171916985932	1.0	0.6388263114052686	0.04386665704384451	0.014883786736744758	-0.20491855168104928	0.5111088044719179	-0.08003127162162703	0.6221834234490284	0.5187611290129606	0.01680259792150829	0.634445506370991	0.5240201702348906	0.13630184815693233	0.03753844248088107	-0.07212397320529453	0.525726262584627	0.06023343803934498
N112	0.6539526803294937	0.10078003721984541	0.619412156799424	0.6388263114052686	1.0	-0.1273885123758491	0.02557760954401839	-0.3064466223547197	0.6579892936326526	-0.13939793720464155	0.6175280128345348	0.7583026915876724	-0.1004325305600043	0.8392526765725706	0.5350196601105084	0.175617081219832	0.005733871659712911	-0.2700502007631552	0.618154075458136	-0.028936959010742974
T125	-0.22983208660122448	0.23701995772509643	-0.1717964055097974	0.04386665704384451	-0.1273885123758491	1.0	0.16258670583977894	0.2688704483356395	-0.18104853734824955	0.3184424637223341	-0.027255317334193944	-0.18982291466063536	0.23049492187205414	-0.09788108825321858	-0.13426556382470609	0.24944669490149737	0.05511955794565989	0.3422667176136489	-0.20259310792952281	0.1581480140121577
T127	0.059927863697884075	0.5637859463422309	-0.1130075826196564	0.014883786736744758	0.02557760954401839	0.16258670583977894	1.0	0.2615937547080157	-0.044316832661695886	0.5644773089910153	-0.0023729267945128744	0.1854551298734337	0.09206167293180362	0.12451191607022302	-0.11082116527816611	0.39520853087269087	0.14205572349810605	0.22709212512863583	-0.15537667951720707	0.17781056503349785
T131	-0.21842740062938992	0.3200945729839643	-0.29136239410379866	-0.20491855168104928	-0.3064466223547197	0.2688704483356395	0.2615937547080157	1.0	-0.23371574185767433	0.40124456159526184	-0.26035076658195205	-0.24505392620310568	0.14778130576158968	-0.2561239916366859	-0.19919574007847335	0.15357367145072004	0.08804279829315419	0.3503280945170799	-0.2418143811231737	-0.0277738915135133
N135	0.8158568374098614	-0.03136456684549406	0.7891066570666965	0.5111088044719179	0.6579892936326526	-0.18104853734824955	-0.044316832661695886	-0.23371574185767433	1.0	-0.17256118497303727	0.5698281256227791	0.5892012158571225	0.026573802076546603	0.6457849071441527	0.6613270021860548	0.05586846718018704	0.14236951885739635	-0.1295223868282748	0.6319157893379672	0.16161714169641936
T123	-0.1172918131847235	0.518438612417117	-0.275684717626064	-0.08003127162162703	-0.13939793720464155	0.3184424637223341	0.5644773089910153	0.40124456159526184	-0.17256118497303727	1.0	-0.1899317306258819	-0.044628474631439055	0.15443811751971478	-0.02968369270566579	-0.28736463502334586	0.4091690646154766	0.13515166545983165	0.2551643397580712	-0.2827981815908562	0.11632053004391535
