"","ConditionA_rep3","ConditionB_rep3","ConditionC_rep3","ConditionD_rep3","ConditionA_rep2","ConditionB_rep2","ConditionC_rep2","ConditionD_rep2","ConditionA_rep1","ConditionB_rep1","ConditionC_rep1","ConditionD_rep1"
"positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)",0.205403697266563,-0.0617791120239983,0.368322046564808,-0.365036347004654,0.436442821422136,-0.485143382003268,0.310054461074173,-0.35316407599795,0.201569082460367,-0.569491993266383,0.504884355812049,-0.271387069572478
"retinoid metabolic process (GO:0001523)",-0.123290865013851,0.295108014753542,-0.17294937476909,-0.165966512864734,-0.279693994024271,0.286936980921204,0.134023332402471,-0.157725632418248,-0.309953902294125,0.436501585993114,0.211382151948512,-0.459918529170006
"type B pancreatic cell proliferation (GO:0044342)",0.545483259633595,-0.13138140669383,0.37081490840177,-0.380767092933243,-0.954325139973313,0.694492061486601,0.797902970852553,-0.46336070751747,-0.48183482841794,-0.369902730517486,0.692605150257422,0.0289093520911849
"CDP-diacylglycerol metabolic process (GO:0046341)",-0.141077954322373,0.603491312138414,-0.157867574595533,-0.448421370856816,0.0467786156312149,0.144446735157619,0.240525258044123,-0.0358185007091382,-0.327923720139187,0.24611045340059,0.364975002034118,-0.464032311657666
"cellular response to heat (GO:0034605)",-0.0274676070825102,0.00400842550152819,-0.0743878539611767,0.209099873378875,-0.015698829779682,-0.167693952650941,-0.258502851550205,0.361683952124674,0.0963200475003699,0.115621521219335,-0.259755692929565,0.0174157824990908
"definitive hemopoiesis (GO:0060216)",0.455369003061101,0.160761720362024,-0.274225999227215,-0.37562018737907,-0.101229127979447,0.168561242833693,-0.0334055938038641,-0.236766296101887,0.195396173605111,-0.334165962932803,-0.25813298764695,0.216297511713913
"dendrite development (GO:0016358)",0.0947906999637853,0.0800215549709939,-0.0438876219075878,-0.326582205209145,0.404463847324177,-0.272661571732653,-0.0987354173898535,0.369127942623852,-0.107336399111153,0.034745751466085,0.0572513047604155,0.110537987202991
"amino sugar catabolic process (GO:0046348)",-0.237297060850101,-0.0882910212694809,0.374030608766563,0.0445475337283038,-0.482398212343578,-0.457648952635483,0.577382495405785,0.00687162082276541,-0.281816393417552,-0.37663348498387,0.355063916674703,0.229943266607037
"negative regulation of lymphocyte mediated immunity (GO:0002707)",0.181900968817664,-0.0801987316919482,0.16946908774324,-0.205451550914965,0.48439392695981,-0.444322749217976,0.326857306384147,-0.302322323558707,0.553521418324713,-0.394142908319932,0.140337813480562,-0.386271680988943
"regulation of lymphocyte mediated immunity (GO:0002706)",0.153760496753345,0.0879672019931134,0.00349319909127002,-0.305055873511402,0.32293819849413,0.0440987042072067,-0.0737001531180895,-0.262996899694072,0.392031910477144,0.0186929152448162,0.0304996567145117,-0.350456004893262
