Gene	ConditionA_rep2	ConditionB_rep2	ConditionC_rep2	ConditionD_rep2	A-value	Observed Variance	M-value of ConditionA_rep2	z-score of ConditionA_rep2	M-value of ConditionB_rep2	z-score of ConditionB_rep2	M-value of ConditionC_rep2	z-score of ConditionC_rep2	M-value of ConditionD_rep2	z-score of ConditionD_rep2	Estimated Variance	z-transformed of ConditionA_rep2	z-transformed of ConditionB_rep2	z-transformed of ConditionC_rep2	z-transformed of ConditionD_rep2	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2
HBG2	12.799875981492514	14.71600177890135	13.61134217454476	18.363218304201528	14.872609559785037	6.031965102427452	-2.0727335782925227	-0.8439448608007787	-0.15660778088368588	-0.06376522927132719	-1.2612673852402772	-0.5135441134436741	3.490608744416491	1.421254203515782	0.023970856590219178	-13.387568506219841	-1.011513209968136	-8.146393584492785	22.545475300680796	754.9123344497425	2.596162596020331e-163	1.876246708143893e-159
HBG1	11.504386432094053	13.672651871417758	12.022128862016952	16.616445959235016	13.453903281190945	5.3000403561633584	-1.9495168490968915	-0.8468127820796361	0.21874859022681292	0.0950179539878187	-1.4317744191739923	-0.621920697824615	3.162542678044071	1.3737155259164324	0.026464157938326613	-11.983893839775364	1.3446715703396117	-8.801274351558266	19.44049662099402	600.8171922773628	6.702497512558457e-130	2.4219474761629986e-126
HBA1	15.97567155445019	18.983762352740147	16.18250254652855	20.163392451600526	17.826332226329853	4.309538644234031	-1.8506606718796625	-0.891479593182975	1.1574301264102935	0.5575443158804324	-1.6438296798013035	-0.7918472772877161	2.3370602252706725	1.1257825545902587	0.022144498484327334	-12.436376784918753	7.777891092068619	-11.04647955126085	15.704965244110985	583.8297011717046	3.227129021975777e-126	7.774153813939647e-123
HBB	14.534827232072907	18.34303649989652	13.962752718705119	14.813154363569112	15.413442703560914	3.939777493852395	-0.8786154714880077	-0.44265257912715283	2.929593796335606	1.4759497093155423	-1.4506899848557957	-0.7308676937168105	-0.6002883399918026	-0.30242943647157877	0.023405004967684936	-5.743074864880937	19.149305972898276	-9.482443069947173	-3.9237880380701666	504.99166728979645	3.9526865431966704e-109	7.141516411920584e-106
S100A8	14.31715590416386	14.827421009818732	17.109932952111674	17.838689819819063	16.023299921478333	2.9391552018103617	-1.7061440173144735	-0.9951863894959062	-1.1958789116596016	-0.6975509712492526	1.0866330306333403	0.6338283236869717	1.8153898983407295	1.058909037058184	0.022928890830558088	-11.267411727085301	-7.8976100122055595	7.176147868025862	11.988873871264962	384.5570058574206	4.8983811986616735e-83	7.080120184545582e-80
CLC	18.038301759456083	14.86646853304759	15.685056670409503	14.092254024889524	15.670520246950673	2.914674674966346	2.3677815125054096	1.386904577487281	-0.8040517139030836	-0.4709653304830137	0.014536423458830328	0.008514566115525077	-1.5782662220611492	-0.9244538131197881	0.02318612547008822	15.549897636335436	-5.280437312091079	0.0954648457171448	-10.364925169961454	377.12312202310227	1.9956448157479378e-81	2.403754180568391e-78
S100A9	14.346548131354417	14.5499216283573	16.925942245216028	17.69824591084823	15.880164478943993	2.8401987908649615	-1.5336163475895752	-0.9100020279626447	-1.3302428505866928	-0.7893262833428396	1.0457777662720353	0.6205332184946681	1.8180814319042362	1.0787950928108183	0.02302771164594806	-10.106280268614098	-8.766082269844897	6.8915040070105205	11.980858531448499	370.014897858692	6.910420671324908e-80	7.134515741666443e-77
GSTM3	12.79082927833544	16.038555400514024	13.38356096577251	15.964118910450862	14.54426613876821	2.8902198710556886	-1.7534368604327693	-1.0313942138494558	1.4942892617458146	0.8789602483899085	-1.1607051729956996	-0.6827417778347756	1.4198527716826526	0.835175743294322	0.024398841027083475	-11.225495840919287	9.566433939753002	-7.430829923799419	9.089891824965692	355.37178194416543	1.024463614152643e-76	9.254748174351439e-74
PRRC2B	15.260330495822638	12.05798568832277	13.253521539980513	11.59033733314482	13.040543764317686	2.6804439106698985	2.2197867315049518	1.3558382731568934	-0.9825580759949162	-0.6001431696684304	0.21297777566282683	0.1300861093893061	-1.450206431172866	-0.8857812128777713	0.027600778224915926	13.361357596235923	-5.914221229503885	1.281957487308998	-8.729093854041057	291.34438407793084	7.430144753953444e-63	5.966406237424616e-60
DUSP27	11.132758996761227	11.39841076957814	7.238548224585094	6.686902074375093	9.114155016324888	6.234014685842798	2.018603980436339	0.8084761537342019	2.2842557532532517	0.9148730129503739	-1.875606791739794	-0.7512039902823116	-2.4272529419497957	-0.9721451764022639	0.0659564851194973	7.859996876790663	8.894386051136536	-7.3031974909588095	-9.451185436968386	283.55125388572156	3.60916720772914e-61	2.6083451410258495e-58
TNF	12.67882473590516	9.763769836597488	13.618228011179669	11.417519439920257	11.869585505900643	2.7838140345801623	0.8092392300045166	0.4850168404663182	-2.105815669303155	-1.2621188205670415	1.748642505279026	1.048047390152856	-0.4520660659803859	-0.2709454100521315	0.0324879408099083	4.489684627284662	-11.68313137551768	9.701523459909334	-2.5080767116763045	257.062833024906	1.9415763044116592e-55	1.27561563199846e-52
PLG	10.890044126618609	11.461866819885985	13.750978111058947	13.545490584613741	12.412094910544322	2.0989219972482087	-1.5220507839257138	-1.0505845108841054	-0.9502280906583369	-0.6558880455209237	1.3388832005146245	0.9241544153445634	1.133395674069419	0.7823181410604608	0.029860605727640578	-8.808051322438574	-5.498934647209472	7.7480673243155085	6.558918645332495	210.87201141120866	1.8867706998592935e-45	1.1363076539902595e-42
GAL3ST4	11.936766043601315	12.376231013047512	9.36404841511416	9.098963261754813	10.69400218337945	2.8957606782868197	1.2427638602218654	0.7303100584567225	1.6822288296680625	0.9885616039020793	-1.3299537682652893	-0.7815471992186541	-1.5950389216246368	-0.9373244631401466	0.04141863514045463	6.106476971185862	8.265843526218298	-6.53489558121201	-7.837424916192141	209.74331977384188	3.30869644464593e-45	1.8393807081120104e-42
INS	12.887777774969846	15.747168641342734	13.235426507957909	13.290280243594024	13.79016329196613	1.7339285067849552	-0.9023855169962829	-0.6852933587590938	1.9570053493766046	1.4861971338457682	-0.5547367840082202	-0.421280513461274	-0.49988304837210507	-0.379623261625403	0.02570100671999834	-5.628815955282769	12.207224880793534	-3.4602852129114825	-3.118123712599305	202.39617759047852	1.2805594790705094e-43	6.610430968030408e-41
FARP1	5.36171340506269	5.866797157202368	9.64580269387144	10.641553826919582	7.87896677076402	7.046329160965541	-2.51725336570133	-0.9482993803278417	-2.0121696135616522	-0.7580242909411713	1.7668359231074202	0.6656022130521335	2.762587056155562	1.0407214582168796	0.10489765113850451	-7.772201444961802	-6.212718906694138	5.455233430886682	8.52968692076926	201.52012226646696	1.9801587086287233e-43	9.54040465817319e-41
GPR110	8.788890469784734	9.377767803189771	11.479725241979846	12.261266143703361	10.476912414664428	2.749029586764229	-1.6880219448796936	-1.0180951798660909	-1.0991446114746566	-0.6629261155712578	1.0028128273154184	0.6048256119504883	1.7843537290389335	1.0761956834868616	0.043737883358615795	-8.071406259474053	-5.255644172182848	4.795026365638519	8.53202406601839	188.55710718036192	1.251097429976447e-40	5.651050704024865e-38
HPGD	15.00190040232284	14.045379068990973	16.855028518908355	15.616443082577403	15.379687768199894	1.3852621360626411	-0.37778736587705275	-0.3209825686504519	-1.3343086992089201	-1.1336796100907862	1.4753407507084617	1.253505825155633	0.2367553143775094	0.20115635358560363	0.023435936744588885	-2.4677790408935047	-8.715958603711623	9.637206830149262	1.5465308144558547	177.325380823425	3.3345487133279254e-38	1.4175755030129951e-35
LYZ	15.55591004377862	15.412719936122834	17.69812971973172	17.088011274705334	16.438692743584628	1.2799071828237014	-0.8827826998060075	-0.7803053335004302	-1.0259728074617946	-0.9068732926741484	1.259436976147093	1.113235895890563	0.6493185311207057	0.5739427302840124	0.02267978985105335	-5.86184459433392	-6.812654072939038	8.362900442152338	4.311598225120596	169.3014606258695	1.8008113288005304e-36	7.23025748513413e-34
PRTN3	15.433588374552233	14.817325108708035	17.405248499656214	16.375163106055712	16.00783127224305	1.278255804855491	-0.5742428976908158	-0.5079099791148073	-1.190506163535014	-1.052986398418958	1.3974172274131647	1.235996400903234	0.36733183381266343	0.3248999766305298	0.02293922579468792	-3.791458043014018	-7.860356979848776	9.226494237242928	2.4253207856198546	167.17074276562974	5.1931352002307606e-36	1.9753046364246162e-33
TFRC	17.669509409341526	19.390267165188046	16.958297054164294	18.83788497502593	18.21398965092995	1.2153655990100989	-0.544480241588424	-0.4938882052548486	1.1762775142580963	1.0669801142898205	-1.2556925967656554	-1.1390161030621595	0.6238953240959795	0.5659241940271842	0.022051242677089498	-3.6666173579024806	7.921241621012414	-8.456035535943089	4.201411272833132	165.34654533635282	1.2858628586199175e-35	4.646465439623072e-33
AZU1	13.424064177573605	13.598106311314568	14.958480121591746	15.826869552438371	14.451880040729574	1.3108582762776706	-1.0278158631559684	-0.8977128587995179	-0.8537737294150052	-0.7457013292708486	0.5066000808621727	0.44247362116246697	1.3749895117087974	1.2009405669078965	0.02453276786065545	-6.562087870203249	-5.450916292038417	3.234386980039426	8.778617182202218	160.298864407383	1.579914273603783e-34	5.437162121587876e-32
AHSP	14.11490240702295	15.590472531309373	13.855858184974945	16.17620839792424	14.934360380307876	1.2691160029558972	-0.8194579732849263	-0.727404569710264	0.6561121510014978	0.5824081190738221	-1.0785021953329306	-0.9573491880039973	1.2418480176163627	1.1023456386404424	0.023898075523902287	-5.300846406644703	4.244207575466387	-6.976531650270722	8.03317048144906	159.316092421738	2.574665153223446e-34	8.457775028339021e-32
HBZ	9.415770015802615	9.868351042994872	9.427457076133999	12.606856900205774	10.329608758784314	2.3491988948886506	-0.9138387429816994	-0.5962243001307275	-0.46125771578944175	-0.300942656336869	-0.9021516826503149	-0.5885992027925149	2.2772481414214596	1.4857661592601137	0.045464464605409295	-4.285816039312869	-2.163254438236041	-4.23100484750759	10.680075325056517	155.01329985589314	2.183681061756994e-33	6.861505666659912e-31
