Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
IL1RN	69.81531706827565	4.675242131326115e-15	3.586097724412384e-13	37.01764890009497	4.5619869095420606e-08	1.744416899220131e-06	63.81148810619512	9.006449125899442e-14	6.65556868252598e-12	56.88148469152191	3	4.529710754723931e-32	4.057865884440188e-30
VWA5A	18.060213064720376	0.0004274495128211	0.0059483104919147	67.70081530695514	1.3257762211844342e-14	1.0887937216477169e-12	63.741272576705775	9.32328164046536e-14	6.839775603483428e-12	49.83410031612709	3	1.1182561334953296e-27	8.26461173661392e-26
KITLG	54.29267064195814	9.718428431783792e-12	5.324588103082457e-10	18.577946433426582	0.0003342086069422	0.0055781191740691	62.01762195990356	2.1781253346271506e-13	1.5529113301243148e-11	44.96274634509609	3	1.1690542616185001e-24	7.59564101298833e-23
CNTN1	40.55520910337174	8.125493167624146e-09	2.984951283186985e-07				64.44435238748838	6.594896138988255e-14	4.945683593416081e-12	52.49978074543006	2	2.267047587224932e-20	1.2075602576096764e-18
FERMT2	43.99713032272955	1.5113021860165492e-09	6.300158851968122e-08	13.012658663190392	0.004609310169985	0.0493503475533068	33.6627623963462	2.3340443620713215e-07	7.384332850503144e-06	30.224183794088717	3	1.1931324560578436e-15	4.8819347034200697e-14
HP	36.12453896542937	7.047836546374886e-08	2.267605933108805e-06	28.632405895255967	2.67524783727017e-06	7.407669011475678e-05	16.73670974271505	0.0008005503719533	0.0109523945481827	27.1645515344668	3	8.157008440456269e-14	2.8537462961063723e-12
VTCN1	69.06276134459021	6.775340767464157e-15	5.115115533735932e-13	3.2643292291788986	0.3526382885178356	0.8306769592954362				36.16354528688456	2	1.361101305554097e-13	4.6117544235464746e-12
NFATC2	6.540653308429147	0.0880729521272388	0.3962662904720627	3.955043730839809	0.2663596934167871	0.7438104730769401	43.9472787964594	1.548605333025382e-09	6.968035729577322e-08	18.147658611909453	3	1.5549206799265403e-08	3.248575448786456e-07
TTR	7.310047718928622	0.0626453551051011	0.3189822967327189				34.025055544410435	1.95720433486361e-07	6.250705579230026e-06	20.66755163166953	2	2.487196635075025e-07	4.51783413360402e-06
CTSH	26.239930065925098	8.495466802141714e-06	0.0001814132198194	5.608880603043166	0.1322694607571295	0.5220706678819089	15.989266631680206	0.0011397445645787	0.0148122900793259	15.94602576688282	3	2.7383091443516184e-07	4.92853967000881e-06
