	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	hormone binding (GO:0042562)	3/33	TTR,CTSH,THRA	0.00011171186686076736	0.015527949493646663	0.015527949493646663
1	glycoprotein binding (GO:0001948)	3/58	AGR2,SDCBP,CNTN1	0.0006015195079859038	0.08361121161004062	0.04180560580502031
2	cytokine receptor binding (GO:0005126)	3/114	KITLG,IL1RN,SDCBP	0.004200977210481628	0.5839358322569462	0.19464527741898208
3	monocarboxylic acid binding (GO:0033293)	2/36	PC,FABP3	0.004755239020616358	0.6609782238656737	0.16524455596641843
4	carboxylic acid binding (GO:0031406)	3/135	PC,ALKBH3,FABP3	0.00672412956976177	0.934654010196886	0.1869308020393772
5	organic acid binding (GO:0043177)	3/136	PC,ALKBH3,FABP3	0.006862404024835961	0.9538741594521987	0.15897902657536644
6	receptor antagonist activity (GO:0048019)	1/3	IL1RN	0.008601740515529331	1.0	0.17080599023693957
7	vitamin binding (GO:0019842)	2/53	PC,ALKBH3	0.010088809510808249	1.0	0.1752930652502933
8	receptor inhibitor activity (GO:0030547)	1/4	IL1RN	0.01145299587185415	1.0	0.1591966426187727
9	MHC class I receptor activity (GO:0032393)	1/4	CTSH	0.01145299587185415	1.0	0.1591966426187727
10	thyroid hormone receptor activity (GO:0004887)	1/4	THRA	0.01145299587185415	1.0	0.1591966426187727
11	growth factor receptor binding (GO:0070851)	2/67	IL1RN,SDCBP	0.015787155656300476	1.0	0.18286788635214718
12	serine-type endopeptidase activity (GO:0004252)	2/68	CTSH,HP	0.0162365236571378	1.0	0.17360590679555032
13	growth factor binding (GO:0019838)	2/69	IL1RN,SDCBP	0.01669135730602476	1.0	0.16000680451982355
14	hydrogen ion transmembrane transporter activity (GO:0015078)	2/69	ATP6V0A1,ATP6V0D1	0.01669135730602476	1.0	0.16000680451982355
15	fatty acid transporter activity (GO:0015245)	1/6	FABP3	0.0171316490810072	1.0	0.14883120139125006
16	cAMP-dependent protein kinase inhibitor activity (GO:0004862)	1/7	PKIB	0.019959089975435305	1.0	0.16319491215208864
17	IgG binding (GO:0019864)	1/8	FCGRT	0.022778635663439628	1.0	0.17590168651211713
18	serine-type peptidase activity (GO:0008236)	2/84	CTSH,HP	0.0241474920173678	1.0	0.17665796791653285
19	serine hydrolase activity (GO:0017171)	2/86	CTSH,HP	0.02522813488552709	1.0	0.17533553745441327
20	RAGE receptor binding (GO:0050786)	1/9	S100A4	0.025590307524947876	1.0	0.16168421572580705
21	neurexin family protein binding (GO:0042043)	1/9	SDCBP	0.025590307524947876	1.0	0.16168421572580705
22	long-chain fatty acid binding (GO:0036041)	1/9	FABP3	0.025590307524947876	1.0	0.16168421572580705
23	interleukin-1 receptor binding (GO:0005149)	1/11	IL1RN	0.03119011500787163	1.0	0.1806427494205899
24	G-protein coupled receptor binding (GO:0001664)	2/99	PSAP,SDCBP	0.03271806901446596	1.0	0.17834555266708896
25	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	2/99	ALKBH3,HMOX1	0.03271806901446596	1.0	0.17834555266708896
26	ferrous iron binding (GO:0008198)	1/13	ALKBH3	0.03675868234435822	1.0	0.18248060163806404
27	immunoglobulin binding (GO:0019865)	1/13	FCGRT	0.03675868234435822	1.0	0.18248060163806404
28	frizzled binding (GO:0005109)	1/13	SDCBP	0.03675868234435822	1.0	0.18248060163806404
29	ephrin receptor binding (GO:0046875)	1/15	SDCBP	0.0422961785639115	1.0	0.1866402800121809
30	hydrogen-exporting ATPase activity (GO:0036442)	1/15	ATP6V0D1	0.0422961785639115	1.0	0.1866402800121809
31	cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	1/15	CTSH	0.0422961785639115	1.0	0.1866402800121809
32	L-ascorbic acid binding (GO:0031418)	1/15	ALKBH3	0.0422961785639115	1.0	0.1866402800121809
33	peptidase activator activity involved in apoptotic process (GO:0016505)	1/17	CTSH	0.04780277180990575	1.0	0.19259667482831588
34	cytoskeletal adaptor activity (GO:0008093)	1/17	SDCBP	0.04780277180990575	1.0	0.19259667482831588
35	TBP-class protein binding (GO:0017025)	1/18	THRA	0.05054453212142871	1.0	0.18988351256428623
36	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)	1/18	ATP6V0D1	0.05054453212142871	1.0	0.18988351256428623
37	fatty acid binding (GO:0005504)	1/18	FABP3	0.05054453212142871	1.0	0.18988351256428623
38	direct ligand regulated sequence-specific DNA binding transcription factor activity (GO:0098531)	1/21	THRA	0.058723917551023956	1.0	0.20406561348980826
39	ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity (GO:0004879)	1/21	THRA	0.058723917551023956	1.0	0.20406561348980826
40	receptor regulator activity (GO:0030545)	1/21	IL1RN	0.058723917551023956	1.0	0.20406561348980826
41	enzyme activator activity (GO:0008047)	3/314	PSAP,CTSH,RGS22	0.060599949682659894	1.0	0.20055697633070776
42	steroid hormone receptor activity (GO:0003707)	1/22	THRA	0.06143514991321178	1.0	0.19631001926290662
43	protein serine/threonine kinase inhibitor activity (GO:0030291)	1/22	PKIB	0.06143514991321178	1.0	0.19631001926290662
44	cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	1/23	CDK16	0.06413880194260689	1.0	0.1959405158246672
45	cyclin-dependent protein kinase activity (GO:0097472)	1/23	CDK16	0.06413880194260689	1.0	0.1959405158246672
46	phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	1/27	FERMT2	0.07487801699023243	1.0	0.22144775237536826
47	aminopeptidase activity (GO:0004177)	1/28	CTSH	0.07754407457815692	1.0	0.2222397188940992
48	cysteine-type endopeptidase regulator activity involved in apoptotic process (GO:0043028)	1/28	CTSH	0.07754407457815692	1.0	0.2222397188940992
49	peptidase activator activity (GO:0016504)	1/30	CTSH	0.0828538365260038	1.0	0.22581731915910838
50	protein self-association (GO:0043621)	1/30	CTSH	0.0828538365260038	1.0	0.22581731915910838
51	hormone activity (GO:0005179)	1/30	TTR	0.0828538365260038	1.0	0.22581731915910838
52	carbohydrate binding (GO:0030246)	2/170	ALKBH3,CNTN1	0.08547504439580597	1.0	0.2241703994531515
53	ATPase binding (GO:0051117)	1/31	ATP6V0A1	0.08549758129566172	1.0	0.2200771074092033
54	monovalent inorganic cation transmembrane transporter activity (GO:0015077)	2/173	ATP6V0A1,ATP6V0D1	0.08806323706543817	1.0	0.22255981731083466
55	calcium-dependent protein binding (GO:0048306)	1/36	S100A4	0.098605746527455	1.0	0.24475354941636152
56	sequence-specific DNA binding RNA polymerase II transcription factor activity (GO:0000981)	2/189	THRA,NFATC2	0.10225458593704215	1.0	0.24935767447805016
57	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription (GO:0001078)	1/38	NFATC2	0.1037977910725772	1.0	0.24875677515669364
58	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)	1/40	ALKBH3	0.10896080403813674	1.0	0.254547088425227
59	protein kinase inhibitor activity (GO:0004860)	1/40	PKIB	0.10896080403813674	1.0	0.254547088425227
60	kinase inhibitor activity (GO:0019210)	1/41	PKIB	0.11153147291066143	1.0	0.2541454874521629
61	single-stranded RNA binding (GO:0003727)	1/44	THRA	0.1192003641596868	1.0	0.26723952609994295
62	cytokine binding (GO:0019955)	1/45	IL1RN	0.12174235445071235	1.0	0.26860614712141295
63	endopeptidase activity (GO:0004175)	2/210	CTSH,HP	0.12176720085628434	1.0	0.2644631393597425
64	cation-transporting ATPase activity (GO:0019829)	1/46	ATP6V0D1	0.12427722371630458	1.0	0.2657620630240975
