	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	spherical high-density lipoprotein particle (GO:0034366)	1/4	CLU	0.011788352331570252	0.7308778445573556	0.7308778445573556
1	extracellular matrix (GO:0031012)	3/164	SERPINE2,CLU,FLRT2	0.012385222895081538	0.7678838194950554	0.3839419097475277
2	platelet alpha granule (GO:0031091)	1/9	SERPINE2	0.026334068633613438	1.0	0.544237418428011
3	endoplasmic reticulum lumen (GO:0005788)	2/94	ARSH,ERAP2	0.0313859590250956	1.0	0.4864823648889818
4	high-density lipoprotein particle (GO:0034364)	1/11	CLU	0.03209393221887266	1.0	0.397964759514021
5	Ino80 complex (GO:0031011)	1/14	INO80B	0.04067171274856746	1.0	0.3879455677555665
6	DNA helicase complex (GO:0033202)	1/14	INO80B	0.04067171274856746	1.0	0.3879455677555665
7	external side of plasma membrane (GO:0009897)	2/112	TNFRSF18,FCER1A	0.04318820067804725	1.0	0.3347085552548662
8	perinuclear region of cytoplasm (GO:0048471)	3/297	CSF1,CLU,TPD52	0.05688191250322432	1.0	0.391853175022212
9	INO80-type complex (GO:0097346)	1/20	INO80B	0.05760629689507571	1.0	0.35715904074946936
10	integral component of plasma membrane (GO:0005887)	4/501	FLRT2,MST1R,TNFRSF18,FCER1A	0.059157368928915245	1.0	0.3334324430538859
11	plasma lipoprotein particle (GO:0034358)	1/21	CLU	0.060400348534946316	1.0	0.312068467430556
12	immunological synapse (GO:0001772)	1/22	PRKCQ	0.06318635224566106	1.0	0.3013502953254604
13	protein-lipid complex (GO:0032994)	1/23	CLU	0.06596433052841984	1.0	0.29212774948300213
14	side of membrane (GO:0098552)	2/148	TNFRSF18,FCER1A	0.07078628030109989	1.0	0.2925832919112129
15	extracellular space (GO:0005615)	4/549	CSF1,SERPINE2,CLU,FLRT2	0.07734329012646196	1.0	0.2997052492400401
16	neuromuscular junction (GO:0031594)	1/29	SERPINE2	0.08246491863800699	1.0	0.30075440915037843
17	adherens junction (GO:0005912)	3/353	PDLIM1,DLG5,FLRT2	0.08563440447112958	1.0	0.29496294873389073
18	anchoring junction (GO:0070161)	3/364	PDLIM1,DLG5,FLRT2	0.09190297858391978	1.0	0.2998939301159487
19	platelet alpha granule lumen (GO:0031093)	1/35	CLU	0.09868219417850008	1.0	0.30591480195335025
20	inclusion body (GO:0016234)	1/38	CLU	0.10668606890645396	1.0	0.31497791772381645
21	cell-cell adherens junction (GO:0005913)	1/39	DLG5	0.10933865120799591	1.0	0.30813619885889754
22	endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	1/41	MAN1A1	0.11462088090071	1.0	0.3024040262061285
23	secretory granule lumen (GO:0034774)	1/41	CLU	0.11462088090071	1.0	0.3024040262061285
24	extrinsic component of plasma membrane (GO:0019897)	1/44	SERPINE2	0.1224872087001816	1.0	0.30376827757645036
25	actin filament bundle (GO:0032432)	1/45	MST1R	0.12509419857332432	1.0	0.2926732193036267
26	stress fiber (GO:0001725)	1/45	MST1R	0.12509419857332432	1.0	0.2926732193036267
27	lysosomal lumen (GO:0043202)	1/46	TXNDC5	0.1276936640274783	1.0	0.28275025606084486
28	sarcolemma (GO:0042383)	1/47	SGCG	0.13028562614302622	1.0	0.27854168347819397
29	vacuolar lumen (GO:0005775)	1/49	TXNDC5	0.1354471243936151	1.0	0.27992405708013784
30	actomyosin (GO:0042641)	1/53	MST1R	0.1456810020294601	1.0	0.28225694143207897
31	vesicle lumen (GO:0031983)	1/53	CLU	0.1456810020294601	1.0	0.28225694143207897
32	cytoplasmic membrane-bounded vesicle lumen (GO:0060205)	1/53	CLU	0.1456810020294601	1.0	0.28225694143207897
33	SWI/SNF superfamily-type complex (GO:0070603)	1/61	INO80B	0.165796914837542	1.0	0.302335550586106
34	postsynaptic density (GO:0014069)	1/62	SOS1	0.16827881793008578	1.0	0.29809390604758057
35	cell surface (GO:0009986)	2/264	MST1R,FCER1A	0.18349981258112036	1.0	0.31602745500081836
36	blood microparticle (GO:0072562)	1/77	CLU	0.20465768756568545	1.0	0.3429399088938513
37	extracellular region (GO:0005576)	3/548	SERPINE2,CLU,TNFRSF18	0.21975464140907391	1.0	0.35854704650954167
38	extrinsic component of membrane (GO:0019898)	1/88	SERPINE2	0.23034823740065702	1.0	0.3661946338164291
39	focal adhesion (GO:0005925)	2/309	PDLIM1,FLRT2	0.23235730614427264	1.0	0.36015382452362255
40	cell-substrate adherens junction (GO:0005924)	2/312	PDLIM1,FLRT2	0.23565638743384706	1.0	0.35635843953411017
41	cell-substrate junction (GO:0030055)	2/316	PDLIM1,FLRT2	0.24006034447415167	1.0	0.3543747942237477
42	proteinaceous extracellular matrix (GO:0005578)	1/98	FLRT2	0.25300245017563316	1.0	0.3647942304857967
43	secretory granule (GO:0030141)	1/105	SERPINE2	0.2684735744696938	1.0	0.3783036731163867
44	synapse (GO:0045202)	1/139	SERPINE2	0.3392986343736926	1.0	0.4674781184704209
45	dendrite (GO:0030425)	1/143	CLU	0.3471794521044681	1.0	0.4679375224016744
46	extracellular vesicular exosome (GO:0070062)	7/1992	CADM4,KALRN,TXNDC5,MAN1A1,CLU,FLRT2,CSF1	0.3748463608552859	1.0	0.4944781781495261
47	receptor complex (GO:0043235)	1/158	CSF1	0.375927308265362	1.0	0.4855727731760926
48	actin cytoskeleton (GO:0015629)	1/161	KALRN	0.38152744845267567	1.0	0.482749016409508
49	neuronal cell body (GO:0043025)	1/170	SOS1	0.3980365402299977	1.0	0.49356530988519715
50	transcription factor complex (GO:0005667)	1/178	PDLIM1	0.41235128985663805	1.0	0.5012898033551286
51	cell body (GO:0044297)	1/209	SOS1	0.4647620036760127	1.0	0.5541393120752459
52	vacuolar part (GO:0044437)	1/225	TXNDC5	0.4900064339722211	1.0	0.573215073703353
53	cell-cell junction (GO:0005911)	1/229	DLG5	0.4961345165098868	1.0	0.5696359263632034
54	synapse part (GO:0044456)	1/231	SOS1	0.4991716734524485	1.0	0.5627026137100328
55	Golgi membrane (GO:0000139)	1/233	MAN1A1	0.5021910432779847	1.0	0.5559972264863402
56	cytoplasmic vesicle part (GO:0044433)	1/271	CLU	0.556310735129761	1.0	0.6051099224218454
57	nuclear chromosome part (GO:0044454)	1/272	INO80B	0.5576547825826307	1.0	0.5961137331055707
58	cytoplasmic membrane-bounded vesicle (GO:0016023)	1/338	SERPINE2	0.638134452076597	1.0	0.6705819665889663
59	intracellular (GO:0005622)	1/371	SOS1	0.6728463157613391	1.0	0.695274526286717
60	mitochondrion (GO:0005739)	2/1047	ISCA1,CLU	0.8289274014681638	1.0	0.8425163752627238
61	cytosol (GO:0005829)	4/2127	KALRN,PRKCQ,SERPINE2,SOS1	0.8974084105249235	1.0	0.8974084105249235
