	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	ECM-receptor interaction_Homo sapiens_hsa04512	9/55	VWF,ITGB3,ITGA6,GP6,THBS1,GP1BA,GP9,GP1BB,ITGA2B	3.900064011117546e-09	5.070083214452811e-07	5.070083214452811e-07
1	Platelet activation_Homo sapiens_hsa04611	9/106	VWF,ITGB3,ADCY8,TBXAS1,GP6,GP1BA,GP9,GP1BB,ITGA2B	1.3018352815852108e-06	0.0001692385866060774	8.46192933030387e-05
2	Hematopoietic cell lineage_Homo sapiens_hsa04640	7/59	ITGB3,ITGA6,GP1BA,GP9,CD9,GP1BB,ITGA2B	2.1663853832131564e-06	0.00028163009981771036	9.387669993923677e-05
3	Dilated cardiomyopathy_Homo sapiens_hsa05414	5/56	ITGB3,ITGA6,ADCY8,TGFB1,ITGA2B	0.0002599450717119105	0.033792859322548364	0.008448214830637091
4	ABC transporters_Homo sapiens_hsa02010	4/36	ABCB6,ABCC4,CFTR,ABCC9	0.0004770311582938735	0.062014050578203556	0.01240281011564071
5	PI3K-Akt signaling pathway_Homo sapiens_hsa04151	8/209	VWF,ITGB3,ITGA6,CDK6,RBL2,THBS1,BCL2L1,ITGA2B	0.0013588209321963986	0.17664672118553182	0.029441120197588638
6	Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	4/53	TGFB1,ITGB3,ITGA6,ITGA2B	0.0020747262088657674	0.26971440715254974	0.03853062959322139
7	Arachidonic acid metabolism_Homo sapiens_hsa00590	3/33	TBXAS1,AKR1C3,CBR1	0.004558552910215456	0.5926118783280093	0.07407648479100117
8	Small cell lung cancer_Homo sapiens_hsa05222	4/70	CDK6,BCL2L1,ITGA2B,ITGA6	0.005687568083355727	0.7393838508362446	0.08215376120402718
9	Bile secretion_Homo sapiens_hsa04976	3/39	ABCC4,ADCY8,CFTR	0.007303974605441873	0.9495166987074435	0.09495166987074435
10	Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	3/47	ITGB3,ITGA6,ITGA2B	0.012216343398437243	1.0	0.1443749674360765
11	p53 signaling pathway_Homo sapiens_hsa04115	3/49	CDK6,THBS1,BAI1	0.013677752613192139	1.0	0.14817565330958152
12	Focal adhesion_Homo sapiens_hsa04510	5/145	VWF,ITGB3,ITGA6,THBS1,ITGA2B	0.016539579445721347	1.0	0.16539579445721347
