	pathway	overlap	gene list	pvalue	padjust_by_bonferroni	padjust_by_BH
0	eosinophil chemotaxis (GO:0048245)	2/2	SCG2,LGALS3	2.6176737320017054e-05	0.022145519772734427	0.022145519772734427
1	eosinophil migration (GO:0072677)	2/3	SCG2,LGALS3	7.826895381882121e-05	0.06621553493072274	0.03310776746536137
2	myeloid leukocyte migration (GO:0097529)	4/47	PDE4B,SCG2,KIT,LGALS3	9.683911480581263e-05	0.08192589112571748	0.02730863037523916
3	leukocyte chemotaxis (GO:0030595)	4/58	PDE4B,SCG2,KIT,LGALS3	0.00022080254162969694	0.18679895021872361	0.046699737554680903
4	glycosphingolipid biosynthetic process (GO:0006688)	2/6	UGCG,A4GALT	0.00038745466249260805	0.3277866444687464	0.06555732889374928
5	granulocyte chemotaxis (GO:0071621)	3/35	PDE4B,SCG2,LGALS3	0.0007600860944583905	0.6430328359117984	0.10717213931863308
6	taxis (GO:0042330)	5/145	PLA2G6,SCG2,LGALS3,PDE4B,KIT	0.0008864331901421171	0.749922478860231	0.0999896638480308
7	chemotaxis (GO:0006935)	5/145	PLA2G6,SCG2,LGALS3,PDE4B,KIT	0.0008864331901421171	0.749922478860231	0.0999896638480308
8	granulocyte migration (GO:0097530)	3/37	PDE4B,SCG2,LGALS3	0.0008957592354057156	0.7578123131532354	0.08420136812813726
9	cell chemotaxis (GO:0060326)	4/84	PDE4B,SCG2,KIT,LGALS3	0.0009087549453659085	0.7688066837795586	0.07321968416948177
10	regulation of ion transmembrane transporter activity (GO:0032412)	4/84	PDE4B,PLA2G6,KCNAB1,UTRN	0.0009087549453659085	0.7688066837795586	0.07321968416948177
11	regulation of metal ion transport (GO:0010959)	5/147	KCNAB1,PLA2G6,LGALS3,UTRN,PDE4B	0.0009427504142408466	0.7975668504477562	0.06646390420397968
12	regulation of transmembrane transporter activity (GO:0022898)	4/87	PDE4B,PLA2G6,KCNAB1,UTRN	0.001036360884793703	0.8767613085354727	0.06744317757965175
13	glycosphingolipid metabolic process (GO:0006687)	3/43	A4GALT,UGCG,KIT	0.0013918078730365989	1.0	0.08410496147064019
14	regulation of transporter activity (GO:0032409)	4/95	PDE4B,PLA2G6,KCNAB1,UTRN	0.001437487433744049	1.0	0.08107429126316436
15	regulation of ion transmembrane transport (GO:0034765)	5/178	KCNAB1,PLA2G6,LGALS3,UTRN,PDE4B	0.0021994827576801487	1.0	0.11629765081233787
16	regulation of transmembrane transport (GO:0034762)	5/187	KCNAB1,PLA2G6,LGALS3,UTRN,PDE4B	0.0027246043350511824	1.0	0.1355891333796059
17	glycolipid metabolic process (GO:0006664)	3/60	A4GALT,UGCG,KIT	0.0036268941599225876	1.0	0.1704640255163616
18	positive chemotaxis (GO:0050918)	2/18	SCG2,LGALS3	0.003797632883299166	1.0	0.16909460101426813
19	positive regulation of lipid metabolic process (GO:0045834)	3/63	CTDNEP1,PLA2G6,KIT	0.004163080956641654	1.0	0.17609832446594198
20	leukocyte degranulation (GO:0043299)	2/19	PI4K2A,KIT	0.004230373328954845	1.0	0.1704236112521809
21	liposaccharide metabolic process (GO:1903509)	3/65	A4GALT,UGCG,KIT	0.004545911713969475	1.0	0.17481096863718984
22	glycolipid biosynthetic process (GO:0009247)	2/20	UGCG,A4GALT	0.004684872163291568	1.0	0.17232181957150725
23	glycerolipid biosynthetic process (GO:0045017)	4/151	HSD17B12,PI4K2A,PLA2G6,SLC44A2	0.007588223391094884	1.0	0.26748487453609465
24	regulated secretory pathway (GO:0045055)	2/26	PI4K2A,KIT	0.007856115414657106	1.0	0.26585094563199646
25	leukocyte migration (GO:0050900)	4/153	PDE4B,SCG2,KIT,LGALS3	0.007941857016397989	1.0	0.2584158090720269
26	lipid biosynthetic process (GO:0008610)	6/341	SLC44A2,PLA2G6,UGCG,HSD17B12,PI4K2A,A4GALT	0.008053679574990584	1.0	0.25234862668303826
27	sphingolipid metabolic process (GO:0006665)	3/83	A4GALT,UGCG,KIT	0.008956328668040886	1.0	0.2706090733272353
28	positive regulation of lipid biosynthetic process (GO:0046889)	2/29	CTDNEP1,PLA2G6	0.009717348944102564	1.0	0.2834785243693369
29	myeloid cell activation involved in immune response (GO:0002275)	2/30	PI4K2A,KIT	0.010377143763969919	1.0	0.2926354541439517
30	neutrophil chemotaxis (GO:0030593)	2/32	PDE4B,LGALS3	0.011754535242566158	1.0	0.32078505855519257
31	regulation of calcium ion transmembrane transport (GO:1903169)	2/33	PDE4B,PLA2G6	0.012471712969464584	1.0	0.3197293688535466
32	neutrophil migration (GO:1990266)	2/33	PDE4B,LGALS3	0.012471712969464584	1.0	0.3197293688535466
33	regulation of calcium ion transmembrane transporter activity (GO:1901019)	2/33	PDE4B,PLA2G6	0.012471712969464584	1.0	0.3197293688535466
34	plasma membrane organization (GO:0007009)	3/94	DENND4C,A4GALT,FCHO2	0.012555283381946222	1.0	0.3034791354607572
35	secretion by cell (GO:0032940)	5/272	NLRC4,SCG2,PI4K2A,KIT,ALB	0.012944674897560729	1.0	0.30419986009267713
36	regulation of calcium ion transport (GO:0051924)	3/99	PDE4B,PLA2G6,LGALS3	0.014427758552104044	1.0	0.32988874959675735
37	sphingolipid biosynthetic process (GO:0030148)	2/36	UGCG,A4GALT	0.014734693733059547	1.0	0.32804081310969413
38	nephron tubule formation (GO:0072079)	1/3	SIX1	0.015397287520704645	1.0	0.3297748162662311
39	negative regulation of synaptic transmission, glutamatergic (GO:0051967)	1/3	PLA2G6	0.015397287520704645	1.0	0.3297748162662311
40	membrane lipid metabolic process (GO:0006643)	3/102	A4GALT,UGCG,KIT	0.015623349164598233	1.0	0.3223744730061001
41	regulation of cation channel activity (GO:2001257)	2/39	PDE4B,PLA2G6	0.01716057900800121	1.0	0.3456630914468815
42	phosphatidylcholine metabolic process (GO:0046470)	2/40	PLA2G6,SLC44A2	0.01800447462753983	1.0	0.3542275705790394
43	epithelial cell migration (GO:0010631)	2/42	SCG2,KIT	0.01974398658178533	1.0	0.37962301473159976
44	regulation of secondary heart field cardioblast proliferation (GO:0003266)	1/4	SIX1	0.020477710922940897	1.0	0.3647188092801684
45	regulation of cardioblast proliferation (GO:0003264)	1/4	SIX1	0.020477710922940897	1.0	0.3647188092801684
46	regulation of circadian sleep/wake cycle, sleep (GO:0045187)	1/4	ALB	0.020477710922940897	1.0	0.3647188092801684
47	opioid receptor signaling pathway (GO:0038003)	1/4	NPBWR2	0.020477710922940897	1.0	0.3647188092801684
48	positive regulation of circadian rhythm (GO:0042753)	1/4	ALB	0.020477710922940897	1.0	0.3647188092801684
49	regulation of circadian sleep/wake cycle (GO:0042749)	1/4	ALB	0.020477710922940897	1.0	0.3647188092801684
50	protein secretion (GO:0009306)	2/46	NLRC4,SCG2	0.023424490991623373	1.0	0.38857096821398773
51	learning or memory (GO:0007611)	3/122	PLA2G6,KIT,KCNAB1	0.024993894928699238	1.0	0.4066314444169145
52	positive regulation of protein kinase C signaling (GO:0090037)	1/5	PLA2G6	0.025532347555518566	1.0	0.3891957843597965
53	positive regulation of pseudopodium assembly (GO:0031274)	1/5	KIT	0.025532347555518566	1.0	0.3891957843597965
54	neuron fate specification (GO:0048665)	1/5	SIX1	0.025532347555518566	1.0	0.3891957843597965
55	response to mercury ion (GO:0046689)	1/5	ALB	0.025532347555518566	1.0	0.3891957843597965
56	regulation of pseudopodium assembly (GO:0031272)	1/5	KIT	0.025532347555518566	1.0	0.3891957843597965
57	generation of neurons (GO:0048699)	1/5	SIX1	0.025532347555518566	1.0	0.3891957843597965
58	glycerolipid metabolic process (GO:0046486)	4/218	HSD17B12,PI4K2A,PLA2G6,SLC44A2	0.025892051264487733	1.0	0.3712656842331631
59	membrane lipid biosynthetic process (GO:0046467)	2/50	UGCG,A4GALT	0.027363561155541654	1.0	0.3858262122931373
60	regulation of mononuclear cell migration (GO:0071675)	1/6	LGALS3	0.030561326134123764	1.0	0.3802188516098339
61	regulation of relaxation of muscle (GO:1901077)	1/6	PDE4B	0.030561326134123764	1.0	0.3802188516098339
62	sodium-independent organic anion transport (GO:0043252)	1/6	ALB	0.030561326134123764	1.0	0.3802188516098339
63	positive regulation of icosanoid secretion (GO:0032305)	1/6	PLA2G6	0.030561326134123764	1.0	0.3802188516098339
64	circadian sleep/wake cycle process (GO:0022410)	1/6	ALB	0.030561326134123764	1.0	0.3802188516098339
