Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
S100A9	-12.198107191394495	-10.106280268614098	-10.237242439769425	-9.370792912192034	-8.766082269844897	-8.561759629396347	8.411880396459077	6.8915040070105205	7.082717188331808	13.157019707127455	11.9808585314485	11.716284880833964
S100A8	-11.519530003230262	-11.2674117270853	-10.42275547840694	-7.988789147994929	-7.897610012205559	-7.907282307083901	7.50347117922797	7.176147868025862	6.763341885701212	12.004847971997188	11.988873871264962	11.566695899789671
CLC	15.575872773297426	15.549897636335436	15.287544314283243	-5.188783333840489	-5.280437312091079	-5.697562067520517	1.0878443030593523	0.0954648457171448	1.1239058399112003	-11.474933742516312	-10.364925169961454	-10.713888086673972
PRRC2B	10.10696324046792	13.361357596235925	15.678514581015191	-3.255494041259645	-5.914221229503885	-4.131473314573082	0.5672494062715422	1.281957487308998	0.4472450418666441	-7.418718605479828	-8.729093854041057	-11.994286308308777
PRG2	6.64586164872974	7.451962173738506	6.400122571505379	-5.106547618764187	-5.926736437608226	-5.184850454663978	2.329210609594957	2.8355287659647463	2.6015063121942514	-3.868524639560489	-4.360754502095027	-3.8167784290355855
SRGN	8.098342933233347	6.775025847273979	7.622327465477984	-4.006628231206653	-3.951536188844257	-3.077490075912348	0.3808811257671121	0.4996056576848655	0.6622752004585045	-4.472595827793795	-3.323095316114577	-5.2071125900240975
EPX	5.9294075269941535	6.204528051403792	5.479451567817089	-4.249435516577362	-5.081344282591444	-4.367052447900203	2.664390689310953	2.697792914833013	2.5757531412456736	-4.344362699727722	-3.8209766836453496	-3.688152261162515
PHGDH	4.476834185859203	5.218920363933044	3.889828659200115	-4.372765320456961	-5.511210352928873	-4.159419787040262	3.982698964766605	4.341755995403369	3.2828534844876764	-4.086767830168879	-4.049466006407539	-3.013262356647496
HLA-DRB3	9.129018620824992		9.377476370189568	0.3072679572729893		-1.135904092249791	-2.3255993440999583		-2.442146793549112	-7.110687233998006		-5.799425484390635
SGSM1	6.295547480586502	6.455926032105129	7.102489809198227	0.1469698164989606	-0.1869891835572898	0.1349799056415984	-0.7163800262367899	-0.2747787898688608	-1.4110165253548297	-5.726137270848683	-5.994158058678978	-5.826453189484966
