	log(HR)	log(HR) lower 95%	log(HR) upper 95%	pvalue	BH-corrected pvalue	prognostic association
AGXT2	-0.15728931460505652	-0.305046845423692	-0.009531783786421083	0.03694235631408042	0.1782991461347504	not prognostic
LGALS4	-0.025623500914106773	-0.09634963425887529	0.045102632430661746	0.47765517511884736	0.7153641322915758	not prognostic
AKR1C2	-0.09822532550829237	-0.17408396937588264	-0.022366681640702102	0.011153476574997483	0.09429374483092773	not prognostic
TUBAL3	-0.014346993665604381	-0.09683203953888625	0.06813805220767749	0.7331748604913526	0.8750985903185015	not prognostic
AKR1B10	-0.03254394580714911	-0.09341436613195742	0.028326474517659204	0.29469340099855673	0.5687411121233193	not prognostic
HLA-B	-0.04378052976344826	-0.11034159160871472	0.022780532081818197	0.19734036308682432	0.4562986236354179	not prognostic
HKDC1	-0.07022779846886476	-0.16285233143832384	0.022396734500594317	0.13726798497368037	0.3744546829583669	not prognostic
TUBB8	0.11111276502967438	-0.02200435385486646	0.2442298839142152	0.10184365763813548	0.3175918728088565	not prognostic
CEL	-0.022650067381295685	-0.08495500793274496	0.0396548731701536	0.4761448174680407	0.7139381260745886	not prognostic
MX1	0.0042885890147937875	-0.09434744081640488	0.10292461884599245	0.9320887672160957	0.9737445429271534	not prognostic
TXN	0.024075025226226697	-0.06665430413827214	0.11480435459072552	0.6030103312584787	0.8027883265066409	not prognostic
LIN28B	0.015051504582318655	-0.06879035989506185	0.09889336905969917	0.7249449720166479	0.8706146659242183	not prognostic
HEPACAM	-0.0460111573277649	-0.16647289924534175	0.07445058458981196	0.4540855632956765	0.6973289962583519	not prognostic
CRYAB	0.06117349027437827	-0.031926429488475155	0.1542734100372317	0.1978015263730154	0.4570108556432534	not prognostic
CRP	0.04048927064840402	-0.024682709032949363	0.1056612503297574	0.22335203999490066	0.48808172176576653	not prognostic
PEG10	0.031200032646009915	-0.07511151673686645	0.13751158202888628	0.5651526263953772	0.7765210963962266	not prognostic
UBD	-0.035677296097267906	-0.1424633645109561	0.07110877231642027	0.5125802628010674	0.7386336862800509	not prognostic
UCHL1	0.049617814783719225	-0.0163182029349713	0.11555383250240975	0.14023903300685378	0.3786369307932334	not prognostic
TUBA1C	0.012084513998168329	-0.0993780793105739	0.12354710730691056	0.8317210990017756	0.923298078036317	not prognostic
HLA-DQA2	0.006442469595693301	-0.07445217501835563	0.08733711420974224	0.8759604894143571	0.9451041530159966	not prognostic
ERAP2	-0.08451220302681473	-0.16815933336787836	-0.0008650726857510893	0.04767726431505159	0.20913990564069423	not prognostic
CCL20	0.24302489212480016	0.12154331642207339	0.36450646782752694	8.821005140316113e-05	0.011123163242429599	unfavorable
CT47A1	0.005134514558627493	-0.06350914229942789	0.07377817141668289	0.8834442634326364	0.947923836350958	not prognostic
SLPI	0.03843856662891371	-0.07757688253901587	0.1544540157968433	0.5160922653923391	0.7407140192461705	not prognostic
HMGA2	0.10720143362795057	0.05028491555961965	0.1641179516962815	0.0002228796059584438	0.014565263592306183	unfavorable
SLCO1B7	-0.09680417182035926	-0.25213921934666567	0.05853087570594713	0.22191886128950297	0.48637443454710405	not prognostic
