Sample_id	MS_run	Sample_condition
TB92_1	Cervical1	Tumor_tissue
NB92_2	Cervical1	Tumor_adjacent_tissue
TN35_1	Cervical1	Tumor_tissue
TN28	Cervical1	Tumor_tissue
TB124	Cervical1	Tumor_tissue
TB69	Cervical1	Tumor_tissue
TB115_1	Cervical1	Tumor_tissue
NB115_2	Cervical1	Tumor_adjacent_tissue
TB42	Cervical1	Tumor_tissue
TB59	Cervical1	Tumor_tissue
TB40	Cervical1	Tumor_tissue
TB47	Cervical1	Tumor_tissue
TB12	Cervical1	Tumor_tissue
TB74	Cervical1	Tumor_tissue
TB49	Cervical2	Tumor_tissue
TB145	Cervical2	Tumor_tissue
TB133	Cervical2	Tumor_tissue
TB76	Cervical2	Tumor_tissue
TN17	Cervical2	Tumor_tissue
TB39	Cervical2	Tumor_tissue
TB85_1	Cervical2	Tumor_tissue
NB85_2	Cervical2	Tumor_adjacent_tissue
TB24	Cervical2	Tumor_tissue
TB28	Cervical2	Tumor_tissue
TB52	Cervical2	Tumor_tissue
TB159	Cervical2	Tumor_tissue
TB100_1	Cervical2	Tumor_tissue
TB62	Cervical3	Tumor_tissue
TB106_1	Cervical3	Tumor_tissue
NB106_2	Cervical3	Tumor_adjacent_tissue
TB4	Cervical3	Tumor_tissue
TB63	Cervical3	Tumor_tissue
TB1	Cervical3	Tumor_tissue
TN10	Cervical3	Tumor_tissue
TB105_1	Cervical3	Tumor_tissue
NB105_2	Cervical3	Tumor_adjacent_tissue
TB32	Cervical3	Tumor_tissue
TB137_1	Cervical3	Tumor_tissue
NB137_2	Cervical3	Tumor_adjacent_tissue
TB80	Cervical3	Tumor_tissue
TN33_1	Cervical3	Tumor_tissue
NN33_2	Cervical3	Tumor_adjacent_tissue
TB88_1	Cervical4	Tumor_tissue
NB88_2	Cervical4	Tumor_adjacent_tissue
TN31	Cervical4	Tumor_tissue
TB46	Cervical4	Tumor_tissue
TB38	Cervical4	Tumor_tissue
TB156	Cervical4	Tumor_tissue
TB84	Cervical4	Tumor_tissue
TB160	Cervical4	Tumor_tissue
TB102_1	Cervical4	Tumor_tissue
NB102_2	Cervical4	Tumor_adjacent_tissue
TB82	Cervical4	Tumor_tissue
TB53	Cervical4	Tumor_tissue
TB104_1	Cervical4	Tumor_tissue
NB104_2	Cervical4	Tumor_adjacent_tissue
TB41	Cervical4	Tumor_tissue
TN15	Cervical5	Tumor_tissue
TB71	Cervical5	Tumor_tissue
TB33	Cervical5	Tumor_tissue
TB78	Cervical5	Tumor_tissue
TB31	Cervical5	Tumor_tissue
TB147	Cervical5	Tumor_tissue
TN26	Cervical5	Tumor_tissue
TB126	Cervical5	Tumor_tissue
TB141_1	Cervical5	Tumor_tissue
TB110_1	Cervical5	Tumor_tissue
NB110_2	Cervical5	Tumor_adjacent_tissue
TB138_1	Cervical5	Tumor_tissue
NB138_2	Cervical5	Tumor_adjacent_tissue
TN12	Cervical5	Tumor_tissue
TB99_1	Cervical6	Tumor_tissue
TB81	Cervical6	Tumor_tissue
TB89_1	Cervical6	Tumor_tissue
NB89_2	Cervical6	Tumor_adjacent_tissue
TB113_1	Cervical6	Tumor_tissue
NB113_2	Cervical6	Tumor_adjacent_tissue
TB146	Cervical6	Tumor_tissue
TB153	Cervical6	Tumor_tissue
TB61	Cervical6	Tumor_tissue
TB96_1	Cervical6	Tumor_tissue
NB96_2	Cervical6	Tumor_adjacent_tissue
NB142_2	Cervical6	Tumor_adjacent_tissue
TB117	Cervical6	Tumor_tissue
TB72	Cervical7	Tumor_tissue
NB112_2	Cervical7	Tumor_adjacent_tissue
TB149	Cervical7	Tumor_tissue
TB130	Cervical7	Tumor_tissue
TB43	Cervical7	Tumor_tissue
TB45	Cervical7	Tumor_tissue
TB90_1	Cervical7	Tumor_tissue
NB90_2	Cervical7	Tumor_adjacent_tissue
TB86_1	Cervical7	Tumor_tissue
NB86_2	Cervical7	Tumor_adjacent_tissue
TB155	Cervical7	Tumor_tissue
TB108_1	Cervical7	Tumor_tissue
NB108_2	Cervical7	Tumor_adjacent_tissue
TB152	Cervical7	Tumor_tissue
TB3	Cervical8	Tumor_tissue
TB109_1	Cervical8	Tumor_tissue
NB109_2	Cervical8	Tumor_adjacent_tissue
TB64	Cervical8	Tumor_tissue
TB123	Cervical8	Tumor_tissue
TB158	Cervical8	Tumor_tissue
TB94_1	Cervical8	Tumor_tissue
NB94_2	Cervical8	Tumor_adjacent_tissue
TB23	Cervical8	Tumor_tissue
TB93_1	Cervical8	Tumor_tissue
NB93_2	Cervical8	Tumor_adjacent_tissue
TB58	Cervical8	Tumor_tissue
TB135	Cervical8	Tumor_tissue
TB150	Cervical8	Tumor_tissue
TB75	Cervical8	Tumor_tissue
TB26	Cervical9	Tumor_tissue
TB103_1	Cervical9	Tumor_tissue
NB103_2	Cervical9	Tumor_adjacent_tissue
TB27	Cervical9	Tumor_tissue
TB111_1	Cervical9	Tumor_tissue
NB111_2	Cervical9	Tumor_adjacent_tissue
TN27	Cervical9	Tumor_tissue
TB116	Cervical9	Tumor_tissue
TB162	Cervical9	Tumor_tissue
TB114_1	Cervical9	Tumor_tissue
TN9	Cervical9	Tumor_tissue
TB134	Cervical9	Tumor_tissue
TB97_1	Cervical9	Tumor_tissue
NB97_2	Cervical9	Tumor_adjacent_tissue
TB144	Cervical10	Tumor_tissue
TB8	Cervical10	Tumor_tissue
TB48	Cervical10	Tumor_tissue
TB50	Cervical10	Tumor_tissue
TB143	Cervical10	Tumor_tissue
TB107_1	Cervical10	Tumor_tissue
NB107_2	Cervical10	Tumor_adjacent_tissue
TN34_1	Cervical10	Tumor_tissue
NN34_2	Cervical10	Tumor_adjacent_tissue
TB65	Cervical10	Tumor_tissue
TB91_1	Cervical10	Tumor_tissue
NB91_2	Cervical10	Tumor_adjacent_tissue
TB36	Cervical10	Tumor_tissue
TB98_1	Cervical10	Tumor_tissue
TB17	Cervical11	Tumor_tissue
TN7	Cervical11	Tumor_tissue
TB154	Cervical11	Tumor_tissue
TB101_1	Cervical11	Tumor_tissue
NB101_2	Cervical11	Tumor_adjacent_tissue
TB60	Cervical11	Tumor_tissue
TB119	Cervical11	Tumor_tissue
TB87_1	Cervical11	Tumor_tissue
TB121	Cervical11	Tumor_tissue
TB6	Cervical11	Tumor_tissue
NB139_2	Cervical11	Tumor_adjacent_tissue
TB2	Cervical11	Tumor_tissue
TB151	Cervical11	Tumor_tissue
TB118	Cervical12	Tumor_tissue
TB51	Cervical12	Tumor_tissue
TB161	Cervical12	Tumor_tissue
TB95_1	Cervical12	Tumor_tissue
NB95_2	Cervical12	Tumor_adjacent_tissue
TN21	Cervical12	Tumor_tissue
TB125	Cervical12	Tumor_tissue
TN24	Cervical12	Tumor_tissue
TN32	Cervical12	Tumor_tissue
TB120	Cervical12	Tumor_tissue
TB140_1	Cervical12	Tumor_tissue
NB140_2	Cervical12	Tumor_adjacent_tissue
