"","ConditionC...ConditionA","ConditionC...ConditionB","ConditionC...ConditionD","ConditionA...ConditionB","ConditionA...ConditionD","ConditionB...ConditionD","AveExpr","F","P.Value","adj.P.Val"
"negative regulation of leukocyte mediated cytotoxicity (GO:0001911)",-0.0204655957730804,1.11006576030088,1.13715024540004,1.13053135607396,1.15761584117312,0.0270844850991571,0.000703232331592719,185.961505526933,1.9136469126974e-09,4.04030092553178e-06
"negative regulation of cell killing (GO:0031342)",-0.0204655957730804,1.11006576030088,1.13715024540004,1.13053135607396,1.15761584117312,0.0270844850991571,0.000703232331592719,185.961505526933,1.9136469126974e-09,4.04030092553178e-06
"energy coupled proton transport, down electrochemical gradient (GO:0015985)",0.710071128294803,-0.702649265579238,-0.0184819642840311,-1.41272039387404,-0.728553092578834,0.684167301295207,-0.0309218143530776,166.778226369156,3.36410642080119e-09,4.04030092553178e-06
"ATP synthesis coupled proton transport (GO:0015986)",0.710071128294803,-0.702649265579238,-0.0184819642840311,-1.41272039387404,-0.728553092578834,0.684167301295207,-0.0309218143530776,166.778226369156,3.36410642080119e-09,4.04030092553178e-06
"hemoglobin metabolic process (GO:0020027)",0.0434273740286062,-1.03139334733093,-1.1013963374506,-1.07482072135954,-1.1448237114792,-0.0700029901196649,-0.0161906573192018,160.133616791916,4.15156280880783e-09,4.04030092553178e-06
"negative regulation of thymocyte apoptotic process (GO:0070244)",0.21585837859016,1.26917458641287,1.0864392826381,1.05331620782271,0.870580904047936,-0.182735303774777,0.00794002221882402,153.817522825566,5.11135941306301e-09,4.1453124839941e-06
"regulation of skeletal muscle contraction (GO:0014819)",0.0787322865373132,-1.02948393536918,-1.07860182357018,-1.1082162219065,-1.1573341101075,-0.0491178882010008,-0.0111186711162578,140.940666444806,8.02538480096097e-09,5.51739493037519e-06
"ribosomal large subunit biogenesis (GO:0042273)",-0.121581013909631,-0.805629858982389,-1.17086818255587,-0.684048845072758,-1.04928716864624,-0.365238323573479,-0.0316011248415303,137.630428341824,9.07093289005374e-09,5.51739493037519e-06
"respiratory electron transport chain (GO:0022904)",0.43745743702119,-0.629450558002908,-0.476819722297103,-1.0669079950241,-0.914277159318293,0.152630835705805,0.00724717147200346,128.545257988393,1.2890859082223e-08,6.27269202940973e-06
"electron transport chain (GO:0022900)",0.43745743702119,-0.629450558002908,-0.476819722297103,-1.0669079950241,-0.914277159318293,0.152630835705805,0.00724717147200346,128.545257988393,1.2890859082223e-08,6.27269202940973e-06
"pinocytosis (GO:0006907)",0.383300191344886,1.1995137756029,1.12460116429563,0.816213584258017,0.741300972950741,-0.0749126113072759,-0.0524957321759705,118.130089261349,1.98933526732984e-08,8.17562112286953e-06
"arachidonic acid secretion (GO:0050482)",-0.00523189751243824,1.11075687822438,1.10660148026598,1.11598877573682,1.11183337777842,-0.00415539795840347,0.0121605335717174,115.996374409005,2.18419799830053e-08,8.17562112286953e-06
"icosanoid secretion (GO:0032309)",-0.00523189751243824,1.11075687822438,1.10660148026598,1.11598877573682,1.11183337777842,-0.00415539795840347,0.0121605335717174,115.996374409005,2.18419799830053e-08,8.17562112286953e-06
"maturation of SSU-rRNA (GO:0030490)",-0.352941756471613,-0.91514197267538,-1.27256367976548,-0.562200216203767,-0.919621923293862,-0.357421707090095,0.00839216877186949,113.857093626767,2.40277993970645e-08,8.35137656186543e-06
"ATP biosynthetic process (GO:0006754)",0.490258071524351,-0.722388848283543,-0.172528822909201,-1.21264691980789,-0.662786894433552,0.549860025374342,-0.0565681969988273,111.061310334363,2.72896166099544e-08,8.79167934446188e-06
"cellular component biogenesis (GO:0044085)",-0.209831831480634,-0.7031644805449,-1.05126733727703,-0.493332649064266,-0.841435505796392,-0.348102856732127,-0.0116586632836359,109.568879860886,2.92456909354699e-08,8.79167934446188e-06
"protein kinase C signaling (GO:0070528)",-1.19998410951004,-1.11582828907684,0.0162552294354733,0.0841558204332005,1.21623933894551,1.13208351851231,-0.0134319132535306,107.336267784254,3.24925603071227e-08,8.79167934446188e-06
"tRNA modification (GO:0006400)",-0.337108414188836,-0.955787049262892,-0.94213448583168,-0.618678635074056,-0.605026071642845,0.0136525634312112,0.00809768223473301,107.263722409862,3.26050569003662e-08,8.79167934446188e-06
"mitochondrial ATP synthesis coupled proton transport (GO:0042776)",0.844991240613434,-0.597156404479155,0.253287493701455,-1.44214764509259,-0.591703746911979,0.85044389818061,-0.0327184669723502,106.188241752631,3.4328382150591e-08,8.79167934446188e-06
"reproduction (GO:0000003)",-0.106397419793105,1.10394086828755,1.06599603919827,1.21033828808066,1.17239345899137,-0.0379448290892835,0.0150689183575029,103.956678131135,3.82624256924471e-08,8.85847986004762e-06
"rRNA processing (GO:0006364)",-0.304538519994297,-0.848198284977769,-1.04865500747754,-0.543659764983472,-0.744116487483241,-0.200456722499768,-0.00477956586810842,103.328741276989,3.94645594921876e-08,8.85847986004762e-06
"ribonucleoprotein complex biogenesis (GO:0022613)",-0.295305804506627,-0.76535711231599,-1.12072339879608,-0.470051307809363,-0.825417594289457,-0.355366286480094,-0.00957450792174366,102.192466038927,4.17560409110445e-08,8.85847986004762e-06
"response to muramyl dipeptide (GO:0032495)",-0.0140273593011738,1.04133812666574,1.05021156551094,1.05536548596691,1.06423892481212,0.00887343884520608,0.0146757547264031,101.496919163227,4.32368267933887e-08,8.85847986004762e-06
"tRNA methylation (GO:0030488)",-0.529160525971188,-1.20043732700308,-1.22675163788027,-0.671276801031887,-0.697591111909081,-0.026314310877193,0.0301837472000054,101.288955335804,4.36916392604075e-08,8.85847986004762e-06
"rRNA metabolic process (GO:0016072)",-0.303600263350452,-0.85804852778266,-1.04418061497465,-0.554448264432208,-0.740580351624199,-0.186132087191991,-0.00465521080557918,100.375544516251,4.57578580658296e-08,8.90630949393308e-06
