snps	gene	statistic	pvalue	FDR	beta
FER1L6	GZMM	5.1338162277788095	8.402033746747151e-07	0.007522340813462724	1.58799815478943
FER1L6	UGCG	-4.74684863095018	4.66287295573197e-06	0.020873350786334167	-1.38469315882494
COL11A1	VPS53	5.13193493795091	8.474122839502659e-07	0.007586882178206731	0.672213871770426
ARID1A	ARID1A	-7.52697372654732	3.97596688451918e-12	3.559683151710022e-08	-1.2411434086478899
ARID1A	SMARCC2	-5.575256948098179	1.07191508296334e-07	0.00047984278688853916	-0.8396320349318559
ARID1A	SMARCD2	-4.87380651989734	2.68365479579031e-06	0.008008920462236882	-0.7104019021244329
ARID1A	SMARCE1	-4.65654990800407	6.86596441890572e-06	0.015367744860615727	-0.7891918161549909
PCLO	ARAP1	4.75116810139908	4.5767839454423e-06	0.04097594666354491	0.738980216255342
PCLO	STAT5A	4.59685052827117	8.84297065351787e-06	0.04097594666354491	0.56373699866172
LAMA2	COL28A1	4.762880604853	4.35101301375777e-06	0.038954619512173314	2.04601999694909
AHNAK2	SSX2IP	-4.93524877165714	2.0469267775833002e-06	0.018326135439703288	-2.55913526540114
CTNNB1	GLUL	10.1707772625898	6.20963002896247e-19	5.5594817649301e-15	6.9671978783243
CTNNB1	AMACR	8.23140275518021	7.117503973531141e-14	3.186150653751215e-10	3.98878974158056
CTNNB1	EPHB2	8.14461258745673	1.1772092365784499e-13	3.513184765028954e-10	1.90980229560417
CTNNB1	TBX3	8.116232956727389	1.38714862612142e-13	3.513184765028954e-10	1.78333470577469
CTNNB1	ALDH3A1	7.9883018690695	2.8988142184393103e-13	5.19061673953743e-10	5.02141565174563
CTNNB1	ROCK2	7.67586058818378	1.71980662804969e-12	2.5662381234881457e-09	1.0996795724288402
CTNNB1	MME	7.42759482190441	6.92889011953427e-12	8.862050462884331e-09	3.5783727965266094
CTNNB1	HSDL1	7.37742088959732	9.160355421075359e-12	1.025158276061096e-08	1.76687785295125
CTNNB1	ITGA6	7.36598673573864	9.760957836352369e-12	1.025158276061096e-08	1.43493107321897
CTNNB1	ACSL6	7.22450152927963	2.13383157950722e-11	1.910419413132814e-08	3.27206345493533
CTNNB1	MYO1E	-7.09009081276396	4.45671595508539e-11	3.627361631443591e-08	-1.31334707003062
CTNNB1	ACSL5	6.9851968193930905	7.8821667178558e-11	5.8807532187469146e-08	3.2101124789005095
CTNNB1	CYP3A4	6.9436819047446905	9.86643043105117e-11	6.79493474224624e-08	3.2785628234739703
CTNNB1	ZNF277	6.80614543995694	2.06619812008468e-10	1.3213336977941528e-07	2.90719060499987
CTNNB1	CA5B	6.75224916817353	2.75480527634984e-10	1.6442514426106748e-07	2.2286504733687598
CTNNB1	SLC1A2	6.711921286075831	3.4137559115517697e-10	1.9102097922576872e-07	2.2853467627855197
CTNNB1	ACSS3	6.65310729238379	4.6618480630118e-10	2.4551485710673316e-07	2.33358000816673
CTNNB1	UGT1A4	6.527892498209059	9.00752729813192e-10	4.480243994454171e-07	2.82018055804775
