Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HBG2	629.9903964677865	3.174083445296062e-136	3.043311207349864e-132	754.9123344497425	2.596162596020331e-163	1.8762467081438929e-159	642.868930348608	5.122249736855234e-139	5.185765633592239e-135	675.9238870887124	3	0.0	0.0
HBG1	497.23942943990073	1.892010043861994e-107	9.0702961502744e-104	600.8171922773628	6.702497512558457e-130	2.4219474761629983e-126	378.8365496074864	8.491733656178024e-82	1.0746288941893291e-78	492.2977237749167	3	0.0	0.0
HBA1	492.3063058157955	2.218100607190829e-106	5.316787155436417e-103	583.8297011717046	3.227129021975777e-126	7.774153813939647e-123	508.4633475979464	6.9905035011736e-110	3.5385928722940764e-106	528.1997848618156	3	0.0	0.0
HBB	494.1944047067542	8.645968293840784e-107	2.763251466711515e-103	504.99166728979645	3.952686543196671e-109	7.141516411920584e-106	457.33639729602754	8.388177406326825e-99	2.12304770154132e-95	485.50748976419277	3	4.727316536464786e-308	1.3975129510924025e-304
S100A9	365.5410749009266	6.432140672371763e-79	7.708920595837558e-76	370.014897858692	6.910420671324908e-80	7.134515741666443e-77	480.47247823401136	8.135840075808027e-104	2.745574830916015e-100	405.3428169978767	3	4.2008179048441174e-256	9.934934344956337e-253
CLC	382.2217869451836	1.569723373685844e-82	2.5084179511499782e-79	377.1231220231023	1.9956448157479374e-81	2.4037541805683907e-78	402.38879475832704	6.72545583449236e-87	1.3617702973680133e-83	387.244567908871	3	2.20788039274257e-244	4.351364274030148e-241
S100A8	350.6901927476756	1.0573706061658161e-75	1.126452152435316e-72	384.5570058574206	4.8983811986616735e-83	7.080120184545582e-80	396.9387781147135	1.019134106711824e-85	1.719618949391751e-82	377.39532557326993	3	5.261269503220021e-238	8.887787410796678e-235
INS	376.8248824401241	2.3156571588282164e-81	3.1717886912635625e-78	202.3961775904785	1.2805594790705094e-43	6.610430968030407e-41	332.572218177946	8.852042214023273e-72	9.95756393053018e-69	303.93109273618285	3	1.7796436923822657e-190	2.6305358328025366e-187
GSTM3	255.5420882691957	4.140964470366412e-55	3.3086306118227637e-52	355.37178194416543	1.024463614152643e-76	9.25474817435144e-74	270.9330332598301	1.9391194533647663e-58	1.7846950314422628e-55	293.94896782439713	3	5.040320338020355e-184	6.622420888565633e-181
PRRC2B	406.9478233892932	6.921108531569781e-88	1.327191772013821e-84	291.34438407793084	7.430144753953444e-63	5.966406237424616e-60	168.10810503305484	3.2589969681583814e-36	1.499731150256157e-33	288.8001041667596	3	1.0711328616817093e-180	1.2666146089386212e-177
GSTM1	270.3029816764352	2.654096201270441e-58	2.5447474377780987e-55	70.83220867923632	2.8316738033265225e-15	2.590443870460859e-13	387.27480117344	1.2630257842711126e-83	1.8266961485658206e-80	242.80333050970384	3	5.3830519861323905e-151	5.78678088509232e-148
HBZ	258.6629381527588	8.750506190354261e-56	7.62725939573788e-53	155.01329985589314	2.1836810617569938e-33	6.861505666659912e-31	301.97354971634354	3.7207668984503125e-65	3.7669044079910962e-62	238.54992924166515	3	2.9859506849364287e-148	2.9424055707811057e-145
AHSP	247.23185166074128	2.5973106819575503e-53	1.9156165245083841e-50	159.316092421738	2.5746651532234463e-34	8.457775028339021e-32	270.78964053787445	2.082705097727678e-58	1.757108867449584e-55	225.77919487345125	3	5.141375640922604e-140	4.676674381069984e-137
LYZ	160.6273824563712	1.3419485421616831e-34	5.146641048898487e-32	169.3014606258695	1.8008113288005304e-36	7.23025748513413e-34	159.81722986128082	2.0071217993175822e-34	8.128040438516481e-32	163.24869098117384	3	9.012950041078672e-100	7.612723873982521e-97
IGF2BP1	173.80510263898535	1.919333085857669e-37	8.763126489144442e-35	143.73240508126474	5.923969848722458e-31	1.585649262841378e-28	159.86246919572795	1.9625052861148348e-34	8.278501465261079e-32	159.13332563865936	3	3.954933467501998e-97	3.1178058835474084e-94
HBD	177.47518252099957	3.0952046771382473e-38	1.4838411222200758e-35	110.45958664789684	8.738299919243648e-24	1.6618866714835225e-21	186.93565267093535	2.8023978233012622e-40	1.773217222693874e-37	158.29014061327726	3	1.3752566745678422e-96	1.016400636047796e-93
AZU1	125.15544233873118	5.9832247396889856e-27	1.334119972189256e-24	160.298864407383	1.579914273603783e-34	5.437162121587876e-32	174.98164685537355	1.0693392034008204e-37	5.412995047614951e-35	153.47865120049593	3	1.6829455653022702e-93	1.1706371358646674e-90
TNF	183.18168490403687	1.812739262924237e-39	9.147654764693468e-37	257.062833024906	1.9415763044116592e-55	1.27561563199846e-52				220.12225896447143	2	6.171083160442323e-92	4.054058798457248e-89
THBS1	140.41507365731172	3.0758251689703943e-30	9.513229587125203e-28	151.3416264785073	1.3531450228562928e-32	4.0746579500760124e-30	157.4722198375998	6.436000688003483e-34	2.5060796525133557e-31	149.74297332447293	3	4.191379345432512e-91	2.608582145249445e-88
CHI3L1	155.7107915638505	1.544163807903186e-33	5.483497255620647e-31	113.96994372186134	1.5340449083003148e-24	3.079595153412882e-22	169.39209168053523	1.721483223938143e-36	8.299188647214171e-34	146.35760898874904	3	6.210450619845866e-89	3.6719289289838685e-86
FARP1	232.3050023414744	4.3897177987099855e-50	3.006329589573667e-47	201.52012226646696	1.9801587086287237e-43	9.54040465817319e-41	3.8019458286483054	0.2836598793614582	0.7674432438950836	145.8756901455299	3	1.2649543295074215e-88	7.122897593535837e-86
LGALS1	161.06507841548472	1.0796303434112156e-34	4.313123221927807e-32	138.03848769382964	1.0008663744938793e-29	2.4110870961557548e-27	137.21299205333025	1.5078087120041582e-29	5.088351800110033e-27	145.43885272088153	3	2.4105230257853498e-88	1.2956561263596255e-85
