gene	chromosome	tss
LOC102725121	chr15	102519301
DDX11L1	chr1	11874
SPECC1L	chr22	24738076
MIR6859-1	chr16	67119
MIR6859-2	chr16	67119
MIR6859-3	chr16	67119
MIR6859-4	chr16	67119
MIR1302-2	chr9	30144
MIR1302-9	chr9	30144
MIR1302-10	chr9	30144
MIR1302-11	chr9	30144
FAM138A	chr9	35864
FAM138F	chr9	35864
FAM138C	chr9	35864
LOC729737	chr1	140566
LOC100132287	chr5	180750507
LOC100132062	chr5	180750507
DPEP2NB	chr16	68049814
LOC101928626	chr1	564389
PARD3	chr10	35104253
LOC100133331	chr1	665731
LOC100288069	chr1	714068
FAM87B	chr1	752751
LINC00115	chr1	762902
LINC01128	chr1	763178
FAM41C	chr1	812182
LINC02593	chr1	855072
PDE9A	chr21	44073862
FKTN	chr9	108320412
PLEKHN1	chr1	901862
RBFOX2	chr22	36357678
MATN2	chr8	98881292
NOLC1	chr10	103912146
UBQLN1	chr9	86322873
MAS1L	chr6_qbl_hap6	759018
CATSPER1	chr11	65793950
LOC100288175	chr1	995114
NCALD	chr8	103136562
ATRIP	chr3	48488114
LINC01342	chr1	1072397
LSM2	chr6_cox_hap2	3284314
NFKBIL1	chr6	31514628
SLC9A3R2	chr16	2076903
KLHDC9	chr1	161068151
NIT1	chr1	161087907
ZNF48	chr16	30389635
ESR2	chr14	64761128
IDE	chr10	94333850
CAP2	chr6	17393826
SCRN1	chr7	30029905
ALDH1L1	chr3	125899429
LMBR1	chr7	156685877
SCNN1D	chr1	1215816
STAG2	chrX	123095556
DCAF7	chr17	61627838
MIR6726	chr1	1231550
SNORD167	chr1	1240192
PUSL1	chr1	1243977
SIT1	chr9	35650928
ARHGEF16	chr1	3371229
CSF2RA	chrX	1387707
WASF2	chr1	27816678
USP15	chr12	62654185
MIR6727	chr1	1247946
EPN3	chr17	48610096
TMEM39B	chr1	32538540
GRK4	chr4	2965298
MIR6808	chr1	1275088
FBN1	chr15	48937906
MXRA8	chr1	1293935
CAPRIN2	chr12	30907448
ANAPC11	chr17	79849589
ZNF532	chr18	56532109
GUCA1C	chr3	108672726
RAD9B	chr12	110940136
ACHE	chr7	100494614
